#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 7120,10085,33430,48920,40610,59118,,,470,497,480,507,150,176,3680,5092,3830,5281,640,872,7090,10779,7760,11699,1660,2416,9770,15145,11440,17595,2260,3379,7890,11632,10160,15023,1560,2136,3540,4658,5110,6800,570,737,750,827,1320,1564,200,246,140,170,340,416,50,75,60,71,110,146,20,24,20,29,50,53,10,11,,,20,22,,,,,10,12,,,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 54720,450257,47760,330814,102480,781071,380,1974,200,750,580,2724,5400,36758,3580,21731,8990,58489,5780,42438,6290,47911,12070,90349,5400,42649,7230,62302,12620,104950,5130,43171,5840,46343,10970,89514,5380,46559,4860,32460,10240,79020,6220,53633,5520,33769,11740,87402,6540,56021,5440,32654,11980,88675,6150,52368,4550,27273,10690,79642,4960,43377,2960,17608,7910,60985,2460,22873,1070,6704,3530,29577,670,6060,190,1088,860,7148,270,2376,40,221,310,2597
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 48810,852009,49580,683459,98390,1535657,510,9224,560,10777,1070,20000,1320,22407,1300,24877,2630,47284,1300,15707,1130,12262,2430,27969,1590,24252,1490,26909,3080,51161,2170,57130,2040,51304,4220,108433,2960,77089,2840,74985,5800,152143,4180,93230,3990,80016,8180,173246,5330,104276,5390,80576,10720,184853,6250,108131,6210,73942,12450,182072,6320,115744,6210,65453,12530,181235,5790,77876,5640,50219,11430,128095,4140,52745,4120,31385,8250,84130,6950,94198,8660,100756,15610,195036
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 61970,94995,71880,101470,133880,196502,440,188,460,181,900,370,1150,449,1240,417,2390,867,1530,730,1590,695,3120,1425,1820,1118,1930,947,3750,2065,2120,1439,2240,1102,4360,2541,2730,2915,2860,2403,5590,5319,3930,4129,4350,4003,8280,8132,5750,8129,6530,6866,12280,15003,7400,10908,8100,9806,15500,20715,8220,14454,8820,12131,17050,26587,7980,15123,8510,13665,16500,28788,6090,10060,6750,10484,12850,20544,12810,25353,18500,38770,31320,64146
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 660,1858,330,1571,990,3429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,40,268,60,63,,,80,170,60,42,,,100,152,90,89,50,-2,140,87,110,509,,,160,1248,110,275,40,-34,140,240,80,608,50,309,130,917,110,308,60,47,170,355
16,Net rental income,Revenus nets de location,2012, 10460,32164,8560,17537,19020,49713,,,,,,,,,,,,,290,-101,200,38,490,-63,590,205,500,183,1090,387,800,350,690,767,1480,1117,980,949,810,1062,1790,2011,1270,2839,1080,1871,2350,4711,1440,3990,1220,2136,2660,6127,1420,4735,1230,2640,2650,7375,1240,4158,1040,2718,2290,6887,1000,4470,730,1813,1730,6283,610,4968,420,1959,1030,6927,750,5595,610,2327,1360,7922
17,Taxable capital gains,Gains en capital imposables,2012, 20270,163237,22760,106273,43040,269542,120,366,130,1544,250,1910,290,699,280,2096,580,2794,460,1941,340,914,790,2855,550,3357,460,1409,1010,4765,700,5213,620,2088,1320,7301,960,5807,890,2412,1850,8234,1410,10392,1440,5944,2850,16336,1980,16490,2290,8253,4270,24746,2670,18260,2850,11805,5530,30066,2750,24822,3200,16013,5950,40835,2750,18651,3030,10219,5780,28870,2010,7722,2240,6704,4250,14426,3620,49517,5000,36872,8620,86404
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 28480,172204,28600,159246,57080,331450,20,28,,,30,167,320,594,,,540,890,1090,2427,760,1344,1850,3771,2070,4933,1850,3840,3920,8773,3250,8802,2890,6673,6140,15475,3740,11810,3410,11521,7140,23332,3480,18484,3390,15928,6870,34412,3010,21950,3210,20799,6230,42748,3100,28522,3660,28079,6760,56601,3190,30436,3650,30559,6840,60995,2640,25247,2710,25394,5350,50641,1150,11085,1010,6111,2160,17196,1430,7886,1840,8563,3270,16449
19,Other income,Autres revenus,2012, 44880,261635,47480,207771,92370,469477,1680,5141,2020,6530,3710,11690,3380,9316,3460,9726,6840,19044,2110,5798,1710,5357,3820,11155,1730,7024,1780,6673,3510,13697,1750,8769,1820,7748,3570,16518,2190,14097,2150,9566,4340,23663,2970,22606,3000,15021,5970,37628,3660,29422,4080,19241,7740,48662,5700,49725,5970,39698,11670,89423,6810,52314,7180,43112,13990,95469,4650,23276,4340,11759,8990,35042,3030,11793,3200,8689,6230,20481,5200,22354,6780,24650,11990,47005
20,Net business income,Revenus nets d'entreprise,2012, 22590,273540,17550,139806,40140,413430,180,758,150,482,330,1240,570,4141,510,2448,1080,6666,1010,12008,1070,8354,2080,20362,1490,18648,1540,11925,3030,30574,1830,25008,1840,15984,3670,40993,2320,33754,2080,20521,4410,54282,2770,42881,2370,23229,5140,66107,3150,44168,2410,20303,5570,64471,2980,41269,2170,17050,5150,58322,2760,27504,1730,11687,4490,39192,1990,16287,1030,5085,3020,21371,930,4785,430,1957,1370,6742,590,2328,220,781,810,3109
21,Net professional income,Revenus nets de profession libérale,2012, 3340,158862,3210,95646,6550,254508,20,49,20,69,30,118,50,336,80,507,130,844,110,2446,190,4163,300,6609,220,6113,330,9428,560,15541,260,12501,370,12496,630,24997,300,14997,400,15895,700,30892,310,19452,380,14498,690,33951,380,23528,430,13950,810,37478,420,22282,420,13582,840,35865,480,27503,310,7259,790,34762,440,18447,200,2765,640,21212,210,7259,50,497,260,7756,150,3947,30,537,190,4484
22,Net commission income,Revenus nets de commissions,2012, 2380,46798,2230,24251,4610,71049,10,46,10,36,30,82,140,941,170,371,320,1312,160,1732,240,1200,400,2932,200,2781,280,2298,480,5079,180,3005,260,2222,440,5228,230,5886,260,3048,500,8934,240,5982,240,3402,480,9384,230,7117,240,4002,470,11118,290,5998,220,3453,510,9452,280,6634,160,2572,450,9206,230,4602,90,1157,320,5759,110,1593,30,412,140,2005,80,481,20,76,100,557
23,Net farming income,Revenus nets d'agriculture,2012, 3060,7296,1080,1521,4140,8830,,,,,,,,,,,,,50,208,20,,70,208,80,730,40,221,130,951,140,129,50,-41,190,88,170,565,90,-220,260,359,290,1033,120,106,410,1139,400,2380,150,406,550,2786,440,1728,160,632,610,2360,450,1638,150,16,590,1654,380,-502,110,110,490,-393,300,-54,90,-170,390,-223,320,-576,100,420,420,-157
24,Net fishing income,Revenus nets de pêche,2012, 4890,108435,610,9455,5500,117890,120,879,10,82,130,962,230,2423,40,385,260,2808,210,3192,40,437,250,3629,290,5362,40,585,340,5947,390,7608,60,922,450,8531,570,13110,80,1400,650,14510,720,17671,100,1493,820,19164,700,17514,80,1336,780,18849,600,15091,70,1133,670,16225,480,12633,50,899,530,13532,310,7509,30,544,340,8053,140,3281,,,150,3476,130,2161,,,130,2205
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 14240,127155,6710,51328,20950,178483,70,56,50,15,120,71,320,540,230,393,550,933,360,1583,240,629,600,2212,430,2454,340,1169,760,3623,640,5244,400,1900,1040,7144,920,8491,580,3575,1510,12066,1370,14418,900,6485,2270,20903,1940,21556,1120,8951,3060,30508,2140,24467,990,9684,3130,34152,1990,23700,810,8817,2810,32518,1340,10703,370,3522,1700,14225,1010,5214,190,1506,1200,6720,1710,8729,490,4680,2200,13409
26,Social assistance payments,Prestations d'assistance sociale,2012, 15080,87505,17850,110941,32930,198445,230,627,320,1195,540,1822,1720,7571,2420,13717,4140,21288,1440,7563,2070,12835,3510,20398,1240,6865,1920,11974,3160,18839,1290,7849,1700,11224,2980,19073,1480,9464,1690,11104,3170,20567,1890,12119,1930,12919,3810,25038,2080,13491,2020,13263,4090,26754,1830,12080,1880,12322,3710,24402,1370,7886,1420,8623,2790,16510,300,1120,360,1301,660,2421,80,332,60,198,140,530,140,536,80,267,220,802
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 26310,95834,43680,190377,69990,286211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,2423,3240,15872,3750,18295,7850,30393,9610,38846,17460,69239,6680,24922,8300,34141,14970,59063,11270,38090,22530,101517,33810,139607
28,Total income assessed,Revenu total établi,2012, 348630,16170906,380350,12017270,729430,28191454,13450,109446,14050,100212,27540,209680,27340,564933,27800,430060,55280,995094,24670,868206,26000,680730,50810,1549188,23660,1076234,26550,852861,50260,1929152,24800,1318423,27270,988183,52080,2307102,27830,1591168,29840,1149623,57690,2741244,32460,1894102,34240,1332420,66700,3227108,35510,2087194,36900,1426906,72420,3514290,33950,1933499,34990,1319250,68940,3253038,30810,1612784,31900,1065685,62710,2678965,26320,1207952,27830,849699,54140,2057674,18450,756901,19920,575703,38370,1332619,29400,1150064,43080,1245937,72490,2396299
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 66140,244682,80870,265794,147010,510476,150,95,50,22,200,116,2350,4352,1950,3430,4300,7781,5170,13983,6260,15859,11430,29842,6380,21618,8500,25821,14880,47440,7460,28168,9650,32861,17110,61029,8730,35402,10730,38358,19460,73759,9850,40732,12620,44398,22480,85129,10660,44301,13670,49288,24330,93589,8580,34238,10710,37141,19290,71379,4580,16000,5020,14715,9600,30715,1610,4902,1430,3488,3040,8390,350,616,190,285,540,901,270,278,100,127,360,405
30,RRSP deduction,Cotisations à un REER,2012, 69000,389903,57980,219626,126980,609529,100,92,40,32,150,123,2070,4122,1360,1861,3420,5984,4710,14735,4240,8945,8950,23680,6370,23382,6100,14604,12470,37987,7380,33044,6530,19653,13910,52698,8230,43250,7170,26939,15400,70189,9750,58340,8310,33580,18070,91920,10550,68331,9240,40319,19800,108650,9700,69542,7940,38039,17640,107580,6400,47503,4840,24432,11240,71934,3070,22631,1910,9958,4980,32589,590,4278,280,1242,860,5520,90,653,20,21,110,674
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 35740,416360,7760,51130,43510,467501,,,,,,,,,,,,,,,,,,,,,,,,,,,10,27,40,182,200,1704,30,159,230,1863,600,6103,70,359,670,6461,1310,14015,250,1366,1560,15382,3310,41800,1340,9537,4640,51337,6170,82374,1970,14895,8140,97273,8130,91846,1960,11862,10100,103708,6720,76462,1140,7050,7870,83512,9250,101881,990,5868,10240,107756
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 65780,47742,76810,44392,142590,92139,490,117,290,31,780,147,3320,1588,3470,1129,6780,2717,4810,3163,6670,3479,11480,6642,5330,4147,7870,4628,13200,8775,6190,4936,8500,5239,14680,10175,7070,5883,9190,5806,16260,11690,8630,7089,10740,6806,19370,13895,9820,8032,11660,7489,21490,15526,8850,7059,9750,6041,18600,13100,5880,3876,5370,2755,11240,6632,2820,1372,2010,795,4830,2167,1230,307,580,139,1810,446,1360,174,720,55,2090,228
33,Child care expenses,Frais de garde d'enfants,2012, 7780,32214,22930,83363,30720,115581,,,30,54,30,56,60,158,700,1657,760,1816,370,1182,2550,7396,2920,8579,1260,5658,5560,21677,6820,27337,2110,10145,6490,27908,8600,38054,2130,9162,4700,17145,6830,26306,1150,3873,2220,6015,3370,9889,530,1582,580,1291,1120,2873,150,402,90,163,230,565,30,33,20,43,50,77,,,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 140,3193,50,1048,190,4241,,,,,,,,,,,,,,,,,,,,,,,,,10,462,,,20,513,,,,,,,20,543,10,219,30,762,30,864,,,40,1048,20,185,,,30,309,10,155,10,93,30,249,10,200,,,20,548,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 1610,9033,1470,5625,3080,14658,60,37,80,57,140,94,280,268,290,303,570,571,310,955,340,725,650,1680,230,1415,220,1093,450,2509,190,1609,130,669,320,2278,130,1248,100,643,230,1890,120,1208,100,703,220,1911,110,898,90,504,200,1402,90,837,70,578,160,1415,40,204,40,289,80,492,40,315,10,58,50,372,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 2350,26893,70,608,2420,27501,,,,,,,,,,,,,,,,,,,40,174,,,50,181,90,633,,,100,657,230,1513,,,240,1545,340,3291,10,234,360,3525,380,5521,10,157,390,5678,380,4958,,,390,5008,320,4834,,,320,4909,230,2939,,,240,2968,150,1338,,,150,1338,190,1678,,,190,1679
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 26840,48427,23670,35325,50510,83754,30,17,30,23,70,39,100,35,120,38,220,73,220,208,180,123,410,331,450,577,330,399,780,976,760,1327,540,723,1290,2050,1300,2658,960,1773,2260,4431,1930,4238,1570,2558,3500,6796,2640,6152,2400,4006,5030,10158,3510,6755,2930,4321,6430,11075,3890,7541,3200,4749,7090,12291,3800,6321,3060,4621,6860,10942,2900,4932,2410,3347,5310,8279,5310,7667,5970,8644,11280,16313
