#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 20,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 4360,3129,480,161,320,65,300,82,240,83,340,118,250,100,180,98,130,84,130,88,140,93,130,92,120,99,230,226,260,269,200,226,170,201,480,559,160,214,120,271
33,Child care expenses,Frais de garde d'enfants,2012, 220,879,20,11,20,32,10,28,10,33,,,20,43,,,10,46,20,42,,,,,,,20,73,10,80,10,62,10,53,30,166,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 10,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 40,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 120,3006,20,236,,,,,,,,,,,,,,,10,187,,,,,,,,,,,,,,,20,676,10,916,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 1160,1859,250,295,50,57,170,116,50,51,50,53,60,51,30,32,40,27,30,13,20,24,20,50,30,78,40,22,30,37,20,68,30,43,140,326,60,303,40,215
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 110,86,,,20,3,20,7,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 8940,29994,8530,23518,260,2944,60,1075,40,665,20,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 600,2269,50,44,50,34,70,87,50,107,40,85,40,132,30,47,30,99,10,41,10,58,20,49,20,33,30,114,20,89,20,195,20,116,60,545,20,267,10,125
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 40,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 2500,158789,440,1664,200,875,180,806,220,761,200,803,150,781,80,894,40,690,40,696,30,1119,30,920,30,950,50,1477,50,2178,50,2301,50,2348,180,13965,210,28571,270,96990
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 22250,247565,10040,26906,1060,4332,1000,2666,830,2301,860,2141,700,1987,480,1992,440,1944,400,1856,380,2504,310,1890,330,2153,650,4489,650,5758,520,5791,430,5500,1540,28232,870,38571,780,106552
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 70,123,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,20,26,,,,,,,,
46,Net income after adjustments,Revenu net après rajustements,2012, 115440,3443929,35080,48383,15990,118696,15610,193718,13150,228312,9670,213614,4720,127143,2670,85122,2030,74351,1670,69116,1340,61647,1100,56228,960,53195,1570,98532,1340,95584,1020,81717,850,76134,2920,332617,1910,336217,1830,1093605
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 20,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 530,51890,40,42,20,59,20,91,20,130,20,152,30,257,20,197,10,163,,,,,,,10,105,10,206,10,273,20,342,,,50,1574,60,3058,160,44654
49,Other payments deductions,Déduction pour autres paiements,2012, 120,715,,,20,81,20,143,40,242,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 520,4562,260,598,50,275,80,301,20,189,20,134,30,198,10,152,,,,,,,,,,,,,,,,,,,,,,,10,1736
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 460,3106,80,72,30,86,90,142,10,81,30,222,30,65,,,,,20,145,,,,,10,75,20,93,10,229,,,,,40,285,30,519,20,540
52,Capital gains deduction,Déduction pour gains en capital,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 80,155,,,,,,,10,14,10,25,20,25,10,33,,,,,,,,,,,,,,,,,,,,,,,,
54,Additional deductions,Déductions supplémentaires,2012, 23270,308424,6620,20611,6060,46616,5550,66895,2130,28445,840,11205,460,6922,260,4748,230,4548,150,3888,110,3102,70,2620,70,2298,90,4133,60,3499,60,3382,60,4413,170,15113,130,18278,160,57710
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 40,611,10,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 24930,369771,7000,21460,6170,47148,5770,67613,2220,29143,920,11771,570,7538,310,5227,260,5037,180,4257,140,3392,90,2992,110,2627,130,4508,90,4128,90,3853,70,4753,260,17524,220,22103,340,104695
57,Taxable income assessed,Revenu imposable établi,2012, 96890,3082110,28490,30669,10260,74071,11180,127221,12210,199190,9530,201851,4620,119612,2590,79949,1960,69322,1610,64981,1300,58288,1060,53242,930,50571,1530,94025,1310,91458,990,77877,820,71385,2840,315228,1870,314223,1800,988947
58,Basic personal amount,Montant personnel de base,2012, 67000,724910,11640,125893,12240,132400,12620,136497,10850,117407,7890,85331,3150,34110,1460,15800,980,10573,670,7278,560,6093,410,4437,350,3777,640,6867,560,6068,420,4545,330,3571,1190,12900,590,6363,460,5000
59,Age amount,Montant en raison de l'âge,2012, 19140,125764,6750,45119,4530,30277,3130,20892,1710,11422,1000,6636,650,4254,410,2666,350,2031,210,1099,140,607,90,352,70,213,70,148,40,43,,,,,,,,,,
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 28630,297290,1600,15237,3850,39434,6400,66861,6980,74124,5480,58289,1770,18625,640,6441,280,2812,200,1913,130,1257,110,1003,90,923,150,1456,140,1372,130,1192,110,1025,350,3147,130,1202,100,977
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 3700,39974,240,2586,850,9180,960,10361,920,9974,540,5843,110,1136,20,227,,,,,,,,,,,,,,,,,,,30,264,,,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 3150,12970,190,706,210,789,360,1481,460,2050,350,1506,200,907,130,531,70,269,60,257,80,302,50,179,50,182,120,480,110,427,100,392,100,402,370,1488,110,388,60,234
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 40,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 46720,40290,1520,308,7330,1605,9500,4214,9450,6337,7100,6295,2690,2955,1250,1689,790,1269,650,1180,530,1092,420,934,390,855,750,1663,650,1489,500,1129,420,937,1390,3172,710,1567,710,1599
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 110,86,,,20,3,20,7,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 47910,17422,2460,175,7320,1019,9450,2127,9450,2919,7100,2764,2700,1264,1250,696,800,515,640,470,520,417,420,340,390,313,750,603,680,561,530,429,440,360,1470,1215,800,643,720,590
67,PPIP premiums paid,Cotisations au RPAP,2012, 40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, 10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 42610,46293,2590,2719,6560,7160,8900,9725,8890,9704,6730,7330,2380,2572,960,1021,530,566,400,416,360,385,270,285,260,287,530,576,490,532,390,424,310,339,1120,1220,540,593,400,439
72,Public transit amount,Montant pour le transport en commun,2012, 1070,597,100,38,150,63,170,80,140,82,90,49,60,40,50,26,40,24,30,24,30,22,30,23,20,17,30,31,30,17,20,13,,,40,27,10,11,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 390,229,,,,,,,,,10,8,10,5,10,9,,,10,4,10,5,10,4,,,30,16,20,11,20,12,20,15,150,98,30,23,,
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 200,107,,,,,,,,,,,,,,,,,,,,,,,,,10,7,,,10,6,20,10,70,39,20,12,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 6350,11804,220,305,580,908,1070,1817,1170,2168,1010,2004,680,1353,450,887,380,764,230,455,160,322,110,224,80,154,90,170,40,83,20,48,,,30,51,30,53,,
77,Caregiver amount,Montant pour aidants naturels,2012, 50,243,,,,,10,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 300,2236,70,530,40,309,50,339,30,196,30,248,20,181,10,78,20,121,,,,,,,,,,,,,,,,,,,,,,
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 30,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 290,244,70,61,10,8,20,18,20,28,20,15,,,10,11,10,8,10,10,10,8,10,14,,,20,10,20,12,,,,,10,15,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 1160,8147,370,496,100,561,100,647,110,712,90,793,60,500,60,651,50,586,40,672,30,296,20,337,20,344,30,486,30,344,10,140,10,133,30,316,,,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 180,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,82,10,71,60,350,30,162,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 1430,8368,390,2386,270,1642,200,1191,160,876,130,753,60,371,50,284,30,180,30,155,20,111,10,61,10,67,,,10,45,,,,,30,107,,,,
84,Medical expenses,Montant admissible des frais médicaux,2012, 1250,5048,100,228,100,228,130,339,110,278,110,396,110,423,90,328,70,306,60,400,70,282,50,247,30,270,40,206,20,119,30,107,20,61,80,468,20,176,20,186
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 76830,201535,12930,29538,13450,33849,13490,38506,11650,35750,8470,26752,3640,10312,1890,4710,1350,3017,1040,2162,830,1697,640,1290,530,1131,960,1935,830,1693,620,1297,520,1058,1800,3755,1090,1710,1100,1373
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 3580,9473,330,256,170,89,200,142,310,140,210,196,220,174,150,197,120,177,100,118,120,138,120,120,70,36,130,422,140,157,120,202,110,135,480,999,220,589,280,5186
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 3220,2860,200,18,160,23,170,37,160,37,160,53,220,47,150,55,120,49,100,39,120,38,120,33,70,9,130,120,140,43,120,56,110,37,470,275,220,165,280,1729
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 77850,204394,13080,29555,13550,33872,13600,38543,11720,35787,8520,26805,3760,10359,1940,4765,1390,3066,1080,2201,880,1735,680,1323,550,1140,970,2054,840,1735,630,1353,530,1095,1830,4029,1120,1875,1180,3102
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 720,463,70,2,20,3,20,2,20,6,20,5,10,10,10,1,20,4,20,7,20,6,20,16,10,1,40,17,60,18,40,23,30,11,190,110,80,108,30,112
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 30,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 49950,538021,9090,7073,3900,4935,4290,6159,4060,6997,4000,7521,4340,8732,2510,7823,1930,7865,1580,8014,1280,7599,1050,7407,920,7396,1510,14237,1300,14587,980,12886,810,12391,2800,60309,1830,71035,1780,265056
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 710,2390,130,46,30,19,40,11,40,35,30,33,30,46,20,20,20,32,20,46,30,66,20,49,20,75,30,112,40,195,30,123,30,228,100,479,50,384,20,389
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 20,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 30,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 49780,595848,9030,3827,3890,4502,4270,6410,4050,7292,3990,8226,4330,9791,2510,8926,1930,8956,1580,9145,1280,8795,1040,8546,920,8552,1510,16508,1290,16693,980,14956,800,14272,2790,70718,1820,78388,1780,291347
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 110,169,,,20,7,20,12,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 70,123,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,20,26,,,,,,,,
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 27430,174664,1630,222,1220,542,2110,1208,3250,1681,5080,2372,2420,2332,1290,1953,970,1900,850,2080,680,1916,600,1979,520,1883,860,3753,760,3978,560,3481,460,3448,1550,16840,1290,24870,1340,98227
103,Total tax payable,Total à payer,2012, 54940,770805,9050,4049,3940,5051,4700,7630,5500,8984,7080,10610,4420,12130,2530,10889,1930,10863,1580,11237,1280,10719,1040,10536,920,10437,1510,20269,1290,20705,980,18462,800,17748,2800,87623,1830,103282,1780,389580
