#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
49,Other payments deductions,Déduction pour autres paiements,2012, 5910,37991,680,1967,1280,6433,920,6004,890,7412,630,4932,400,3275,250,1769,180,1188,140,1158,110,952,90,512,60,460,80,444,60,395,40,210,,,70,406,20,208,,
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 60,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,34,20,117,,
52,Capital gains deduction,Déduction pour gains en capital,2012, 10,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 9370,54567,190,113,220,325,270,656,440,1352,410,1356,430,1573,400,1633,400,1606,330,1423,340,1537,290,1278,250,1263,540,2707,610,3265,660,3846,680,4616,2200,18224,650,7158,70,634
54,Additional deductions,Déductions supplémentaires,2012, 10,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 13710,94087,800,2081,1380,6758,1070,6662,1140,8842,880,6289,700,4851,510,3405,460,2795,380,2582,370,2491,310,1791,260,1744,550,3153,620,3660,670,4146,690,4757,2210,18756,650,7776,70,1546
57,Taxable income assessed,Revenu imposable établi,2012, 19370,803222,2750,5118,1980,9998,1580,13791,1520,18341,1160,19631,940,20683,740,20143,640,20799,530,19299,480,19901,410,18869,360,18175,710,41139,760,50613,830,62112,790,64718,2430,247965,700,106941,80,24987
58,Basic personal amount,Montant personnel de base,2012, 20240,218873,3180,34430,2280,24599,1660,17942,1560,16833,1170,12640,940,10164,740,7999,650,6979,530,5681,490,5228,410,4383,360,3863,710,7727,760,8222,830,8982,790,8528,2430,26254,700,7608,80,812
59,Age amount,Montant en raison de l'âge,2012, 1020,6321,10,87,80,538,130,847,240,1633,180,1176,110,732,70,469,50,288,30,165,30,137,20,63,20,66,30,77,20,21,10,11,,,,,,,,
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 2360,17797,,,60,569,200,1632,310,2425,250,1905,220,1516,130,851,110,867,100,699,80,612,70,529,60,381,110,786,120,918,110,833,90,674,230,1704,70,586,,
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 1730,18356,110,1132,290,3130,320,3436,200,2162,140,1470,90,948,60,607,50,524,40,386,40,392,,,30,271,40,454,60,602,60,567,50,510,120,1140,30,335,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 5560,26071,370,1753,380,1355,490,1973,470,2305,360,1815,330,1831,230,1168,210,1103,200,1066,170,913,120,611,120,576,250,1277,310,1521,290,1359,270,1187,760,3290,220,898,20,68
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 13700,20588,190,6,880,113,990,295,990,471,840,538,800,655,650,708,580,788,490,759,450,814,390,799,330,702,680,1518,740,1676,810,1830,770,1757,2390,5481,680,1539,60,140
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 470,300,,,40,4,50,9,40,6,40,15,40,15,30,12,30,17,30,21,30,18,20,12,10,12,20,25,20,21,10,21,,,20,39,10,17,10,23
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 14800,8008,640,39,1240,127,1120,189,1080,245,890,257,830,297,670,306,590,330,490,309,450,321,390,299,330,260,690,555,730,602,810,666,770,641,2370,1972,670,555,50,37
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 50,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 16960,17797,1570,1318,1690,1692,1320,1375,1260,1317,1010,1069,880,951,700,757,610,665,510,554,470,509,400,434,350,376,700,758,750,819,820,890,780,852,2410,2632,690,756,70,72
72,Public transit amount,Montant pour le transport en commun,2012, 90,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 290,104,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,20,7,20,9,120,43,60,22,10,3
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,10,3,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 60,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,43,20,103,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 860,1615,,,30,35,30,52,40,68,80,148,70,126,50,104,50,100,40,66,30,55,10,22,30,51,40,74,40,68,40,67,50,86,130,250,110,217,,
77,Caregiver amount,Montant pour aidants naturels,2012, 30,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,45,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 90,687,,,20,143,,,,,10,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 70,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,157,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 370,285,,,,,,,,,,,,,,,10,5,10,5,10,7,20,10,10,10,10,11,20,19,40,25,60,55,140,119,10,8,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 980,5374,,,,,,,90,239,80,343,80,474,80,470,70,510,50,373,40,271,30,256,20,94,50,321,50,304,40,235,60,433,160,826,40,183,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 100,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,193,30,172,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 1110,5636,430,2244,110,512,90,456,120,647,80,423,60,325,30,164,20,96,20,98,20,57,,,10,57,20,90,20,62,10,56,,,50,203,20,60,,
84,Medical expenses,Montant admissible des frais médicaux,2012, 250,687,,,,,10,17,10,11,20,26,10,44,,,10,24,20,47,,,,,,,,,,,10,30,20,29,50,199,30,135,,
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 20240,52562,3180,6213,2280,4928,1660,4256,1560,4277,1170,3292,940,2732,740,2060,650,1858,530,1543,490,1416,410,1166,360,1020,710,2064,760,2247,830,2362,790,2238,2430,6705,700,1984,80,201
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 1890,3034,,,,,10,11,30,17,40,45,30,35,50,48,60,41,60,107,40,72,40,62,50,81,100,161,90,124,130,201,160,243,670,1129,270,521,40,124
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 1890,838,,,10,3,,,30,4,40,12,30,9,50,13,60,11,60,30,40,20,40,17,50,22,100,44,80,34,130,56,160,67,670,313,270,145,40,35
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 20240,53400,3180,6214,2280,4931,1660,4259,1560,4281,1170,3304,940,2741,740,2072,650,1870,530,1572,490,1436,410,1183,360,1043,710,2108,760,2281,830,2417,790,2305,2430,7018,700,2129,80,235
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 700,1240,,,,,10,1,,,10,1,10,2,20,7,20,6,20,2,20,11,10,17,10,10,30,11,30,18,60,69,50,52,240,214,130,305,30,515
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 11000,109192,,,,,180,31,550,288,580,546,580,806,570,1096,560,1309,470,1366,470,1611,400,1773,350,1904,710,4804,760,6574,830,8702,790,9562,2430,41766,700,21344,80,5709
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 180,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,10,1,50,5,50,7,10,7
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 70,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,20,5,,
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 10980,109124,,,,,180,32,550,288,580,546,580,806,570,1096,560,1309,470,1363,470,1611,400,1772,350,1903,710,4801,760,6574,830,8700,790,9561,2430,41757,700,21331,80,5675
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 470,600,,,40,8,50,18,40,13,40,31,40,31,30,24,30,34,30,43,30,36,20,24,10,23,20,49,20,42,10,43,,,20,78,10,34,10,46
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 340,871,,,,,,,,,,,,,,,,,,,,,,,,,60,75,60,92,50,88,30,78,70,321,40,204,,
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 10900,35202,,,,,120,5,530,66,560,138,560,213,570,290,570,354,480,379,470,462,400,519,350,567,710,1455,760,2029,830,2687,790,2998,2430,13516,700,7351,80,2173
103,Total tax payable,Total à payer,2012, 11260,145798,,,,,220,55,580,367,610,715,620,1050,600,1410,580,1697,490,1785,470,2109,400,2316,360,2500,710,6380,760,8736,830,11517,790,12661,2430,55671,700,28920,80,7900
