#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 680,1063,590,994,1270,2085,,,,,,,,,,,,,30,20,30,12,60,32,80,80,80,52,160,132,90,94,90,131,180,224,100,93,80,125,190,218,100,182,100,149,190,331,120,260,90,168,210,429,70,129,60,186,130,315,30,88,30,92,60,180,20,31,,,30,47,,,,,20,100,20,30,,,30,68
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 980,7472,790,105,13410,28335,,,,,20,-3,,,,,90,-28,,,,,210,9,10,10,,,480,-151,,,30,-11,720,856,,,,,1220,2319,,,90,47,1800,7394,150,655,130,-54,1990,1427,190,-1047,,,1910,1318,,,,,1710,5485,,,110,63,1380,7000,80,84,70,15,1070,369,50,285,50,56,840,2339
16,Net rental income,Revenus nets de location,2012, 300,297,280,490,570,783,,,,,,,,,,,,,,,,,20,32,20,32,40,28,60,60,50,22,40,40,90,62,40,90,50,97,90,186,50,20,40,141,90,161,60,77,50,90,110,167,40,32,30,87,70,119,20,-17,10,19,30,3,,,,,,,,,,,,,,,,,,
17,Taxable capital gains,Gains en capital imposables,2012, 1950,100753,1570,67691,13440,390380,,,,,,,,,,,,,50,403,50,416,190,1639,140,2675,110,975,420,5603,190,3441,150,2495,610,9161,200,6091,180,4186,910,18381,230,7670,160,5885,1300,22267,240,6034,200,7573,1570,34657,230,6675,200,8240,1600,39309,210,18657,170,8875,1630,59991,170,13706,130,6858,1560,50562,110,11648,90,5341,1520,45690,180,23733,110,16841,2070,102685
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 850,9344,840,9127,1690,18475,,,,,,,,,,,,,20,84,20,91,40,175,40,250,60,645,90,896,60,365,90,788,140,1153,80,639,100,1007,180,1646,70,618,60,506,130,1124,70,850,80,1111,150,1961,70,1103,110,1588,170,2692,110,1782,110,1350,210,3132,170,2233,120,1424,280,3658,90,891,40,274,130,1166,90,521,80,326,170,852
19,Other income,Autres revenus,2012, 2090,23600,1490,10880,3790,47131,20,59,30,126,50,424,60,863,70,299,140,1357,130,1085,120,679,260,1899,230,3458,190,2230,450,5998,220,2416,140,939,370,3650,190,2015,100,686,300,3766,150,1865,100,625,270,3268,220,3373,130,1083,370,7715,210,2526,140,1228,370,5683,210,2193,140,1342,380,6021,180,1554,120,569,320,3404,110,911,80,259,190,1234,150,1280,140,815,320,2711
20,Net business income,Revenus nets d'entreprise,2012, 1180,45302,580,8703,4840,133341,,,,,20,231,,,20,204,70,2147,60,1410,50,419,180,4197,80,2177,80,1169,290,6899,90,1500,60,1674,420,9356,130,2701,70,171,590,13115,160,2190,80,1547,690,14089,190,2467,80,533,740,12315,160,4197,70,1398,640,19340,120,5745,40,834,520,15636,,,20,376,310,14886,,,10,109,200,10269,50,6469,,,180,10862
21,Net professional income,Revenus nets de profession libérale,2012, 490,37250,220,10139,2060,89998,,,,,,,10,290,,,40,1387,30,701,20,368,110,3308,30,1097,30,601,110,3864,40,3965,30,651,180,7359,50,3534,30,2131,350,10847,60,4415,20,2271,300,13061,70,6148,30,1281,280,14246,70,7127,30,1837,300,15336,70,6232,10,724,210,10399,30,2319,,,110,7821,30,988,,,50,1544,10,433,,,,
22,Net commission income,Revenus nets de commissions,2012, 60,1127,30,222,110,2129,,,,,,,,,,,,,10,50,,,20,155,,,,,10,280,,,,,10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,373,,,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 170,2319,70,776,330,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,219,20,108,10,387,40,450,30,378,10,105,50,471,30,535,,,40,554,20,106,,,40,-51,20,374,10,140,40,402,20,381,,,20,462,20,160,10,80,50,-849
24,Net fishing income,Revenus nets de pêche,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 40,248,,,50,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 10,89,10,102,30,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 20,103,20,120,40,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,48,10,70,,,20,116
28,Total income assessed,Revenu total établi,2012, 71250,2547273,29220,513897,130220,3627874,360,2888,280,1336,730,5015,3110,59502,1670,15245,5160,80344,7180,205200,2760,37112,10790,256615,9110,286221,2610,46211,13010,353278,9480,270126,2230,44899,13540,350627,8740,284194,2020,46372,13490,375713,6780,290062,1680,48856,11970,394282,5180,323423,1610,50614,10610,453400,3770,286994,1570,70839,9060,431678,3470,223645,2130,34428,8990,326664,4500,130308,3140,31380,10370,217454,3690,75106,2640,26047,8710,139654,5890,109604,4890,60559,13810,243149
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 4070,23779,1360,6321,5930,31945,,,,,,,100,234,30,40,130,278,420,1686,140,396,580,2116,480,1985,200,816,720,2898,480,2363,210,990,760,3570,520,2755,200,1030,780,4000,550,3381,170,887,820,4538,650,4646,160,928,890,5970,500,3821,160,932,720,5038,270,2102,60,241,370,2542,90,697,10,23,120,843,,,,,,,,,,,,
30,RRSP deduction,Cotisations à un REER,2012, 1330,9859,820,4347,2150,14315,,,,,,,10,13,,,,,80,303,80,261,160,564,130,670,140,400,270,1070,200,1216,140,659,350,1911,180,1293,100,561,280,1877,200,1409,110,716,310,2149,220,1611,100,780,310,2391,160,1580,80,511,240,2091,100,1111,50,355,150,1484,40,541,20,89,70,641,10,108,,,20,120,,,,,,
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 10,162,,,20,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 2980,2337,1360,770,4360,3129,10,4,,,20,5,190,108,100,19,300,128,440,388,220,75,660,465,450,332,230,124,680,459,410,255,190,166,610,429,350,282,160,101,510,389,300,273,130,79,430,353,290,249,120,82,410,334,240,245,140,82,380,328,150,133,50,30,200,162,70,45,10,6,90,51,40,18,,,50,21,30,4,10,2,40,6
33,Child care expenses,Frais de garde d'enfants,2012, 60,261,160,614,220,879,,,,,,,,,,,,,,,,,,,10,42,30,123,40,169,20,118,60,268,70,386,20,54,40,124,60,177,,,20,68,30,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 10,143,,,10,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 20,96,10,31,40,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 120,2977,,,120,3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,102,,,10,131,10,620,,,10,620,20,423,,,20,423,20,638,,,20,638,10,244,,,10,244,20,344,,,20,344,20,346,,,20,346,20,245,,,20,245
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 530,1001,280,363,1160,1859,,,,,,,,,,,,,,,,,30,28,30,27,10,13,50,50,50,48,30,21,90,73,50,99,40,44,100,294,70,137,30,23,140,204,70,263,40,80,150,360,70,173,40,60,160,270,50,76,30,42,130,166,50,75,20,32,110,120,40,44,,,80,191,40,39,30,29,120,104
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 50,55,60,28,110,86,,,,,,,,,,,,,,,,,20,12,,,10,3,20,16,,,,,10,6,10,10,,,20,16,,,,,10,12,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 70,1163,20,159,8940,29994,,,,,10,22,,,,,80,121,,,,,170,275,,,,,300,619,,,,,440,848,,,,,770,2066,,,,,1270,3564,10,52,,,1300,4186,10,66,,,1220,4049,,,,,1030,3525,,,,,910,3607,,,,,820,3585,10,941,,,630,3527
41,Other employment expenses,Autres dépenses d'emploi,2012, 410,1597,170,558,600,2269,,,,,,,50,114,30,12,80,145,90,213,50,43,140,260,60,243,30,36,90,306,50,210,20,44,70,258,40,196,20,40,60,236,40,242,,,50,434,30,98,,,40,167,30,95,,,40,139,10,100,,,20,234,,,,,,,,,,,,,,,,,,
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 30,348,,,40,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 1630,120419,390,20894,2500,158789,,,,,,,40,803,,,,,160,5687,30,477,220,6355,250,7193,40,1281,330,8787,250,11486,50,2490,370,16185,200,13170,40,3384,300,18202,190,20878,50,4029,310,27132,170,26648,40,2952,270,31113,130,15130,40,4797,210,21825,80,12610,30,1038,160,17780,60,4827,20,255,120,6600,,,,,70,1426,,,30,104,90,2493
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 8790,164208,3250,34293,22250,247565,20,26,,,40,71,340,1276,,,600,1566,980,8324,450,1291,1660,10122,1150,10581,490,2852,2020,14454,1140,15753,470,4675,2190,23758,1070,18153,390,5367,2360,27608,1020,27049,330,5993,2820,39179,1070,34150,310,4886,2840,45117,860,21842,300,6531,2520,34519,540,16517,160,1890,1880,26625,300,6652,70,405,1370,12297,150,1197,50,152,1050,5840,150,2688,70,166,900,6409
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 50,95,20,28,70,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,39,,,20,52,10,22,,,20,32,10,24,,,20,29
46,Net income after adjustments,Revenu net après rajustements,2012, 69440,2396679,28000,484142,115440,3443929,360,2862,280,1325,710,4986,3100,58241,1670,15179,5060,78948,7130,196950,2720,35936,10470,247022,9050,275874,2540,43437,12380,340128,9380,254613,2140,40387,12630,328709,8560,267143,1910,41540,12070,352776,6530,265463,1540,44006,9900,364952,4910,292288,1420,46764,8380,418384,3460,268673,1410,65233,6980,407379,3240,208690,1970,32707,7190,309809,4320,124451,3020,31107,8990,211341,3590,74277,2570,26087,7670,137861,5820,107154,4820,60435,13010,241636
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 20,259,,,20,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 430,38785,70,11320,530,51890,,,,,,,,,,,,,,,,,,,,,,,20,462,40,1267,,,50,1394,80,4891,10,208,90,5119,90,5759,10,191,110,6092,70,3309,20,1873,90,5313,60,7723,,,70,16812,50,11030,,,50,11369,10,2871,,,10,2943,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 70,440,40,266,120,715,,,,,,,,,,,10,22,,,,,10,18,,,,,,,,,,,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,69,,,10,43,10,101,20,129,,,30,186
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 110,1562,60,109,520,4562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,98,,,,,60,261,,,,,,,10,40,,,70,290,,,,,80,595,10,108,10,13,80,776,,,,,60,413,,,,,40,430,,,,,40,345
