#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 23430,32990,3710,5588,1550,2157,2870,4021,2870,4147,2080,2767,1770,2365,1530,2059,1310,1771,1090,1495,880,1222,680,943,590,837,850,1219,670,948,450,650,210,316,240,361,70,99,20,26
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 96690,905320,860,2401,2610,13103,7240,49486,11460,93810,12190,119545,11540,130572,10410,122136,8090,88494,6400,68541,4880,48791,3610,34490,2850,26755,4400,39477,2990,24268,2040,14771,1540,9335,3150,16708,420,2258,30,378
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 31900,343165,500,268,440,451,840,877,1410,1815,1610,2345,1660,3053,1900,4958,1850,6329,2040,6173,1840,6573,1620,7872,1490,7284,2540,16214,2050,13122,1800,14200,1400,12295,3630,49789,2130,56138,1160,133409
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 58530,76488,1500,756,1430,958,2670,1728,4440,3284,4410,3961,4080,3709,4100,3798,3890,3754,3890,4028,3240,3707,2660,2728,2360,2502,3800,4311,3110,3302,2680,3084,1960,2010,4650,7018,2350,6395,1300,15454
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 190,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,272,40,64,50,263
16,Net rental income,Revenus nets de location,2012, 13280,29224,300,-116,250,587,400,691,500,1098,540,1069,600,1080,680,1316,760,1198,830,1724,770,1241,740,1343,650,1128,1180,2304,1010,1839,940,1773,660,1311,1470,4154,690,2373,320,3110
17,Taxable capital gains,Gains en capital imposables,2012, 14630,110209,260,199,240,205,360,343,540,458,660,686,680,952,820,1138,800,1139,910,1437,830,1469,710,1726,650,1670,1150,3502,910,3753,850,3336,670,3058,1800,12229,1090,16185,710,56723
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 27930,149468,470,622,550,1497,940,3069,1290,4360,1640,5734,1730,7472,2010,9294,2010,8905,2040,9922,1690,7787,1510,7532,1380,7196,2340,12906,1900,10394,1610,8954,1190,6637,2680,20582,780,10408,170,6197
19,Other income,Autres revenus,2012, 44310,215157,1610,2248,2290,6097,2440,8071,2750,9109,2680,9363,2800,11076,2950,12284,2780,11499,2820,12213,2350,10553,2030,9623,1740,8307,2900,13564,2360,11332,1930,9437,1530,7685,3940,27100,1630,17883,790,17711
20,Net business income,Revenus nets d'entreprise,2012, 14310,176716,1050,-4207,1120,4998,1280,8484,1220,9122,1070,9718,970,9649,920,9739,750,7384,750,8396,630,7237,570,7038,530,7043,750,10938,600,10177,490,8492,340,6121,800,20897,350,20474,120,15015
21,Net professional income,Revenus nets de profession libérale,2012, 2760,194239,60,30,70,299,90,463,90,592,90,848,80,1024,70,774,60,990,80,964,80,1390,70,941,70,1627,150,3242,140,3210,130,3636,120,4347,400,23441,430,49457,480,96965
22,Net commission income,Revenus nets de commissions,2012, 2080,51086,90,-28,90,255,110,512,160,914,150,1102,130,1082,140,1836,130,1829,130,2003,110,1805,80,1251,80,1658,140,3293,130,3621,90,3201,60,2260,150,10469,70,8002,30,6019
23,Net farming income,Revenus nets d'agriculture,2012, 370,599,20,-385,30,-48,20,-57,30,-1,20,-34,30,-61,30,-99,20,99,30,4,20,-4,10,-40,20,-49,20,137,20,112,20,83,,,20,83,,,,
24,Net fishing income,Revenus nets de pêche,2012, 9730,171129,80,-491,160,-132,490,482,780,2870,1150,7234,1290,10657,1110,12018,940,14204,900,17611,680,15248,410,10070,350,9745,470,15250,280,10737,170,7142,110,5263,270,18938,80,7368,30,6917
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 11530,111073,,,320,1442,840,5392,1480,10569,1680,16335,1470,16808,1430,17805,1090,12009,770,7009,570,5327,410,4070,270,2609,380,3735,260,2173,160,1578,100,919,180,2183,30,482,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 24970,206866,2340,6803,7730,53857,9520,98626,3300,33941,1000,6851,460,2997,260,1758,130,900,60,343,40,185,30,176,20,91,30,184,20,89,10,21,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 53790,238786,710,1094,3450,10507,12820,54756,26200,145476,7310,19342,1730,3960,660,1684,370,833,220,480,100,171,70,160,40,85,30,68,30,60,10,23,,,20,42,,,,
28,Total income assessed,Revenu total établi,2012, 421230,17021867,29400,50849,29290,226784,43030,538328,53490,925671,36090,807565,30360,832993,27020,877096,24710,926962,21400,908076,17530,831656,14100,738840,12020,689754,18930,1227951,15460,1158692,12730,1079851,8600,813697,18720,2236088,6240,1138931,2150,1012082
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 82900,291909,270,126,480,172,840,497,1270,733,2040,1616,2830,2764,3890,5116,7020,13413,6640,14354,6610,16808,5610,15810,5270,16967,8950,33969,8400,39326,7560,41350,4560,25373,8320,45065,1940,13851,420,4597
30,RRSP deduction,Cotisations à un REER,2012, 67050,371974,190,255,240,256,500,714,980,1358,1760,2785,2480,4212,3160,6010,3840,8275,3910,9536,3920,11118,3760,12469,3500,12611,6450,26043,6170,28093,5580,28871,4270,26977,10700,97589,4210,63898,1430,30904
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 20150,201187,,,,,90,120,380,626,1100,3037,1830,7663,2080,11916,2240,16871,2110,19408,1900,19736,1470,17568,1140,15084,1650,22792,1090,15373,730,10803,530,8586,1220,19590,480,9485,100,2493
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 111820,83471,1650,147,2220,280,3140,504,4650,866,6040,1422,6610,1882,6730,2342,8770,4148,7830,4038,7430,4492,6150,4102,5760,4210,9780,8262,9030,9303,8080,9438,5200,6963,10210,16676,2230,3646,330,749
33,Child care expenses,Frais de garde d'enfants,2012, 12940,54763,130,116,220,371,350,729,610,1382,880,2365,1000,3035,1180,4223,1180,4726,1130,4797,990,4420,820,3858,740,3768,1100,5945,930,5190,670,3742,340,2090,490,2787,150,993,40,227
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 80,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,328,,,,
35,Moving expenses,Frais de déménagement,2012, 2040,10280,,,70,91,90,133,130,264,140,378,150,467,140,342,130,481,120,468,110,505,130,580,100,470,180,983,130,1073,90,605,80,697,160,1676,60,926,,
36,Support payments made,Pension alimentaire payée,2012, 790,10382,,,,,,,10,47,20,75,30,103,20,112,40,182,30,154,30,168,30,171,30,244,70,469,40,318,60,423,50,516,160,1872,90,2142,70,3343
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 16360,27197,90,76,120,114,210,178,520,386,740,565,830,595,1000,724,1070,899,1120,882,1060,1103,960,1068,770,839,1350,1635,1100,1601,1010,1495,790,1231,1890,4023,1130,3087,610,6696
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 17360,14453,180,13,980,161,1220,368,1380,509,1710,723,1810,863,1680,998,1390,1049,1400,1230,1100,1096,730,829,590,797,790,1214,500,874,340,592,220,396,680,1333,420,890,240,519
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 220,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,79,,,20,260,60,700,60,1878
41,Other employment expenses,Autres dépenses d'emploi,2012, 11920,45184,20,53,50,58,90,141,230,386,450,908,710,1650,920,2284,880,2569,870,2776,880,2978,780,3123,660,2679,1100,4333,1000,3975,890,3313,540,2585,1190,5822,500,3732,150,1818
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 670,6144,,,,,,,20,53,20,96,60,457,90,701,50,326,70,476,70,509,80,735,60,693,80,919,50,652,10,189,,,10,244,,,,
43,Other deductions,Autres déductions,2012, 15390,18249,290,271,350,208,850,555,1590,982,1790,1103,1650,1113,1590,1038,1290,969,1050,913,790,784,650,642,490,414,750,798,570,662,390,678,320,816,730,1908,190,1272,90,3123
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 204680,1139960,2560,1206,3980,1762,6020,4079,8980,7612,12140,15127,13870,24819,14660,35824,16500,53993,15040,59110,13720,63781,11430,61021,10090,58907,16480,107407,14110,106658,11870,101622,8040,76411,17530,199174,5760,104723,1900,56724
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 14160,28396,,,,,,,,,,,,,,,,,,,,,,,460,149,2860,3822,2770,5265,2070,4086,1620,3134,3440,7661,720,3002,220,1277
46,Net income after adjustments,Revenu net après rajustements,2012, 420570,15858429,28780,54330,29280,225047,43020,534371,53480,918069,36080,792454,30350,808180,27020,841272,24700,872972,21400,848966,17530,767874,14100,677820,12020,630712,18930,1116721,15460,1046806,12730,974144,8600,734152,18720,2029252,6240,1031206,2150,954080
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 30,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 180,7479,,,,,,,,,,,,,,,,,,,,,,,,,10,22,10,47,,,,,20,149,50,534,50,6589
49,Other payments deductions,Déduction pour autres paiements,2012, 88440,556752,3160,8175,11410,65840,22760,158775,30360,190025,9540,42528,3550,23765,2300,21247,1550,13741,1040,7832,700,5682,500,4406,320,2785,440,3986,300,2320,180,1621,110,944,200,2244,,,,
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 240,1921,,,,,30,53,20,96,40,143,20,143,30,177,20,63,20,156,10,102,,,10,76,10,188,,,,,,,10,222,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 2580,4418,,,20,29,,,50,60,80,72,120,63,130,128,130,130,150,81,150,181,130,102,110,130,210,298,170,282,150,196,120,225,370,676,260,633,190,1115
52,Capital gains deduction,Déduction pour gains en capital,2012, 500,42477,,,,,,,,,,,,,10,165,20,182,20,550,20,394,20,506,20,442,30,813,30,968,20,880,20,591,60,3362,80,7897,110,25578
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 13000,69522,50,23,60,83,270,628,480,1427,620,2096,720,2692,750,3068,680,2693,590,2470,600,2662,580,2680,540,2537,990,5037,910,4839,830,4871,830,5200,2700,20153,710,5651,110,712
54,Additional deductions,Déductions supplémentaires,2012, 1630,9641,20,19,60,112,140,302,310,1038,330,1432,230,1365,160,1197,110,1091,90,1110,50,562,30,212,20,139,30,238,20,108,20,184,,,20,180,10,231,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 40,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 105250,693215,3230,8224,11530,66088,23130,159809,30940,192688,10350,46346,4520,28120,3310,26028,2450,17936,1860,12228,1500,9608,1230,8018,1010,6295,1690,10828,1420,8746,1190,7950,1060,7251,3300,26987,1100,15503,430,34562
57,Taxable income assessed,Revenu imposable établi,2012, 405710,15166102,26800,46220,23830,159036,37230,374656,52500,725473,35820,746144,30210,780088,26890,815286,24660,855036,21370,837001,17500,758278,14090,669802,12010,624432,18930,1105894,15460,1038067,12720,966201,8600,726901,18720,2002265,6240,1015804,2150,919518
58,Basic personal amount,Montant personnel de base,2012, 424250,4576863,32430,345198,29290,314108,43030,463440,53490,577779,36090,389876,30360,328157,27020,292220,24710,267179,21400,231464,17530,189598,14100,152484,12020,129963,18930,204760,15460,167229,12730,137683,8600,92952,18720,202365,6240,67362,2150,23045
59,Age amount,Montant en raison de l'âge,2012, 86910,554089,840,5393,3690,24599,13500,90580,28310,190167,11010,73950,6900,46337,5500,36919,4080,26130,3770,22136,2470,13490,1780,8824,1380,5894,1910,6223,1100,2245,390,703,170,298,110,170,,,,
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 27430,178587,570,4820,590,4517,1580,11305,3280,14111,2880,14026,2260,12983,1810,11392,1540,9947,1280,8645,1110,7300,930,6445,800,5493,1360,9727,1120,7938,1030,7687,860,6555,2820,22237,1180,9775,420,3686
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 14460,148604,470,4787,670,6990,1620,17025,1920,20110,1890,19461,1590,16300,1190,12290,1030,10548,710,7245,580,5831,450,4512,320,3258,500,4974,420,4198,390,3908,250,2509,370,3687,70,739,20,232
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 52010,185246,1120,4302,1070,3620,2520,8925,3190,11114,3340,11356,3420,11573,3240,11214,3280,11260,2860,9916,2570,8845,2330,8224,2070,7198,3620,12948,3400,12190,3250,11814,2310,8430,5630,21031,2060,8204,750,3082
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 500,2583,,,,,20,109,40,218,60,308,50,264,30,172,40,196,30,151,30,117,20,136,30,113,30,139,40,200,10,80,10,64,30,167,10,60,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 240800,342306,3590,969,9150,1516,12930,3990,17450,7988,19950,13301,19360,16222,17940,18609,17700,24208,14980,23945,13210,24538,11110,22501,9770,20577,15960,34461,13820,30601,11730,26315,7990,18009,17280,39118,5320,11975,1570,3462
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 17360,14453,180,13,980,161,1220,368,1380,509,1710,723,1810,863,1680,998,1390,1049,1400,1230,1100,1096,730,829,590,797,790,1214,500,874,340,592,220,396,680,1333,420,890,240,519
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 253520,135995,7960,793,11520,1395,14370,2496,18610,4256,21120,6459,20340,7508,18720,8259,18430,10282,15740,10026,13710,9885,11300,8507,9930,7702,16060,12715,13800,11180,11590,9512,7810,6451,16640,13786,4730,3877,1160,907
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 4500,13511,,,40,116,80,246,160,468,260,771,330,990,440,1329,440,1332,410,1224,380,1131,280,840,240,720,370,1110,270,807,180,537,150,459,380,1140,70,210,,
71,Canada employment amount,Montant canadien pour emploi,2012, 275830,289837,11880,11432,12940,13591,15980,16744,19770,20947,22180,23269,21530,22440,20110,20825,19780,20503,17010,17452,14660,15245,12210,12814,10600,11212,17080,18209,14440,15572,12130,13118,8210,8910,17810,19363,5680,6186,1840,2006
72,Public transit amount,Montant pour le transport en commun,2012, 2120,867,200,61,220,74,210,76,240,91,260,119,200,97,150,73,110,52,90,40,80,35,60,23,50,22,60,32,60,28,40,13,30,9,50,16,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 21450,11954,90,35,100,45,220,91,420,158,620,263,810,367,980,448,1150,531,1220,576,1140,570,1110,577,1060,551,1990,1091,1970,1139,2000,1190,1340,803,3360,2114,1380,1003,510,402
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 8120,4205,30,13,30,12,60,22,100,42,170,69,210,88,270,111,340,148,360,166,390,180,400,182,400,190,750,366,830,438,850,446,610,324,1400,780,670,449,240,179
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 2610,12185,,,,,10,56,50,199,80,345,130,609,140,625,180,837,200,928,190,886,190,891,190,875,310,1437,270,1273,160,765,130,625,310,1539,50,225,,
76,Pension income amount,Montant pour revenu de pension,2012, 73090,139432,340,448,1110,1737,3370,5694,8330,13914,10580,20353,8240,16261,7480,14795,5990,11825,6000,11870,4230,8381,3140,6193,2510,4954,3560,7023,2270,4461,1500,2947,1090,2117,2230,4304,870,1667,250,489
77,Caregiver amount,Montant pour aidants naturels,2012, 5010,23655,30,107,30,169,130,570,330,1455,490,2233,500,2309,540,2520,510,2367,410,1987,330,1582,260,1166,200,984,300,1493,240,1222,170,786,140,642,300,1540,90,438,20,84
78,Disability amount ,Montant pour personnes handicapées,2012, 13590,102238,490,3799,1430,10762,1620,11988,1800,13463,1820,13650,1430,10784,1220,9212,910,6881,680,5102,460,3493,380,2845,290,2158,330,2513,220,1668,160,1222,110,827,170,1290,60,415,20,166
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 5530,53485,60,533,50,451,170,1871,310,2964,410,3626,420,3861,470,4289,470,4441,390,3647,370,3517,320,3024,230,2234,360,3688,350,3434,260,2726,210,2132,490,5075,150,1477,50,495
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 15910,8393,80,22,100,33,310,119,830,315,1170,497,1370,600,1360,670,1380,659,1280,670,1150,639,930,558,860,519,1530,991,1370,900,860,487,440,246,720,358,150,86,30,25
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 27330,129873,,,,,2520,2894,4350,16143,3540,20141,2810,17613,2410,14771,1960,11998,1580,9180,1260,6831,960,4896,850,4381,1530,8109,1270,4650,840,3270,450,1590,780,2448,190,728,50,208
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 10160,46712,,,,,20,70,110,414,220,876,380,1567,430,1824,610,2710,590,2551,570,2391,560,2458,530,2411,940,4290,930,4307,990,4698,700,3394,1630,7924,660,3360,260,1432
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 21830,118084,740,3429,990,3922,3810,20618,4360,26299,2900,17650,2240,12879,1610,8045,1070,5069,720,3669,520,2696,400,2136,310,1526,480,2299,370,1841,270,1333,230,1078,550,2484,200,838,60,272
84,Medical expenses,Montant admissible des frais médicaux,2012, 90170,195272,990,913,1310,1579,4260,5980,9270,17202,12500,25386,11540,25589,9910,22980,8850,20029,7280,16206,5330,11814,3740,8673,2780,6061,3950,9426,2630,6006,2000,5144,1020,2695,1860,5696,650,2123,320,1770
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 424260,1093282,32430,58080,29290,58424,43030,99792,53490,141049,36090,98807,30360,83440,27020,74189,24710,67527,21400,58505,17530,48015,14100,38964,12020,32969,18930,52387,15460,42660,12730,35547,8600,24233,18720,53995,6240,18317,2150,6381
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 86220,86688,90,27,240,93,1090,528,4490,5035,6870,4760,6880,5198,6960,5377,6730,5525,6360,5808,5290,4810,4510,4154,4010,3970,6550,6360,5400,4948,4820,4900,3400,3307,7980,9273,3250,6254,1310,6362
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 100,296,,,,,,,10,8,20,12,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 85060,22762,80,6,230,23,1070,132,4430,762,6780,1228,6760,1358,6850,1409,6650,1459,6280,1547,5220,1283,4460,1110,3950,1073,6440,1709,5320,1326,4750,1322,3350,889,7900,2514,3230,1739,1310,1874
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 424260,1116043,32430,58086,29290,58446,43030,99924,53490,141812,36090,100035,30360,84798,27020,75599,24710,68985,21400,60053,17530,49297,14100,40074,12020,34042,18930,54095,15460,43986,12730,36869,8600,25122,18720,56509,6240,20056,2150,8255
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 28910,46192,60,,30,,250,16,600,82,1140,175,1470,290,1800,545,1810,737,2020,765,1840,856,1620,1047,1500,979,2550,2215,2070,1803,1820,1943,1410,1676,3650,6782,2130,7632,1140,18650
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 600,6561,,,,,,,,,,,,,,,,,,,,,,,10,39,30,145,40,282,40,319,50,400,230,2440,160,2448,30,451
92,Minimum tax carryover,Report d'impôt minimum,2012, 370,1018,,,,,,,,,10,10,10,12,20,24,20,44,10,33,20,43,10,38,20,80,30,68,30,70,20,67,10,38,70,216,70,148,10,124
93,Basic federal tax ,Impôt fédéral de base,2012, 261110,1703051,150,20,240,89,5320,1147,14560,8322,22800,22176,24470,36207,24030,48182,23270,59429,20720,65343,17190,66423,13890,65119,11900,66819,18800,130558,15420,136166,12690,135439,8580,107887,18700,335662,6230,200362,2140,217704
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 6870,12178,,,,,20,,90,6,,,250,14,280,22,310,34,380,23,340,41,310,43,300,82,560,131,470,163,430,178,360,221,1090,1733,920,4148,610,5333
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 930,174,,,,,,,,,20,2,30,3,30,2,50,5,70,10,40,5,50,8,50,6,100,15,70,10,60,11,60,12,130,27,100,30,70,26
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 820,931,,,,,,,70,23,100,52,120,64,100,63,70,54,60,52,30,25,30,47,30,36,40,64,20,13,20,19,,,30,49,40,119,40,230
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 410,1587,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,40,41,40,64,190,344,70,323,50,800
99,Net federal tax,Impôt fédéral net,2012, 260770,1689783,140,20,240,89,5260,1142,14510,8294,22760,22122,24450,36128,24020,48094,23270,59338,20710,65258,17190,66351,13880,65023,11900,66695,18800,130348,15410,135980,12690,135229,8580,107642,18670,333855,6190,196062,2120,212114
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 17360,28906,180,26,980,322,1220,737,1380,1017,1710,1445,1810,1727,1680,1995,1390,2097,1400,2460,1100,2193,730,1657,590,1594,790,2429,500,1747,340,1184,220,791,680,2665,420,1780,240,1039
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 14160,28396,,,,,,,,,,,,,,,,,,,,,,,460,149,2860,3822,2770,5265,2070,4086,1620,3134,3440,7661,720,3002,220,1277
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 277690,1068418,120,12,1210,107,6460,1624,17160,6900,28370,20220,27010,27726,25860,34611,24230,43329,21210,48728,17410,48543,14030,46174,11980,45917,18890,87143,15430,88311,12700,86906,8580,68326,18680,201413,6220,109131,2140,103298
