#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 1703650,2554064,391500,619008,152790,234810,168990,251631,139460,207785,119260,174120,108820,157455,100850,145117,91870,132125,79870,116381,66020,96376,53730,79139,43980,64491,64600,94754,42600,62148,28070,41584,18420,27138,24410,36778,6760,10604,1660,2620
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 2537000,17019520,37390,85438,94090,399369,194060,1066475,266860,1714106,286490,2031183,281940,2140398,261810,2009574,227080,1677587,190690,1364824,148930,1050376,115550,807079,89670,614323,127630,827234,79030,472874,48560,281205,29490,165513,47970,255989,8280,45726,1480,10245
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 4094130,62893371,88880,84026,75380,84372,130480,166297,199140,299910,229180,451999,208430,618953,223300,800849,234330,1079186,254040,1329785,223400,1399756,205200,1632789,186310,1499508,334650,3297276,273130,3023899,218560,2826549,175230,2376485,440680,9206933,237540,9033257,156290,23681542
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 6602360,14945886,292960,184457,220150,210285,346740,349067,545990,617273,526740,745551,414410,662777,408420,681372,394900,672940,396410,706341,334240,594019,293770,527308,261570,489728,449220,904167,354680,739493,271300,604552,212680,492619,482120,1484532,237540,1248654,158540,3030751
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 104360,233941,13680,-37685,1040,10,1180,644,1380,-313,1550,-779,1650,-400,1920,54,2200,-581,2560,-973,2660,46,2710,301,2630,1169,5340,2142,5230,4159,4850,4792,4420,6196,15290,28435,14050,42760,20040,183964
16,Net rental income,Revenus nets de location,2012, 1457720,5125518,56320,-119840,51840,115427,72500,178904,87860,209575,91470,239075,82630,212900,83470,212955,83530,209501,85380,221846,76050,186412,69570,176324,63110,166515,109110,297175,89670,255608,72360,220280,56710,183187,129930,568916,60270,477083,35930,1113675
17,Taxable capital gains,Gains en capital imposables,2012, 2055300,17245600,60080,68921,48020,53401,69970,81434,101840,110971,119760,147892,107160,166759,112290,189303,114990,210497,122560,252647,107030,244948,96400,249285,88540,255071,158760,546509,130560,522014,103660,498227,84500,466214,213900,1792798,122430,2254497,92880,9134214
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 2306180,13123747,70090,91908,64170,167842,98350,325168,124440,438086,146480,566525,144220,612024,155920,681974,166400,756423,170840,813150,150180,708348,134650,646359,119830,604022,199860,1114918,150040,882139,110410,703181,81480,545519,153970,1489357,48750,917985,16100,1058819
19,Other income,Autres revenus,2012, 3977170,19549014,190160,242150,224810,554014,258410,712495,262780,668459,257640,640086,226830,605198,229710,628979,230790,671153,234230,709196,199210,617147,173020,550880,154870,516799,266500,956205,213040,837227,167020,731298,131290,636416,306000,2318975,152190,2215948,98680,4736389
20,Net business income,Revenus nets d'entreprise,2012, 2037640,25999934,166910,-518709,215300,1112434,265100,2134074,214740,2109475,170280,1958760,136670,1786283,115310,1585307,100500,1402982,91740,1318171,76140,1125669,64750,995433,55370,881881,89050,1509762,66740,1228286,50010,998827,36560,774480,77380,2286273,30220,1498950,14870,1811594
21,Net professional income,Revenus nets de profession libérale,2012, 337350,18699562,15180,-13976,18270,84056,22770,164076,20320,183966,17130,185293,15100,193426,13600,188737,12930,193377,12400,196261,11530,198741,10690,200633,10030,208816,18320,416262,16410,424686,14000,428275,11690,416988,36220,2015552,31120,3565675,29650,9448718
22,Net commission income,Revenus nets de commissions,2012, 231430,4209931,17420,-20674,18540,71583,22460,132565,20200,144970,17740,150784,15380,154679,13820,158001,12710,158523,11610,158024,10110,158254,8580,147872,7340,142562,12370,279216,9270,251422,7180,232458,5540,205831,12920,714965,5880,544659,2400,424236
23,Net farming income,Revenus nets d'agriculture,2012, 349490,2160912,20750,-316401,20020,28244,30430,104185,29200,86664,24940,96879,21500,103527,20620,129762,18930,108938,20720,190412,16470,118049,13770,101699,12280,90274,20820,170486,16040,145027,12610,127451,9520,103360,22600,309467,11140,230775,7150,232114
24,Net fishing income,Revenus nets de pêche,2012, 28530,475475,800,-8865,950,1016,1800,4052,2440,9962,2910,18471,3190,27138,2740,28922,2260,31274,2040,36378,1730,36321,1350,30274,1130,29223,1650,49997,1040,35801,690,27405,420,19191,1010,57716,280,23661,100,17538
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 611310,5292443,7790,17150,16420,56814,33150,155010,53830,323439,67920,507152,64870,566513,62150,575012,56770,537198,47830,474985,39740,404103,31850,324174,25950,255968,36290,359370,22890,219052,15090,143996,10110,96833,14950,186537,2990,67124,730,22013
26,Social assistance payments,Prestations d'assistance sociale,2012, 1587590,11166492,101700,267626,403720,2692901,527550,4560127,303600,1997174,137380,940930,50930,351941,23920,144831,13380,79666,7670,43656,5100,27932,3290,17176,2250,11164,2670,12107,1450,6504,840,3703,530,2195,990,4653,410,1554,210,652
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 1952900,9513392,27520,47431,95370,280027,362360,1861907,926490,5655444,379000,1147837,79460,266758,33370,110617,18780,54664,10450,29501,5500,15599,3300,9751,2270,6855,2970,8709,1630,4861,1030,3141,650,2010,1410,4289,800,2353,540,1634
28,Total income assessed,Revenu total établi,2012, 26531820,1169239984,2563740,3179229,1907280,14568452,2358430,29241005,2571370,44870768,1993850,44578719,1629960,44750554,1570910,51032029,1502520,56272208,1410650,59898959,1192040,56540543,1029780,53988365,889070,51056414,1449000,93880135,1107150,82750548,820670,69550470,622430,58923210,1223950,145506933,463610,85897739,225430,122753703
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 4794740,18118881,17970,6701,33500,10426,53080,25275,78110,47514,113100,91884,160640,166766,230730,305331,315070,524170,346580,706654,355190,863517,341140,956185,327430,1045053,568870,2144922,494900,2296720,381960,2104536,310420,2082842,495720,3366783,130880,1000106,39470,373497
30,RRSP deduction,Cotisations à un REER,2012, 6125330,33446063,24600,29387,28900,36841,64330,82926,119220,183370,180500,322527,239960,483724,311110,684478,376920,918402,411120,1131129,414470,1290145,396910,1397132,367460,1416114,640440,2801901,547290,2745065,438030,2552412,353790,2334202,764000,7391821,304420,4675879,141890,2968609
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 1146770,11993125,430,889,1510,2271,4040,6052,12850,21891,58270,134771,82480,333657,95350,502031,109410,666706,110890,811971,106540,944789,91470,998222,76030,974619,111930,1629684,78030,1154461,51700,806247,35630,595257,75580,1459019,30700,631217,13940,319370
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 5727210,4038057,118870,14668,175230,27112,208180,41353,218650,52404,244810,70947,281420,98107,331210,137846,387280,190901,395440,220419,383420,242779,355860,252971,334190,262988,568600,502958,485740,492267,367170,400370,291630,340155,442330,529304,106380,127530,30830,32979
33,Child care expenses,Frais de garde d'enfants,2012, 1283180,4608482,36760,32251,51400,82933,68580,142737,83250,200762,94460,258383,102050,305989,106970,349095,106920,370590,96980,365165,83780,335025,71790,300383,60790,264674,94930,433546,69420,328561,47600,244092,34160,178974,51700,281475,16140,99595,5490,34252
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 11190,343212,340,26128,230,5717,270,5984,360,8471,430,8494,510,12021,530,10128,540,10209,550,10532,590,11001,540,9876,500,8355,840,17419,760,17741,650,15908,520,12982,1500,51125,860,39828,680,61293
35,Moving expenses,Frais de déménagement,2012, 104660,435945,3020,3143,5000,5540,6660,7681,7450,10237,7880,13255,7840,15853,7250,16181,6530,17506,6070,18620,5400,18677,4880,19794,4490,20756,7570,40568,6030,39260,4460,32765,3460,28837,7350,75683,2550,36527,750,15060
36,Support payments made,Pension alimentaire payée,2012, 72120,1092735,400,2325,470,1154,730,2364,1110,3848,1570,5972,1900,8459,2370,12018,2860,16031,3040,18150,3120,19557,3080,21694,3090,21726,5910,46793,5640,50622,5080,49131,4480,49734,13240,199750,7810,203232,6230,360176
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 2413710,4774934,30200,36473,30620,27329,55210,41864,105130,63815,137270,88269,127220,100661,135400,112017,141920,126835,147880,137703,134990,145749,122810,145242,112030,140395,198200,269841,164620,266032,132160,236944,108200,208727,270280,676015,149100,602870,110470,1348153
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1679660,1319816,30990,2301,193500,33749,257740,88013,202410,99992,160300,100163,130010,97655,107870,90950,92590,84555,84260,83142,69860,73733,52450,63868,38870,52913,55980,82765,38560,61089,28460,47182,20600,35199,53540,98006,34490,68031,27190,56510
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, 434450,34577,15310,245,44610,1212,65290,2692,53870,2845,42290,2672,33370,2420,26660,2061,21800,1711,18950,1522,15550,1358,13400,1253,11200,1116,17430,1983,9930,1530,6920,1226,4880,911,13240,2858,10600,2599,9170,2362
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 77920,1110730,8840,29236,470,3303,380,1744,580,1487,830,4450,920,2310,1160,3432,1310,3838,1650,4000,1790,5797,1840,6863,1770,7710,3880,17486,3850,19408,3610,21413,3210,21120,12020,101643,11820,145792,17980,709697
41,Other employment expenses,Autres dépenses d'emploi,2012, 825240,4160630,3460,18807,5530,10246,10070,20526,17340,38226,24890,62493,31570,86323,37680,112181,42550,136733,45820,157114,48980,180157,49290,195993,47110,196406,85150,386744,70680,340367,56790,282024,48790,246573,121150,756362,53260,495333,25140,438021
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 27720,363023,60,149,150,494,290,1291,500,2727,920,5584,1320,9236,1960,15379,2090,18474,2420,23888,2410,26797,2490,31467,2420,34097,4080,64513,2610,46455,1520,28904,880,17446,1340,28656,230,6325,40,1141
43,Other deductions,Autres déductions,2012, 782310,2077067,29120,20091,31360,18454,49230,28495,68330,41542,75150,47560,70060,45673,66460,48286,60390,47812,52560,54317,41810,42427,33700,40498,27610,37948,41130,68793,29090,66123,21090,60688,15890,56783,35520,238210,18520,328780,15300,784586
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 14354490,87932820,278020,225485,473760,268210,631700,500522,698720,780364,797780,1218338,836900,1769698,916690,2402078,990580,3134970,990620,3744714,918580,4201895,824800,4441889,736530,4485214,1225230,8510465,978470,7926152,738190,6884233,571500,6210095,1119070,15257567,423120,8464445,204240,7506485
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 507080,1378243,,,,,,,,,,,,,,,,,,,,,,,6620,1959,53860,48281,102860,93199,78490,127978,55900,130141,124670,488626,52420,297356,32250,190680
46,Net income after adjustments,Revenu net après rajustements,2012, 26423380,1081132036,2462580,3979180,1904780,14315945,2357190,28752820,2570660,44101393,1993350,43374025,1629570,42990708,1570630,48637261,1502290,53142665,1410470,56168821,1191870,52343963,1029640,49550009,888970,46572818,1448870,85327667,1107020,74737419,820570,62543310,622370,52586529,1223750,129779237,463490,77152042,225340,115076224
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 4150,91766,20,24,20,26,20,6,20,42,30,57,30,86,20,54,40,120,50,326,110,1144,160,2691,290,7152,910,17305,670,13296,460,11525,330,8449,820,23756,130,5233,30,476
48,Security options deductions,Déductions pour options d'achat de titres,2012, 45350,2158147,90,335,,,,,260,430,390,660,420,820,440,857,520,1040,630,1091,680,1205,750,1746,820,1982,1540,4168,1600,5132,1550,5739,1720,6832,8700,51887,11040,137626,13880,1935258
49,Other payments deductions,Déduction pour autres paiements,2012, 3835780,25969110,135280,332644,509230,3029953,862360,6577390,1136410,7976427,517130,2596011,178760,1185219,113300,830470,85860,671718,64220,548449,49270,447634,37800,351105,30000,273987,41410,380186,25670,230373,16750,150747,11120,100876,16710,194143,3510,69113,1000,22666
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 31920,354492,1050,3719,560,2257,3160,5721,4230,12626,3990,17354,3400,19127,2810,18952,2140,16392,1760,15054,1350,13618,1120,11699,930,9758,1390,18197,900,12727,660,11720,520,9772,1020,24125,500,20766,430,110910
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 510120,1330215,3090,2150,3270,4629,6930,6762,12700,11727,21440,18735,23010,22949,26380,27659,28250,30468,31350,34878,28170,36463,25910,37037,23990,35641,44340,72899,37360,67220,29850,59559,24600,52943,66380,189205,40550,191213,32550,428077
52,Capital gains deduction,Déduction pour gains en capital,2012, 62580,4408407,400,1943,330,959,690,1598,1080,2847,1550,5747,1680,9567,1810,12152,2030,16759,2180,21797,2270,27716,2250,32827,2160,34970,4730,104476,3870,101125,3300,102407,2850,101025,9150,453972,8700,817781,11570,2558741
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 256300,882042,2600,1266,2950,4061,6040,12128,10680,26408,12280,31910,12430,34499,12850,37282,12610,37327,12120,36590,11520,36266,11130,36292,10450,35457,19890,69882,17910,66098,16840,65023,15280,61430,42870,187752,21540,86292,4330,16078
54,Additional deductions,Déductions supplémentaires,2012, 203070,1243014,9040,26650,10470,56571,16490,87911,31030,139812,31780,112547,19070,80098,15530,75445,12770,65988,10650,57139,7850,47459,5630,33801,4650,27656,7340,46879,4980,37789,3240,28603,2410,25244,5480,92727,2920,101276,1740,99420
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 13340,136174,230,2385,150,819,730,1781,1010,3602,1100,4939,1040,6584,880,6544,820,7771,730,6075,660,5441,610,5522,510,4787,870,9270,750,7953,570,5728,430,5160,1200,18448,610,11520,450,21846
56,Total deductions from net income,Total des déductions du revenu net,2012, 4830500,36584557,150600,371140,524230,3100334,887620,6693589,1169190,8173967,564340,2788015,230360,1359024,167750,1009518,139920,847679,119340,721651,98330,617073,82240,512890,71200,431612,117860,723703,90270,542228,70670,441413,57140,372210,146310,1237250,83980,1442185,59160,5199077
57,Taxable income assessed,Revenu imposable établi,2012, 25742170,1044656932,2390490,3639682,1656000,11227209,2100300,22067457,2509890,35948322,1971850,40589743,1622010,41634488,1566320,47629811,1499350,52298477,1408540,55449125,1190550,51729168,1029050,49037907,888640,46142055,1448400,84605534,1106700,74196664,820320,62103614,622200,52215203,1223240,128546731,463160,75715394,225190,109880347
58,Basic personal amount,Montant personnel de base,2012, 26634460,286743543,2692430,28263671,1903120,20374865,2355310,25360846,2569000,27727537,1992020,21510579,1628360,17591032,1569670,16964725,1501440,16232242,1409630,15242845,1191240,12882152,1029070,11129142,888450,9609050,1448050,15661970,1106350,11966532,820050,8869998,621890,6726523,1222150,13216345,462230,4995375,224030,2418113
59,Age amount,Montant en raison de l'âge,2012, 5033270,30504627,110480,704678,161720,1075643,481400,3228858,1148230,7713050,709950,4769450,437100,2936350,391770,2627641,332540,2112831,301900,1738883,216020,1141231,167600,795719,136090,564847,217190,672726,133720,263508,48020,87322,20230,33743,16860,28708,1660,6394,810,3045
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 2104510,15384787,125050,1108787,103130,749262,156010,1110621,197140,1313401,191010,1271431,146220,993063,126690,885105,113220,805281,98990,713010,86480,626038,77160,563975,68980,506474,117760,869724,98490,741236,79990,606074,64800,495626,152710,1198591,66900,542993,33800,284094
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 951490,9741938,72710,752688,78370,815603,111430,1168411,92700,962713,77290,793658,67300,688095,63200,644183,59850,608800,51320,521277,43250,437291,35980,362719,29840,300261,46220,464075,35470,355629,25430,255089,19030,191114,29780,297371,8950,89333,3390,33628
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 3759890,14460701,189750,756812,146470,549514,207300,790181,203940,790256,198160,755012,194980,732946,202410,754772,209630,780220,202860,756304,188660,705780,176580,662784,162490,613849,288080,1098518,251130,967344,206040,803526,169470,669275,351300,1402137,141220,576564,69430,294907
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 17770,80312,320,1909,360,1877,620,3416,930,4369,1270,5892,1180,5247,1280,5602,1360,5884,1280,5446,1110,4860,1010,4335,860,3734,1410,6074,1160,5116,860,3811,620,2591,1370,6405,540,2552,260,1191
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 15254610,23050943,231950,45149,760190,132813,951860,337764,984120,543344,1014960,782870,1002970,992835,1027380,1262300,1038010,1533932,983630,1678927,884430,1717972,786450,1655497,696450,1500130,1151730,2518153,921490,2043291,701480,1565244,544920,1224644,1046880,2348852,368650,821480,157070,345745
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1679660,1319816,30990,2301,193500,33749,257740,88013,202410,99992,160300,100163,130010,97655,107870,90950,92590,84555,84260,83142,69860,73733,52450,63868,38870,52913,55980,82765,38560,61089,28460,47182,20600,35199,53540,98006,34490,68031,27190,56510
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 15094480,8218603,504610,60376,872420,103562,960710,175483,966140,241769,989050,321135,978750,391059,998540,479197,1009660,569782,954590,616550,858250,613963,759160,562040,675860,508806,1110320,847790,884600,685576,668200,526522,518000,412796,959630,764666,312010,248361,113960,89169
67,PPIP premiums paid,Cotisations au RPAP,2012, 3740830,724381,118890,4064,210960,7842,245770,14059,254870,20188,269650,27765,276750,35290,296060,45755,301800,55081,261980,53876,225160,52288,194460,50302,166900,47542,262780,84212,203510,70004,125230,43258,86040,30059,163950,57342,51630,17551,24460,7902
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, 111010,22490,2650,68,5410,151,6480,275,6090,355,5580,440,5230,512,5390,655,5410,802,5540,961,6210,1259,6280,1439,6320,1620,10610,3038,7950,2475,6620,2125,5110,1676,10010,3290,3280,1085,860,263
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, 440060,44588,15530,320,44920,1564,65760,3473,54450,3669,42810,3446,33850,3122,27120,2659,22230,2208,19290,1964,15910,1752,13680,1617,11480,1441,17800,2556,10100,1973,7010,1579,4930,1174,13370,3682,10630,3347,9190,3042
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 39800,119398,700,2109,640,1904,910,2714,1340,4008,1760,5274,2110,6330,2800,8399,3010,9021,3160,9483,3020,9044,2750,8241,2510,7527,4260,12792,3190,9570,2310,6936,1730,5184,2990,8958,560,1689,70,216
71,Canada employment amount,Montant canadien pour emploi,2012, 17508420,18468564,846030,792678,1022940,1081956,1119630,1185725,1101020,1169668,1131160,1193225,1115120,1172030,1145210,1197354,1155750,1207393,1097780,1147415,972850,1024864,856890,907939,752920,801025,1238530,1322563,976680,1049584,737050,794824,568670,614927,1098990,1188479,394830,426747,176370,190167
72,Public transit amount,Montant pour le transport en commun,2012, 1697520,1384264,95390,42959,107550,51473,131420,70440,131830,82048,126650,90815,114900,90969,108590,91440,104510,92069,96490,88346,86450,81253,76200,73217,67320,65996,109090,108308,85260,85843,65270,67045,49130,51806,97890,103867,32180,33912,11410,12456
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 1619240,883622,22050,9984,19030,8118,30570,13250,40520,17995,49690,22129,59560,26564,70320,31459,80720,36543,85060,39666,85150,40797,84290,41290,81640,40919,153460,79865,144540,79260,125610,72864,109470,67196,230640,147865,97340,68903,49600,38955
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 558990,285288,7160,3179,6020,2583,9320,4199,12440,5647,15450,6906,18240,8137,21050,9376,23930,10695,25370,11518,25490,11637,25560,11754,25230,11722,49190,23474,48910,24056,45160,23339,41310,22217,92750,52369,42950,26428,23480,16053
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 191000,860651,1800,7511,1270,5489,2500,10527,4700,19658,7810,33495,10880,47183,14250,62081,16760,73788,17330,76858,16100,72256,15140,68220,13440,61246,22170,101985,15430,71690,9970,46740,6610,31048,11430,54379,2750,13263,670,3235
76,Pension income amount,Montant pour revenu de pension,2012, 4655180,8872044,27590,37580,60120,92744,172660,278360,456900,765826,613150,1158215,452650,884909,437900,862302,396950,782893,387870,766495,287520,567125,225120,443688,184900,364369,289260,570035,186590,367104,121590,238803,81650,159783,166070,324393,69800,135992,36890,71428
77,Caregiver amount,Montant pour aidants naturels,2012, 226500,1153116,4320,21007,4020,18819,6480,29158,10090,45634,13590,62538,15000,71776,16860,82718,17690,88543,16820,84815,15670,80257,13470,68827,11810,61544,18960,99360,14750,78546,11640,63286,9010,49737,18290,101758,5850,32733,2200,12060
78,Disability amount ,Montant pour personnes handicapées,2012, 677150,5103807,31590,242804,49670,374955,93820,704767,89830,675201,83150,624027,63820,480945,54890,413841,44490,335611,36440,274944,26260,198078,20020,151061,15510,116972,22240,167847,13700,103401,8400,63351,5470,41301,10680,80600,4470,33670,2710,20432
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 231700,2296299,6640,72560,5180,56030,7720,80998,9980,96658,11570,104794,12900,117011,14500,134665,15950,150696,15680,149884,14800,145094,13220,130917,11860,117999,19860,200121,16610,170869,13030,134306,10390,107309,20800,215207,7650,77549,3370,33632
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 625110,318771,4510,1992,4330,1673,13040,4762,30520,12574,43610,18512,52680,23411,59540,27878,61180,29926,55950,28852,49450,26422,42920,23769,37200,21391,58790,35380,40730,23966,25310,13993,15750,8449,22520,12054,5520,2939,1570,827
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 1728040,8848702,690,824,1090,2333,180790,195070,298910,1063793,221510,1261801,175290,1140615,145000,969336,119330,802924,99560,653391,80400,505990,66730,404980,57020,359453,88210,537532,61090,301340,41700,196579,29100,127744,46080,232140,11610,70883,3920,21975
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 719240,3609991,650,2369,620,2159,2620,5993,9070,31580,16940,70673,23220,102177,29940,136294,35830,166526,39350,185556,39320,187988,38360,184257,37150,180722,67830,333686,66200,330237,57980,296670,51630,271177,118890,640372,53460,301119,30190,180436
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 1227960,6079977,160760,733834,72660,327810,167250,879851,166310,897229,141060,764284,103500,539536,80980,397821,62840,295698,45120,211568,33720,159349,27100,127148,22650,106327,35800,166114,26410,119518,19890,88895,15010,65247,31060,132575,11250,47536,4600,19638
