#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 372660,3842795,234700,2409131,290,2883,2140,21878,1990,20321,19360,200418,5630,56359,7420,64878,91980,972987,9170,93942
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 1477190,5694077,1114740,4231604,6150,35614,16850,68464,10260,39928,95930,392285,40010,158795,12160,39916,159330,645335,21760,82136
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 8980,39012,4940,22166,30,116,100,403,50,244,450,2112,470,2130,2430,9382,290,1581,210,878
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 5595990,8577804,5180450,8318200,9810,12018,13560,11677,7090,3647,83910,46707,92040,99594,68560,30876,95620,23352,44950,31734
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 666930,512274,86050,16426,18430,16941,64940,94263,42640,48533,409770,317588,24360,12708,11510,3403,4030,559,5210,1852
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 5531560,3199476,5104330,3100494,8100,4012,10030,3471,5120,1221,65540,17453,55910,19802,108860,22801,121660,16074,52020,14149
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 8090,24281,6810,20427,140,426,10,33,20,48,430,1287,100,303,420,1253,110,324,60,180
71,Canada employment amount,Montant canadien pour emploi,2012, 6509020,6831283,5573140,6066370,12710,12782,17780,16914,9170,8729,106330,100870,134030,135191,386320,234404,184830,176531,84720,79490
72,Public transit amount,Montant pour le transport en commun,2012, 662100,690012,578720,627517,80,44,3430,3567,1030,960,10850,10064,7750,5821,21090,14148,24830,18995,14340,8897
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 646460,385613,548890,326910,2350,1456,10390,7692,4820,3171,32490,19569,18570,12976,3500,1781,18660,8029,6800,4030
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 229340,127672,193540,106877,620,317,5360,3589,1930,1154,11050,6165,8280,5357,1140,590,4920,2241,2500,1380
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 62990,286598,57280,260551,70,341,470,2186,260,1216,2090,9909,820,3859,620,2590,990,4150,410,1795
76,Pension income amount,Montant pour revenu de pension,2012, 1789680,3433704,169810,316909,8290,15173,6410,12225,2990,5514,22500,41690,83180,155255,1441710,2790262,19050,29361,35740,67314
77,Caregiver amount,Montant pour aidants naturels,2012, 103390,545771,78460,419909,280,1557,870,4737,830,4481,4300,21491,3660,18425,11140,55499,2050,10420,1800,9250
78,Disability amount ,Montant pour personnes handicapées,2012, 300240,2263231,43840,332642,640,4805,550,4136,310,2352,3180,23994,14430,109223,187470,1410425,40530,305341,9300,70312
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 101740,1000390,71680,727786,450,3993,1000,9546,600,5706,4520,43932,3140,26498,12600,94889,5650,68114,2100,19926
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 220310,118960,202450,109014,90,41,2460,2006,610,322,5720,3372,1320,791,360,146,6080,2621,1230,648
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 642760,3751624,557240,3182522,600,2557,5370,60590,2370,10403,20200,105144,22420,221299,5950,11917,14200,64717,14410,92475
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 312040,1673236,263800,1421481,1230,6660,5040,30030,2450,13108,12770,65475,9790,52292,10880,52960,1170,5027,4920,26205
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 492860,2438003,172300,777707,3630,19387,1970,8652,2070,8931,25760,117079,18750,87009,180400,931022,75810,430997,12180,57220
84,Medical expenses,Montant admissible des frais médicaux,2012, 1133350,3237481,438290,860251,10070,23314,14490,44294,8590,19417,82950,150685,65950,360789,447190,1608548,33530,55186,32300,114998
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 10065940,26190868,5889720,15266614,41770,105748,79570,200788,52420,124402,522650,1219383,424140,1007567,1861920,5477505,891460,2145331,302280,643531
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 2309590,4082254,1467030,1869106,13510,34598,33080,164005,13750,24800,74410,133770,98510,939550,549040,793396,19350,10422,40910,112606
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 2680,26529,1550,6304,,,30,1399,,,100,2093,130,12404,720,3717,80,38,50,496
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 2298360,1127037,1458190,508747,13460,9708,33050,47131,13710,6893,74130,37786,98270,271197,547940,212059,19030,2666,40580,30851
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 10065940,27317905,5889720,15775361,41770,115456,79570,247919,52420,131294,522650,1257169,424140,1278764,1861920,5689564,891460,2147997,302280,674381
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 1459280,2932391,704200,473758,11000,10073,20290,41536,8250,6105,40360,30911,209570,2115900,420020,228054,9570,1384,36020,24670
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1350,12528,1310,12277,,,,,,,,,20,161,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 13110,41709,2850,12939,590,1640,210,1216,70,295,430,1439,6870,18718,1530,3424,10,16,550,2022
93,Basic federal tax ,Impôt fédéral de base,2012, 6192380,48103487,4334720,36325662,23680,124052,57340,1764321,30580,254309,233920,1042405,218390,3322597,1097510,3908644,82780,105617,113480,1255881
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 537270,464750,251580,331837,3700,526,10150,11572,2610,303,13750,20223,66000,63723,172550,28123,2320,79,14610,8364
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 64480,10692,23860,4192,520,72,2230,496,390,60,1890,306,5540,1160,28610,4168,170,23,1280,215
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 17400,39200,6830,17467,,,1480,6210,160,313,1090,2747,2350,8325,2950,2867,,,410,1062
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 1570,854,1210,658,,,30,18,40,23,80,40,50,29,120,67,,,20,13
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 10000,61850,570,2497,250,1521,90,768,10,57,160,1083,8760,55450,120,327,,,20,148
99,Net federal tax,Impôt fédéral net,2012, 6173950,47604034,4323590,35974788,23450,123272,57240,1751844,30550,253616,233500,1024781,215500,3250319,1094530,3873527,82510,105555,113090,1246332
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 666920,1024548,86040,32852,18430,33883,64940,188527,42640,97067,409760,635176,24360,25416,11510,6805,4030,1119,5210,3704
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 197690,567331,69270,148899,1160,3797,4170,20266,900,3260,3090,10616,38320,169233,70530,178854,740,1539,9520,30867
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 6420130,26726161,4441320,19971015,24470,67466,57270,970460,29780,140869,217700,553660,255940,2072388,1201570,2177500,79130,54752,112940,718051
103,Total tax payable,Total à payer,2012, 6833640,75922865,4532200,56127596,31060,228421,73400,2931281,45700,494880,438540,2224710,268850,5517363,1229530,6236686,94080,162971,120280,1998956
