#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 2306180,13123747,1327200,4405914,9650,68271,14200,97905,13980,81765,108540,430601,93220,695948,447250,2451259,80180,174504,211960,4717581
19,Other income,Autres revenus,2012, 3977170,19549014,1810360,5181593,63670,167965,38660,150621,17580,42875,121900,296438,349130,1587172,1057240,2102026,124160,224920,394490,9795405
20,Net business income,Revenus nets d'entreprise,2012, 2037640,25999934,539730,874774,13290,112352,5760,24232,5450,12111,1183680,24043722,93940,616441,132610,262338,34640,3276,28550,50688
21,Net professional income,Revenus nets de profession libérale,2012, 337350,18699562,93840,502974,550,12829,185000,17539578,820,1787,4340,75887,18520,416379,24980,116823,4100,5379,5200,27927
22,Net commission income,Revenus nets de commissions,2012, 231430,4209931,75880,123032,920,10875,1140,4946,108940,3884120,7500,46525,13200,108035,13970,21906,5560,4586,4320,5905
23,Net farming income,Revenus nets d'agriculture,2012, 349490,2160912,82170,-267134,174170,2589503,1440,-7958,640,-3241,14690,-42248,27700,-6097,43010,-72318,2610,-8414,3050,-21182
24,Net fishing income,Revenus nets de pêche,2012, 28530,475475,3830,11142,18720,434852,,,,,360,1582,660,7486,1020,1562,3770,18386,140,457
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 611310,5292443,302340,1172840,1880,14413,470,2889,670,3838,11340,72666,11470,102866,113950,732160,163930,3151015,5260,39754
26,Social assistance payments,Prestations d'assistance sociale,2012, 1587590,11166492,191500,663384,5570,11294,980,3610,980,3627,15670,58189,5240,13210,168680,389629,1186330,9982114,12640,41434
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 1952900,9513392,28340,70029,15140,58765,1180,4074,1210,4283,19390,67196,35110,116917,1397860,4923594,443230,4239536,11440,28997
28,Total income assessed,Revenu total établi,2012, 26531820,1169239984,15710520,795794844,197650,7297788,186440,20536830,110180,4714538,1200680,32298549,1213110,95183533,5059980,161176694,2294140,30509025,559120,21728182
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 4794740,18118881,4541930,17727016,10080,28892,5760,20063,1410,2072,25200,42811,40550,105625,77060,92414,64120,46004,28630,53983
30,RRSP deduction,Cotisations à un REER,2012, 6125330,33446063,5211590,26839907,33720,259227,89130,1324488,30310,290719,221510,1336633,202130,1844228,201270,632511,73870,117632,61790,800718
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 1146770,11993125,146940,1479301,8770,56748,5500,78882,1940,18041,16840,163293,58420,531146,881870,9394269,4720,22563,21770,248882
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 5727210,4038057,5086060,3836049,18200,7971,23580,24566,7060,4717,73810,33203,86980,42979,254680,48021,125070,25871,51770,14679
33,Child care expenses,Frais de garde d'enfants,2012, 1283180,4608482,1026990,3919919,5250,11388,17470,75958,8000,27096,89870,250046,34270,122668,3910,5586,84990,166403,12430,29418
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 11190,343212,6800,164671,60,1593,220,8315,130,3332,690,18576,1370,88649,1280,33687,170,2569,470,21821
35,Moving expenses,Frais de déménagement,2012, 104660,435945,92060,382028,190,610,1520,10624,280,1643,3210,15581,2000,9382,1390,5770,1650,3029,2360,7277
36,Support payments made,Pension alimentaire payée,2012, 72120,1092735,47940,688729,370,4192,1800,81847,500,8380,2610,32902,4330,138770,12610,117473,870,3453,1090,16990
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 2413710,4774934,1049810,1633893,16240,34826,28730,126792,11840,32161,61470,147438,325170,1805907,822390,809074,34650,16552,63410,168290
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1679660,1319816,249310,46293,93780,87842,156540,229182,90840,106663,959150,796966,66900,34897,38260,11463,12150,2052,12740,4458
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, 434450,34577,83700,1267,16060,1314,52450,9139,19090,2423,218770,18650,16410,941,18820,626,5210,84,3950,131
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 77920,1110730,26790,481801,940,7041,3170,67236,580,7296,2060,41758,27840,387638,14560,80442,130,225,1850,37294
41,Other employment expenses,Autres dépenses d'emploi,2012, 825240,4160630,764590,3894185,1470,5029,1940,8843,3000,32877,10650,50188,12630,67037,15130,47510,9800,26990,6040,27971
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 27720,363023,25290,345459,60,576,40,376,20,115,340,3049,350,3411,1370,8696,120,359,140,982
43,Other deductions,Autres déductions,2012, 782310,2077067,424060,560686,7380,9933,5250,11621,2720,2632,23760,27227,70250,131207,154760,966937,68680,59570,25460,307254
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 14354490,87932820,9994400,62008711,127980,517248,172690,2078011,97380,540217,1032980,2978773,609320,5315408,1799230,12256029,329090,497801,191430,1740621
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 507080,1378243,227720,448446,7820,26011,8660,42017,1820,6514,7350,24251,98010,421611,133800,340808,1510,2897,20390,65688
46,Net income after adjustments,Revenu net après rajustements,2012, 26423380,1081132036,15694640,733453103,189260,6923197,183490,18455746,106700,4201245,1161070,29804803,1183360,89675337,5057850,148621110,2290260,30055455,556750,19942039
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 4150,91766,4090,91091,,,,,,,,,,,20,427,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 45350,2158147,42290,2066263,80,1761,100,3080,20,62,210,4642,960,62046,890,5667,150,317,660,14311
49,Other payments deductions,Déduction pour autres paiements,2012, 3835780,25969110,514790,1906402,18670,84324,2550,10541,2770,11732,44690,198044,48250,229708,1574940,6045639,1600800,17373031,28330,109689
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 31920,354492,10610,94577,310,2647,770,12282,1110,7919,9720,129912,5070,72143,2210,14728,710,2433,1400,17852
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 510120,1330215,191930,298775,5810,9957,8880,28738,3250,6757,14570,28557,89480,676414,176960,224668,2880,2202,16360,54148
52,Capital gains deduction,Déduction pour gains en capital,2012, 62580,4408407,14270,291600,8530,394701,410,24515,100,2335,1400,44627,31600,3602909,5250,28846,290,701,740,18172
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 256300,882042,203920,732485,4430,12796,660,2151,280,782,7250,22175,8420,22744,19910,59606,9050,22629,2370,6674
54,Additional deductions,Déductions supplémentaires,2012, 203070,1243014,24560,443064,700,1397,710,13563,170,507,2180,24107,9480,49501,152280,608537,8970,53315,4030,49023
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 13340,136174,3490,22566,6220,83675,80,367,40,285,840,6272,1240,15667,1130,4691,100,542,200,2109
56,Total deductions from net income,Total des déductions du revenu net,2012, 4830500,36584557,987940,5948629,40840,591324,13880,96100,7570,30425,78460,458623,179860,4738404,1860240,6993731,1609830,17455171,51870,272149
57,Taxable income assessed,Revenu imposable établi,2012, 25742170,1044656932,15682550,727516616,188200,6344908,183260,18360171,106600,4171224,1159180,29359750,1181560,84951605,5040840,141640883,1643770,12639666,556220,19672108
58,Basic personal amount,Montant personnel de base,2012, 26634460,286743543,15676090,168560849,197920,2141352,185030,1996380,110420,1191669,1201930,12955259,1191680,12846972,5059880,54684576,2294110,24674239,717410,7692247
59,Age amount,Montant en raison de l'âge,2012, 5033270,30504627,264360,1249341,42760,246410,10080,48108,8060,43296,73460,439176,209290,1035948,3935200,24261039,434530,2889898,55530,291411
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 2104510,15384787,1389890,10669343,24430,149445,14350,106420,11620,84695,156350,1149093,79360,568010,217100,933197,167240,1391559,44180,333024
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 951490,9741938,633640,6459499,1910,18870,5670,57436,4310,43836,47880,491015,16440,163325,17750,151036,201690,2130060,22200,226861
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 3759890,14460701,2873890,10871029,29310,150620,39000,157387,21280,82469,216610,875902,127660,510774,28360,91791,370930,1520733,52850,199994
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 17770,80312,9530,43599,130,596,160,711,100,404,780,3704,950,4276,5030,21300,660,3753,430,1968
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 15254610,23050943,13988710,22269256,43840,49201,35360,27615,16470,8040,213760,119592,292950,317722,221680,95922,330540,90870,111300,72725
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1679660,1319816,249310,46293,93780,87842,156540,229182,90840,106663,959150,796966,66900,34897,38260,11463,12150,2052,12740,4458
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 15094480,8218603,13840000,7932033,50520,24631,25990,8227,12150,2688,170880,43804,177780,62222,300040,59008,392060,54617,125040,31373
67,PPIP premiums paid,Cotisations au RPAP,2012, 3740830,724381,3377000,696666,6680,756,12290,1110,3370,182,46350,2984,70790,10781,85850,5032,109480,4835,29030,2037
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, 111010,22490,102220,21816,130,17,410,37,120,5,1380,87,1380,163,1870,124,2260,114,1240,126
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, 440060,44588,88410,1678,16070,1693,52470,11769,19100,3121,218970,24022,16540,1213,19060,810,5400,112,4040,170
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 39800,119398,32070,96207,1500,4485,70,216,60,180,1660,4974,640,1905,2230,6700,1280,3846,300,885
71,Canada employment amount,Montant canadien pour emploi,2012, 17508420,18468564,14948280,16276981,56200,57118,46590,43394,21820,20337,267290,256875,418880,426242,988420,660402,557800,536833,203140,190382
72,Public transit amount,Montant pour le transport en commun,2012, 1697520,1384264,1473870,1255843,390,162,9110,7111,2800,1980,28170,19971,25880,14787,69070,32513,53740,33778,34500,18119
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 1619240,883622,1366720,744111,10880,6019,23810,15986,10080,6266,78200,42706,62800,40416,7730,3651,43820,16248,15220,8221
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 558990,285288,468420,236803,2940,1490,11440,7009,3910,2192,26430,13617,26160,15630,2650,1256,11390,4405,5640,2886
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 191000,860651,175000,788683,310,1494,1420,6598,570,2658,5340,24879,2330,10750,1810,7775,3190,13304,1030,4510
76,Pension income amount,Montant pour revenu de pension,2012, 4655180,8872044,481970,905166,29690,53572,14520,27767,6490,12085,57690,106784,223120,414668,3712700,7125893,44320,67618,84680,158491
77,Caregiver amount,Montant pour aidants naturels,2012, 226500,1153116,162980,841619,1620,8023,1670,8889,1580,8351,10610,53543,9520,46846,27370,131688,7180,34648,3980,19510
78,Disability amount ,Montant pour personnes handicapées,2012, 677150,5103807,107760,816816,2810,21244,1050,7913,590,4470,7180,54215,32610,246731,410990,3091963,94100,708878,20060,151577
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 231700,2296299,163780,1684291,1850,16668,1950,18975,1160,11021,10050,98206,8200,70658,27520,206628,12930,149758,4250,40094
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 625110,318771,568380,289431,580,227,7550,5509,1580,825,16080,8863,5440,3014,1140,527,21310,8813,3060,1562
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 1728040,8848702,1501560,7582599,3620,11682,12720,121145,5150,21973,47460,221381,59570,494853,21650,29811,40020,158200,36290,207058
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 719240,3609991,602830,3033051,4850,24376,11830,67651,4650,23819,27620,133441,29120,147061,25270,118225,3280,12705,9800,49662
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 1227960,6079977,416180,1840807,17500,94967,4720,20723,4190,18094,53880,242040,47880,219736,498720,2644403,157910,876334,27000,122875
84,Medical expenses,Montant admissible des frais médicaux,2012, 4417730,10705945,2000400,3557336,51340,122168,42280,115774,22190,48566,249490,446772,224940,962743,1579580,4891244,148460,264536,99040,296805
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 26644730,68895498,15685780,40317421,197930,494292,185080,467957,110420,262528,1202000,2794758,1191830,2800983,5059910,14890218,2294130,5347962,717660,1519379
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 5814840,9104040,3655520,4241506,60300,131973,76340,277172,29570,51453,185210,304767,289550,2000072,1365910,1806996,56730,42864,95730,247238
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 7720,78728,4400,21275,,,120,3945,,,250,4245,380,37928,2240,7582,170,91,150,3043
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 5772340,2489540,3621360,1159493,59980,37006,76010,79666,29470,14280,184260,85652,288720,580840,1362220,455785,55460,7369,94850,69449
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 26645750,71385038,15685970,41476913,197940,531298,185700,547623,110430,276808,1202040,2880410,1191950,3381823,5059910,15346003,2294130,5355331,717690,1588828
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 3658110,8476479,1735260,1300246,58130,47004,45070,82604,17400,14061,96650,84517,647560,6391492,950860,491735,23670,3721,83500,61099
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 7150,74183,7000,73257,,,,,,,20,78,80,565,20,65,,,30,125
92,Minimum tax carryover,Report d'impôt minimum,2012, 45270,129755,10680,42922,2480,7015,420,1869,180,664,1420,4820,23700,55182,4440,9631,100,154,1860,7498
93,Basic federal tax ,Impôt fédéral de base,2012, 16694490,122362350,11826160,93307443,115530,601498,136180,3669030,66670,524250,597350,2673444,672890,9451441,2725450,8968892,275950,388053,278320,2778298
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 1179890,952711,555730,654875,11420,2468,21570,18006,4980,575,29650,37987,164370,159710,355850,58986,5090,160,31240,19944
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 149280,24076,55730,9354,2430,376,4070,888,820,129,4450,703,14760,3001,63680,9090,420,46,2930,488
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 43120,92376,16770,40368,7110,5287,2460,8746,350,639,2570,5492,6520,22384,6230,6475,110,59,1010,2925
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 340680,151366,310620,135558,1700,1101,2990,1921,1160,737,7900,4345,6050,3525,5920,2897,2790,584,1530,697
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 35750,182696,2320,6875,1320,7692,180,1207,30,116,430,2805,31160,162762,250,662,,,60,577
99,Net federal tax,Impôt fédéral net,2012, 16642730,121233442,11801490,92498461,114040,592258,135840,3648429,66550,522232,595080,2639913,664860,9301984,2712430,8887748,275210,387269,277260,2755147
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1292790,2030467,188410,72278,78870,151895,105680,302563,72390,169613,750580,1256275,53010,53836,24370,13775,9520,3286,9970,6947
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 507080,1378243,227720,448446,7820,26011,8660,42017,1820,6514,7350,24251,98010,421611,133800,340808,1510,2897,20390,65688
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 12608790,51555948,8892040,39253661,95680,303674,92860,1390043,50290,229162,410450,1079416,572430,4166065,2114640,3786103,178100,140499,202320,1207326
103,Total tax payable,Total à payer,2012, 17721540,176206237,12107320,132278688,138420,1073846,161890,5383441,90400,927656,932490,5001191,769330,13943516,2934260,13028581,299410,534110,288020,4035208
