#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
84,Medical expenses,Montant admissible des frais médicaux,2012, 27410,64480,330,386,500,603,1390,1933,3440,7801,4000,9325,3590,9026,3290,7572,2750,5904,2250,5320,1540,3783,1090,2552,780,2167,1030,2854,560,1682,240,730,140,554,290,1295,130,634,60,359
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 112250,295129,8140,14910,7810,15671,9440,22320,12820,34853,10540,29565,9420,26423,8690,24058,7750,21507,6950,19364,5550,15658,4570,12771,3640,10238,5630,15769,3820,10755,2200,6188,1350,3838,2680,7674,890,2542,370,1027
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 26760,31835,40,4,90,14,400,161,1450,1015,1930,1441,2020,1573,2240,1936,2250,2075,2240,2031,2050,1951,1860,1839,1530,1642,2540,2812,1870,2438,1180,1716,760,1145,1500,2671,550,2105,260,3267
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 40,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 26500,8708,30,1,90,3,390,40,1440,263,1900,380,1980,414,2220,514,2220,556,2220,543,2030,523,1840,497,1520,443,2530,761,1860,677,1180,471,760,315,1490,740,550,629,260,940
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 112250,303837,8140,14910,7810,15674,9440,22359,12820,35117,10540,29945,9420,26837,8690,24572,7750,22063,6950,19907,5550,16180,4570,13268,3640,10681,5630,16529,3820,11432,2200,6659,1350,4153,2680,8413,890,3170,370,1967
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 11870,18928,30,,20,,150,10,310,38,520,77,760,185,970,324,930,409,1040,495,870,588,800,586,690,573,1200,1257,920,1199,640,1118,400,799,940,3168,460,3496,240,4606
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 60,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,208,20,271,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 190,504,,,,,,,,,,,,,10,17,,,10,35,10,27,10,23,10,48,20,51,10,27,10,37,,,30,62,20,81,10,57
93,Basic federal tax ,Impôt fédéral de base,2012, 71290,337242,50,8,80,27,1480,323,3870,2257,6420,6306,7320,10694,7840,15600,7280,18318,6700,20682,5390,20142,4490,20672,3580,19369,5570,37309,3790,31475,2190,21763,1340,15859,2660,43432,880,24837,360,28167
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 2950,1981,,,,,10,1,50,5,110,10,150,16,200,17,200,17,240,33,200,51,180,33,180,39,290,65,250,84,180,58,120,60,270,243,180,595,130,655
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 1000,156,,,,,,,10,1,30,3,40,4,70,7,70,8,70,9,70,9,60,8,80,10,100,16,70,12,50,10,40,9,110,21,80,20,40,8
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 1070,1315,,,,,,,50,18,60,36,80,54,90,82,80,78,90,97,70,88,70,82,70,77,110,136,70,90,60,97,40,50,70,192,30,94,10,42
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 150,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,10,16,50,82,30,150,30,334
99,Net federal tax,Impôt fédéral net,2012, 71120,333711,50,8,70,27,1470,322,3860,2234,6400,6258,7300,10619,7820,15495,7270,18212,6680,20543,5380,19995,4480,20549,3580,19239,5560,37088,3780,31288,2180,21598,1340,15740,2660,42975,870,24130,360,27392
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 6660,10915,100,16,490,167,580,367,600,505,580,585,610,654,580,774,490,740,460,761,420,819,370,894,250,679,370,1195,210,712,130,479,110,358,190,717,100,366,40,127
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 2250,5728,,,,,,,,,,,,,,,,,,,,,,,90,29,410,528,460,801,350,822,250,699,470,1630,160,832,70,388
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 82370,287638,60,8,680,80,3440,929,6770,3668,9060,8415,8730,11801,8490,15435,7660,17755,6890,19854,5530,18778,4550,18172,3620,16369,5620,30167,3810,24889,2200,17253,1350,12470,2680,33451,890,18693,360,19453
103,Total tax payable,Total à payer,2012, 83340,638001,160,32,1100,275,3670,1618,6890,6407,9110,15259,8750,23075,8500,31704,7660,36707,6890,41160,5530,39593,4550,39615,3630,36316,5620,68978,3810,57690,2200,40152,1350,29267,2680,78774,890,44020,370,47360
