#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 216530,336187,108970,152225,2660,5073,1120,1767,1050,1667,12370,19591,12150,20431,670,842,74370,129657,3170,4934
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 196050,1302246,151240,819994,510,3392,170,952,130,614,2130,11450,3100,24426,3030,14114,33620,413229,2130,14076
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 570260,13704995,272430,2123825,25770,138805,2740,34735,1800,13148,12840,121147,137320,10816032,101180,374256,5340,5316,10840,77731
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 739000,1924458,366100,505652,20990,58962,4420,10551,2250,2427,22650,35901,96260,872051,189500,388143,20660,13806,16190,36964
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 19330,11350,9400,-8461,500,-984,270,2363,130,-162,640,631,5870,17143,1960,-194,70,-17,490,1032
16,Net rental income,Revenus nets de location,2012, 163450,529561,88050,91317,2760,14475,1000,448,990,1250,6880,15554,46260,363966,14360,38655,1230,1434,1930,2463
17,Taxable capital gains,Gains en capital imposables,2012, 243090,2885790,116440,475224,11000,110961,1370,7275,830,2395,6380,33893,46470,2124853,52150,86949,2370,1545,6080,42694
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 245480,1694811,160910,704148,1690,14878,820,5647,1060,6111,8610,40659,14680,119654,30720,177283,6350,12537,20640,613894
19,Other income,Autres revenus,2012, 467250,2393780,262900,805971,15390,36963,2280,8172,1670,5046,12170,32765,48650,236379,81710,151854,9350,15443,33130,1101187
20,Net business income,Revenus nets d'entreprise,2012, 200670,2922706,63040,146970,2720,27579,380,1821,540,1361,105000,2609127,12600,97553,11130,27986,2820,3154,2450,7153
21,Net professional income,Revenus nets de profession libérale,2012, 22980,1153367,8020,46127,60,2161,11120,1062093,70,13,300,6597,1450,27092,1360,6675,230,226,370,2384
22,Net commission income,Revenus nets de commissions,2012, 24850,391026,10990,16405,170,1560,100,379,8760,354036,860,3700,1610,12403,1190,1658,750,420,420,466
23,Net farming income,Revenus nets d'agriculture,2012, 87050,638682,21260,-83173,43680,739488,160,-500,130,-343,3040,-11714,8660,6054,8900,-7360,580,-1855,650,-1916
24,Net fishing income,Revenus nets de pêche,2012, 230,1418,120,426,60,887,,,,,,,10,-25,,,10,83,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 38650,283399,26080,94936,240,1881,20,101,30,134,810,4767,860,7078,3620,22126,6710,149998,290,2380
26,Social assistance payments,Prestations d'assistance sociale,2012, 230460,1307177,23150,85064,3670,7542,100,371,150,379,2420,7882,3230,5781,96650,190111,99340,1005521,1740,4526
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 133240,661798,2190,5905,3560,14066,50,204,80,281,1270,4484,2490,8031,84640,275967,38140,350773,820,2086
28,Total income assessed,Revenu total établi,2012, 2863500,168099753,1924720,126098452,44860,1795322,11230,1251204,8920,434731,107050,3534219,175280,18149953,355110,11678262,187160,2626438,49180,2531174
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 438200,2212739,421260,2167853,1410,6175,380,3579,80,165,1410,4184,3940,15162,3850,6387,3620,3704,2250,5529
30,RRSP deduction,Cotisations à un REER,2012, 779260,5001210,680580,4258997,6620,58222,4870,70068,2460,22625,20120,126541,35760,328014,15720,50399,6950,10466,6180,75879
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 84680,885870,18230,183159,1910,12130,290,3538,180,1844,1460,12259,6710,56650,54190,599023,170,720,1540,16549
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 541730,405382,492850,388748,1920,992,1500,1484,450,285,4960,2070,11860,5626,16360,3114,7680,1815,4150,1248
33,Child care expenses,Frais de garde d'enfants,2012, 117150,479944,96700,423648,470,1279,990,4628,600,1884,6330,16696,5180,18509,220,264,5800,10793,870,2243
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 1880,51032,1220,27229,10,181,20,279,10,432,90,1181,300,15638,150,3415,10,112,70,2563
35,Moving expenses,Frais de déménagement,2012, 26770,104237,24520,95038,50,135,210,1211,50,235,690,2708,420,2113,200,956,260,490,370,1351
36,Support payments made,Pension alimentaire payée,2012, 6890,115955,5220,84302,60,800,70,3101,20,536,190,2848,660,17737,540,4837,40,125,90,1669
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 319180,677153,160470,276587,4140,9364,1760,5621,1080,2641,6750,17989,55420,270293,77590,68322,4730,1463,7240,24874
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 161430,133676,28260,5704,16520,16632,9340,13704,7100,9102,85710,82482,9500,4666,3000,824,730,110,1270,452
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 13760,232904,6180,119774,330,2144,230,3626,60,737,370,7349,4360,83683,1820,6590,20,59,390,8942
41,Other employment expenses,Autres dépenses d'emploi,2012, 109890,572604,103800,542824,270,995,220,1029,350,4204,1330,6664,1700,9558,1140,3154,500,1150,590,3025
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 3730,53981,3460,51869,10,148,,,,,40,366,60,626,120,779,10,43,20,122
43,Other deductions,Autres déductions,2012, 68140,181896,39970,49016,1100,1342,250,573,170,155,1700,1451,7330,21055,11670,76422,4030,3322,1920,28560
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 1587030,11110275,1180480,8675544,23910,110567,10410,112443,7710,44877,92030,284828,94740,849364,134270,824645,25730,34968,17740,173039
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 63790,178075,34890,73674,1650,6333,340,1502,160,612,880,2858,13030,57322,10920,29507,120,291,1800,5976
46,Net income after adjustments,Revenu net après rajustements,2012, 2853930,156937189,1923100,117363554,43230,1705578,11050,1138903,8630,391397,104160,3294184,173300,17268758,354870,10828982,186640,2592504,48960,2353328
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 560,8570,560,8449,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 12770,638619,12100,610332,40,850,20,269,,,40,777,280,21971,140,972,,,130,3403
49,Other payments deductions,Déduction pour autres paiements,2012, 294700,2252248,49730,185886,5190,23449,140,677,210,795,3760,17125,4990,20254,118330,488474,109950,1506623,2410,8964
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 3170,34597,1260,13744,60,694,40,390,110,961,810,8026,570,7804,170,1137,30,89,120,1752
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 57530,174812,26620,51237,1410,3046,400,1095,260,542,1390,2815,11960,91054,13670,18549,190,160,1620,6316
52,Capital gains deduction,Déduction pour gains en capital,2012, 12560,861354,2780,73083,2570,71406,40,1875,,,260,6228,6100,700230,660,4368,,,120,3962
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 104960,281907,85050,231262,2870,8233,160,374,170,417,2860,7853,5370,13397,6020,15206,1710,3427,760,1738
54,Additional deductions,Déductions supplémentaires,2012, 13900,55731,1820,16258,110,201,,,,,150,548,970,3787,8790,19550,1680,9922,340,5304
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 3140,33647,930,6744,1320,18289,,,,,170,1587,400,5149,240,1116,20,65,50,614
56,Total deductions from net income,Total des déductions du revenu net,2012, 481350,4342957,174020,1197524,12040,126217,790,4869,760,2842,9020,44992,27350,864272,140450,549640,111680,1520468,5250,32133
57,Taxable income assessed,Revenu imposable établi,2012, 2820700,152604651,1922940,116166348,42990,1582430,11040,1134078,8620,388572,104070,3250267,173090,16406189,354580,10280487,154460,1074647,48910,2321632
58,Basic personal amount,Montant personnel de base,2012, 2879880,30959401,1924640,20656627,44930,486149,11250,121376,8960,96668,107590,1159004,175370,1893541,355110,3837094,187160,2013187,64880,695755
59,Age amount,Montant en raison de l'âge,2012, 402520,2380129,31020,135770,11180,63822,540,2558,630,3331,6780,38804,22460,102818,285370,1744457,39410,262259,5130,26311
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 239830,1816275,186630,1465835,5140,30169,850,6321,680,5020,11860,87264,7820,57079,14010,61628,9300,76129,3540,26831
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 94200,974421,69120,711500,280,2871,320,3232,320,3250,4230,43758,2140,21653,950,9630,14670,155836,2180,22691
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 442820,1774440,352540,1379629,6430,36035,2460,10210,1690,6976,19780,85790,24850,105929,2030,6681,28020,122819,5020,20373
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 850,4938,540,3013,10,72,,,,,40,202,60,335,150,877,30,194,20,167
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 1884100,3127598,1747970,3020498,8940,11340,2460,2372,1700,896,22660,13969,50610,56252,15270,7293,23320,6456,11160,8522
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 161430,133676,28260,5704,16520,16632,9340,13704,7100,9102,85710,82482,9500,4666,3000,824,730,110,1270,452
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 1832190,1134949,1709990,1101446,6800,3416,1930,773,1270,308,18530,5198,25190,9662,25180,5578,30730,4912,12570,3657
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 3480,10425,2870,8598,210,624,,,,,130,381,150,441,70,222,30,78,20,45
71,Canada employment amount,Montant canadien pour emploi,2012, 2109350,2266730,1866720,2036041,11220,11630,3020,2966,2180,2134,27310,27254,73560,76910,61360,48375,44500,42511,19480,18909
72,Public transit amount,Montant pour le transport en commun,2012, 204510,114203,178420,105767,100,34,550,254,280,124,2680,1281,4130,1706,9560,1569,5050,2247,3740,1220
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 190260,109573,160570,91812,2070,1240,1530,1026,860,540,7080,4041,12990,8617,520,249,3140,1142,1520,906
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 72710,39412,61490,33029,590,347,780,504,310,174,2540,1366,5220,3199,190,91,1000,380,590,321
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 27460,125817,25970,119148,40,173,110,529,50,211,520,2410,340,1582,120,481,200,771,120,512
76,Pension income amount,Montant pour revenu de pension,2012, 361610,687159,54900,103197,6670,11996,730,1399,530,988,5010,9227,26570,49729,256750,492808,3840,5567,6610,12248
77,Caregiver amount,Montant pour aidants naturels,2012, 16330,71606,12710,57051,160,695,70,324,60,280,600,2340,1000,4153,1300,4868,220,1048,210,846
78,Disability amount ,Montant pour personnes handicapées,2012, 56240,424247,11010,83719,670,5087,60,419,50,355,610,4634,3660,27710,29160,219337,9440,71101,1580,11884
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 21770,226307,16510,177338,330,3219,100,998,90,885,800,8130,1230,11002,1590,11910,790,9546,320,3279
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 78380,41517,72620,38223,80,31,520,569,170,85,1590,955,1270,677,70,30,1750,802,310,145
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 212450,1212033,192630,1082921,490,1841,990,14137,470,2662,4640,24923,6520,52549,1070,2025,2140,7717,3510,23259
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 59270,291406,50310,246593,660,3300,560,3263,260,1244,1590,7771,3840,19588,1220,5606,120,370,720,3670
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 100630,497873,42230,187919,4410,24427,280,1264,250,1079,3880,18129,3720,17102,32960,174091,11040,65131,1870,8731
84,Medical expenses,Montant admissible des frais médicaux,2012, 320580,827948,157380,324130,8930,25470,2100,5818,1560,3491,19310,39049,25870,103561,90040,285010,7720,16765,7670,24654
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 2879950,7388186,1924700,4976601,44930,111102,11250,29116,8960,20986,107590,250287,175370,394605,355110,1038112,187160,430066,64890,137310
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 654720,1453484,457510,815385,14830,40911,4490,19966,2690,5994,19220,43821,45940,326802,96940,164314,4130,2656,8980,33635
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 790,6989,530,982,,,,,,,,,50,4842,160,279,10,6,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 652300,409080,455630,226990,14800,11638,4480,5679,2680,1675,19150,12352,45860,95136,96690,45389,4080,691,8930,9528
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 2879950,7797266,1924700,5203590,44930,122740,11250,34795,8960,22662,107590,262640,175370,489741,355110,1083502,187160,430757,64890,146838
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 525140,1849296,268700,297696,19980,17229,2580,4700,1600,1759,10660,15921,126320,1449116,83760,51524,2090,395,9460,10956
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1460,17939,1420,17663,,,,,,,,,20,173,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 8520,22724,1940,7628,690,1908,,,20,112,240,691,4600,9702,720,1464,,,270,1113
93,Basic federal tax ,Impôt fédéral de base,2012, 2005300,21087659,1550510,17444782,25470,161882,8460,224721,5790,52314,62040,342420,111830,1798563,194510,651903,20450,28377,26250,382696
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 142290,146400,80490,110238,2840,480,1100,598,370,34,2750,5292,22480,21555,28590,4706,400,11,3280,3486
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 20310,3443,8430,1441,650,107,250,60,100,16,530,90,2860,591,7080,1071,30,3,370,64
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 4390,8380,2220,4865,490,126,50,150,,,190,350,880,1939,410,412,,,110,458
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 50,19,40,15,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 7650,30497,420,1273,310,2183,10,76,,,70,324,6800,26432,30,92,,,,
99,Net federal tax,Impôt fédéral net,2012, 2000260,20934250,1548240,17331248,25260,161177,8450,223969,5780,52186,61940,337930,110820,1774927,193210,645739,20390,28372,26160,378702
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 161430,267348,28260,11407,16520,33260,9340,27408,7100,18205,85710,164964,9500,9331,3000,1649,730,219,1270,905
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 63790,178075,34890,73674,1650,6333,340,1502,160,612,880,2858,13030,57322,10920,29507,120,291,1800,5976
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 1795610,8848436,1415050,7365016,19960,68724,7380,85302,4830,21911,45060,139003,118960,724322,149900,287295,13100,10729,21380,146133
103,Total tax payable,Total à payer,2012, 2067250,30228314,1554920,24781368,30090,269495,10440,338210,7640,92927,92210,644887,130640,2565905,193970,964191,20940,39614,26420,531716
