#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 89070,127518,314270,473657,403600,601537,70,72,1700,1710,1780,1790,1330,1646,21300,28559,22660,30242,7810,10556,63260,97998,71140,108651,23470,35594,106290,173037,129830,208741,28070,41763,81620,121598,109730,163423,17510,24014,32510,42227,50050,66274,7570,9814,6590,7389,14180,17216,2300,2915,670,756,2970,3672,660,801,190,218,860,1019,190,239,70,85,260,324,60,77,40,54,100,130,,,,,30,37,,,,,20,17
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 439800,2590731,365540,2624386,805350,5215134,4410,17074,1810,5975,6220,23055,39050,203014,24400,127974,63450,330988,56410,306316,59030,500215,115440,806532,69580,369208,72840,745031,142420,1114239,54380,303898,47980,426260,102360,730158,41100,246726,31850,193350,72960,440088,42770,265122,34150,166216,76910,431338,44880,284352,37200,180186,82080,464537,41020,273055,30570,150181,71590,423236,29660,206957,18430,92402,48090,299359,12620,90463,5910,30133,18530,120597,3070,20026,1130,5439,4200,25465,850,4521,240,1023,1090,5544
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 421050,7570975,360150,3093819,781200,10665015,3310,36176,3070,37170,6380,73346,8760,90422,7480,86838,16240,177261,13000,100324,9580,55523,22580,155919,20250,231305,14110,111592,34360,342898,25950,437690,18090,187540,44040,625231,30440,636675,23030,294460,53480,931171,41100,928927,32770,354942,73880,1283870,51470,1109806,42780,401001,94250,1510870,53300,980643,43930,334910,97230,1315554,49770,879648,41320,296206,91090,1175863,44350,858021,38060,248630,82420,1106652,31130,528495,27940,199837,59070,728332,48210,752842,57980,485168,106190,1238050
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 654230,1450741,723440,1425954,1377790,2877034,7300,4444,6900,3924,14210,8369,18060,7251,15210,6441,33310,13731,26090,9858,18980,8782,45100,18649,32720,16017,24860,13386,57590,29404,34470,27395,28320,18473,62800,45873,37600,41380,33690,31003,71300,72435,50830,80555,48800,60044,99640,140618,65400,130310,67380,100085,132780,230410,72470,173139,76960,131569,149430,304810,72320,191550,78590,150485,150920,342076,67590,201349,75700,168575,143290,369924,53550,164017,64280,149789,117830,313806,115840,403476,183760,583399,299610,986928
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 8830,40740,3870,6388,12700,47128,,,,,10,8,20,23,,,30,105,,,60,144,110,156,170,524,80,342,250,866,360,1413,150,357,510,1770,620,2700,250,878,860,3578,920,2311,380,1622,1310,3934,1300,4686,540,906,1850,5592,1380,1889,540,196,1920,2085,1300,6507,470,794,1770,7301,1080,8863,390,541,1480,9404,690,3852,340,-61,1030,3790,940,7960,640,578,1580,8538
16,Net rental income,Revenus nets de location,2012, 217550,1120550,164510,522310,382080,1642982,150,-335,110,-276,260,-611,2240,1103,1230,653,3460,1786,7400,2743,5370,1365,12770,4108,14180,9099,11320,6248,25500,15347,17660,26999,14150,16351,31810,43363,20070,46057,15900,26132,35980,72133,25410,90368,19920,46043,45340,136427,29240,126580,22040,62244,51280,188897,26970,152241,20340,71141,47310,223381,22880,161330,16540,72306,39410,233635,18260,154892,12200,69923,30460,224815,13190,129948,8730,51350,21920,181301,19920,219526,16670,98830,36600,318400
17,Taxable capital gains,Gains en capital imposables,2012, 204080,2249048,204940,1181808,409030,3430998,1540,11232,1340,12999,2880,24232,3960,14452,3150,10570,7110,25032,6720,21971,5230,14813,11950,36784,10050,49582,8100,27469,18150,77052,11980,99532,9960,42568,21940,142104,13430,143157,11930,57637,25360,200844,18140,222609,17490,90519,35640,313128,23210,255482,23100,124831,46310,380318,25610,294685,25110,132711,50720,427450,24670,288545,24490,134484,49160,423030,22120,272980,22260,102086,44380,375065,16120,184439,16630,71177,32740,255616,26540,390381,36150,359943,62690,750343
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 281620,1336166,243940,1041566,525560,2377732,140,653,90,856,220,1509,2000,3353,1180,1425,3180,4778,10870,17314,8430,10190,19300,27504,28350,49294,23430,31450,51780,80744,39980,83962,32060,53839,72040,137801,40440,111107,30280,70727,70720,181834,35440,134442,26680,93609,62110,228051,28440,154282,24260,116986,52690,271268,26290,202189,26850,176465,53150,378653,26390,230967,27380,197853,53770,428820,21680,194683,20050,155751,41730,350434,9170,81121,8000,53005,17170,134125,12440,72798,15250,79411,27690,152209
19,Other income,Autres revenus,2012, 436650,2321463,435940,1748615,872670,4071049,17730,59160,18950,62467,36680,121637,33750,92469,33670,98980,67440,191610,25460,79960,24330,79125,49820,159494,26990,112521,26970,97283,53970,209964,27020,119004,26370,95971,53400,215069,27300,139476,26290,100215,53590,239700,32830,183558,32520,125299,65350,308884,40110,231321,40480,163320,80590,394724,51130,367574,49570,260859,100700,628443,59370,440047,56080,295608,115450,735657,35770,169265,30750,72681,66530,241945,23240,114225,22230,59274,45470,173499,35980,212884,47730,237532,83710,450425
20,Net business income,Revenus nets d'entreprise,2012, 222900,3046423,194520,2068922,417440,5115678,3270,14836,2910,10447,6180,25283,9960,64256,9860,50712,19820,114984,15030,146648,16430,129718,31460,276434,20460,253206,22470,181938,42930,435151,22570,311471,23580,284042,46160,595513,24360,382300,23900,308412,48260,690715,27670,456368,25870,344171,53540,800552,28360,476846,24260,310013,52630,786967,25970,419918,19900,233616,45870,653566,21260,298853,14230,149937,35480,448877,13790,136289,6990,50848,20780,187137,6360,54321,2620,15298,8990,69619,3850,31111,1500,-230,5350,30881
21,Net professional income,Revenus nets de profession libérale,2012, 50360,3680143,47480,2152025,97850,5832637,400,1737,430,1767,830,3516,1220,7536,1820,10721,3040,18257,2670,60785,4380,132247,7040,193037,3720,168486,5620,264151,9350,432637,4300,300562,5730,304833,10030,605396,4500,378850,5630,333370,10130,712235,5400,474901,5880,366429,11280,841331,6070,591423,5830,304653,11890,896512,6830,637693,5320,232845,12150,870540,6450,504652,3760,133685,10210,638337,4730,332909,2010,49668,6740,382576,2420,149963,740,13266,3160,163229,1660,70644,360,4390,2020,75034
22,Net commission income,Revenus nets de commissions,2012, 25210,521843,17950,253213,43160,775078,460,1167,310,773,780,1941,1550,8798,1240,4996,2790,13807,1870,21696,1500,11484,3370,33180,2210,44231,1790,20085,3990,64316,2350,49444,1910,24057,4260,73502,2570,63747,2020,33495,4590,97244,2760,72237,2250,33066,5010,105304,2840,81654,2250,44894,5090,126547,2880,72716,1890,38660,4760,111376,2480,57588,1380,25111,3860,82707,1740,30099,850,12098,2590,42198,890,13282,370,3583,1260,16865,620,5183,210,909,830,6092
23,Net farming income,Revenus nets d'agriculture,2012, 32170,182911,11550,47821,43720,230732,100,522,70,308,170,830,410,2768,110,215,520,2983,800,4983,280,915,1080,5898,1610,10781,680,1874,2290,12655,1990,13986,860,3069,2840,17055,2280,15015,960,3373,3240,18388,3590,28362,1660,8965,5250,37327,4700,42246,2060,12051,6760,54297,4780,34951,1790,7893,6580,42844,4240,18836,1290,5281,5530,24117,3350,7394,810,833,4150,8227,2160,1381,460,2493,2620,3874,2170,1687,520,551,2690,2238
24,Net fishing income,Revenus nets de pêche,2012, 1050,21311,120,859,1170,22170,,,,,,,20,280,,,30,290,40,756,,,40,778,50,711,,,50,729,70,1972,,,80,2000,120,1805,10,123,130,1928,160,3505,20,269,180,3774,190,4592,30,152,220,4743,160,3459,10,59,170,3518,130,2534,20,125,150,2660,80,1419,,,90,1449,20,200,,,20,200,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 101230,984245,76850,502741,178090,1486988,1490,2390,1020,2496,2510,4887,5090,13432,6840,28396,11920,41828,5960,25298,14220,81806,20170,107104,7210,41657,13900,88633,21110,130290,7830,56106,8130,51589,15950,107696,8900,80126,5670,36016,14570,116142,12190,123652,6480,44581,18660,168233,14800,164600,7290,51450,22090,216050,13830,177958,5980,48298,19810,226256,11610,179919,4010,40652,15620,220571,7440,78682,2190,16945,9630,95627,1660,13704,330,3339,1990,17043,3250,26721,790,8541,4040,35262
26,Social assistance payments,Prestations d'assistance sociale,2012, 185420,1299486,173300,1246562,358770,2546369,3950,22443,3990,23240,7940,45699,14760,93592,15200,100828,29960,194431,15480,97319,14920,97737,30410,195078,17330,110867,16590,109717,33920,220607,17040,113235,16310,110787,33350,224034,18290,126164,16080,114289,34370,240475,22530,164102,19290,145963,41820,310071,25210,190354,22320,175183,47530,365537,24840,202306,22480,186755,47320,389075,20820,152453,20730,154968,41560,307436,4390,19674,4440,19795,8840,39485,380,3072,420,3353,810,6458,400,3903,520,3948,930,7981
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 236990,933515,402240,1905039,639230,2838564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,34,,,,,,,3590,17335,25760,121400,29350,138736,69120,291441,85810,376373,154930,667814,60220,244039,77260,358523,137480,602563,104040,380615,213400,1048687,317430,1429309
28,Total income assessed,Revenu total établi,2012, 3088350,145617593,3269920,104293702,6360070,249917399,139290,1164246,138590,1004853,278070,2169191,236080,4956855,236990,3912989,473560,8870255,230610,8192747,235840,6723792,466850,14917581,259050,11753062,264980,8936258,524290,20689885,251760,13367251,254270,9587696,506190,22955269,247440,14339228,245360,9979452,492900,24319014,285060,17353064,284680,11803058,569800,29157148,309280,19283577,312010,12576831,621320,31861328,288330,17041234,292280,10840739,580630,27882375,248910,13173604,257560,8249468,506490,21423367,209230,9823470,221580,6469514,430820,16293071,147460,6200527,164430,4581242,311910,10781963,235860,8968727,361340,9627810,597230,18596951
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 690030,2143992,763560,2004397,1453600,4148415,6000,3352,4510,940,10510,4292,42310,53157,43920,37501,86220,90658,66090,139748,77240,130658,143330,270406,83400,226494,98470,217696,181870,444191,83470,265876,97900,269776,181370,535652,80770,282656,92360,283114,173130,565771,93790,345699,106070,334334,199860,680059,102590,388190,114460,368789,217050,756979,82020,294340,85820,261597,167840,555937,37010,115630,33960,83519,70970,199149,10330,25269,7590,14838,17920,40107,1740,3063,920,1185,2650,4248,520,519,360,448,880,967
30,RRSP deduction,Cotisations à un REER,2012, 829780,4582310,731750,2876079,1561530,7458390,1320,1810,610,701,1930,2511,22130,59629,16490,36373,38620,96002,57910,213616,57400,169126,115310,382742,90250,360028,85980,252652,176230,612680,97470,451602,87880,291467,185340,743069,96480,510034,87130,339622,183610,849656,115460,671539,105520,458105,220980,1129644,130750,819107,119430,530939,250170,1350046,114040,755017,97910,448252,211940,1203269,68660,464278,51680,236436,120340,700714,28640,218486,18550,96759,47200,315245,6060,51869,3040,14772,9100,66641,640,5294,130,877,770,6171
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 213300,2425149,54700,371756,268000,2796906,,,,,,,,,,,,,,,,,,,,,20,45,60,168,100,352,40,140,140,492,470,3468,90,356,570,3823,1100,9385,210,877,1320,10262,3230,33954,1310,7517,4530,41471,22820,263261,10770,71711,33590,334972,45230,526991,16610,119173,61840,646164,52480,580803,12940,86917,65420,667720,38990,446900,7010,48021,46000,494921,48850,559829,5670,36941,54520,596770
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 914110,606750,814130,507313,1728270,1114068,36310,6282,25250,3529,61560,9811,84650,32937,68560,21089,153210,54026,90670,54373,85880,47913,176560,102286,100360,69197,97370,61669,197730,130867,94300,69611,94160,66551,188460,136163,90700,69466,88020,65467,178720,134934,107410,85042,101510,74986,208920,160028,118330,95214,109750,79429,228080,174642,99820,75142,86180,58415,186000,133558,54850,34221,40090,21816,94940,56037,22710,10649,12350,5124,35060,15773,8170,3103,3120,965,11290,4068,5840,1513,1900,360,7740,1874
33,Child care expenses,Frais de garde d'enfants,2012, 127350,319971,343420,841107,470790,1161102,10,18,220,287,230,305,800,1789,8480,19515,9280,21304,6200,17646,40680,114247,46880,131896,22700,71722,90150,269263,112850,340993,34810,100286,97420,252123,132230,352415,31400,73358,66310,130572,97710,203934,19940,37186,30780,43610,50720,80797,8140,13154,7990,9624,16130,22781,2500,3653,1150,1506,3640,5160,660,929,180,248,840,1177,160,194,60,97,220,291,40,29,,,50,40,10,6,,,10,10
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 1590,50530,690,16251,2280,66782,,,,,,,,,,,,,50,310,,,70,491,140,2233,50,673,190,2906,200,4001,80,1196,280,5198,210,4292,100,2474,310,6765,230,7098,100,2359,330,9457,250,7265,110,2224,360,9489,170,10306,80,1833,250,12139,170,4994,60,1783,230,6777,90,4187,50,2761,140,6948,60,4833,20,200,80,5032,30,983,20,524,50,1508
