#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
17,Taxable capital gains,Gains en capital imposables,2012, 43040,269542,880,615,930,964,1380,1387,2290,2285,2700,2953,2670,3446,3000,3870,2710,4731,2860,4276,2540,4558,2310,4417,2080,4498,3600,9522,2710,8598,2050,8694,1440,7332,3730,25746,1950,36399,1230,135250
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 57080,331450,1140,1793,1330,3334,2010,6672,2830,10093,3730,14495,4080,18003,4410,19549,4370,20205,4550,21601,3890,19814,3520,17997,3090,16923,5320,31597,3980,23092,2810,19713,1780,14565,3150,34136,850,17151,240,20716
19,Other income,Autres revenus,2012, 92370,469477,3840,4864,5300,12388,5670,15565,6130,15780,6390,16909,6210,19076,6670,20982,5940,19461,6000,22010,5020,19226,4330,16344,3920,16005,6520,27989,4670,22398,3440,21042,2460,17366,5880,61318,2630,48303,1350,72451
20,Net business income,Revenus nets d'entreprise,2012, 40140,413430,3500,-12766,4030,18578,4610,32375,4010,34607,3350,32760,2980,30259,2560,28891,2170,27165,2020,25643,1660,21734,1360,18148,1190,15972,1880,26436,1340,21319,900,16115,650,11788,1300,36539,460,19227,160,8641
21,Net professional income,Revenus nets de profession libérale,2012, 6550,254508,250,-244,340,1354,360,2339,380,3299,330,3292,280,3208,290,3409,270,3671,250,3700,230,3397,210,3496,230,4219,420,8230,350,7405,370,9504,310,10855,750,38194,620,64991,340,80188
22,Net commission income,Revenus nets de commissions,2012, 4610,71049,280,-129,310,860,390,1590,400,2354,340,2392,370,3247,350,3525,270,3193,270,3421,220,2649,200,3652,170,3155,260,5869,200,4346,140,4839,100,4243,230,13209,80,4685,30,3951
23,Net farming income,Revenus nets d'agriculture,2012, 4140,8830,380,-3463,260,-175,310,-78,390,-181,330,338,310,24,300,200,250,214,260,361,210,781,150,63,130,316,210,329,170,1581,120,754,60,270,190,1447,90,2198,40,3849
24,Net fishing income,Revenus nets de pêche,2012, 5500,117890,90,-466,140,162,230,579,330,1485,380,2514,440,4313,520,6010,480,6687,400,6952,370,7555,370,8030,340,8508,460,14242,270,9241,200,8071,110,5380,250,16196,90,8071,20,4361
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 20950,178483,250,513,590,1978,1060,5761,2090,13150,3200,25407,2580,22901,2430,23707,2020,20561,1530,14985,1100,9585,920,7485,710,6693,920,8777,630,6278,360,3469,200,2196,300,4182,60,785,10,71
26,Social assistance payments,Prestations d'assistance sociale,2012, 32930,198445,3210,8869,18250,120051,6540,48187,2230,11270,1200,4587,540,2039,280,965,170,584,120,467,90,313,70,252,50,161,60,222,40,168,30,117,10,50,20,83,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 69990,286211,920,1590,3830,10214,11190,39149,34650,183600,13920,36778,2720,7550,1190,3457,690,1648,380,942,180,481,110,265,60,141,60,176,20,52,20,39,,,30,69,10,31,,
28,Total income assessed,Revenu total établi,2012, 729430,28191454,58630,87302,62110,474329,57890,721354,78880,1377001,62770,1403708,53210,1463310,51590,1675255,45750,1712737,40220,1707314,32720,1551950,28140,1475049,23730,1362869,38910,2523517,29210,2186070,19200,1624651,12000,1136112,23400,2777506,7990,1470249,3090,1461170
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 147010,510476,320,139,630,261,1270,714,2580,1816,4630,4446,6820,8427,10890,17897,12940,26358,11190,25223,10960,28820,10600,31890,9520,31562,18360,74996,16490,81905,10610,57339,6100,34164,10250,63092,2250,16337,620,5092
30,RRSP deduction,Cotisations à un REER,2012, 126980,609529,410,387,620,685,1380,1585,2530,3315,4100,5967,5880,9839,7980,14983,8990,19385,9240,23524,8810,25380,8550,27922,7860,28214,14250,57344,12100,55276,8680,47581,5990,41346,13030,130914,4830,77442,1760,38441
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 43510,467501,20,22,70,94,210,287,1010,1587,2480,6043,3020,11295,3930,19937,4280,31691,4370,40150,4180,44603,3460,41666,2860,38735,4220,61579,2640,41469,1860,30671,1230,21172,2500,49451,880,19268,290,7781
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 142590,92139,1430,174,2250,313,3110,507,4300,877,6440,1677,8260,2551,11540,4498,12470,5823,10660,5525,10180,6242,9640,6548,8490,6238,16050,13290,14050,13069,8600,8185,4840,4869,8190,9206,1750,2164,370,383
33,Child care expenses,Frais de garde d'enfants,2012, 30720,115581,520,483,960,1582,1460,2828,2200,5070,2520,6906,2860,8771,3090,10772,2900,11282,2380,10037,1930,8323,1710,7804,1400,6725,2450,12408,1740,8677,910,4631,520,2812,820,4387,280,1584,70,501
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 190,4241,,,,,,,,,,,,,,,,,,,10,118,10,111,,,20,229,10,470,10,582,,,30,622,20,392,10,909
35,Moving expenses,Frais de déménagement,2012, 3080,14658,100,94,170,194,200,255,230,363,250,493,260,778,220,753,190,759,170,614,150,665,150,830,140,641,240,1680,190,1446,120,1223,90,844,160,1853,50,801,20,372
36,Support payments made,Pension alimentaire payée,2012, 2420,27501,10,25,10,42,20,67,40,101,80,290,110,456,110,560,130,643,130,718,150,929,140,926,120,750,220,1738,210,1596,170,1513,140,1472,360,5038,170,4500,110,6138
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 50510,83754,360,470,470,509,840,671,2030,1322,2870,1791,2840,2049,3400,2603,3190,2980,3710,3180,3370,3672,3050,3471,2690,3563,4670,6497,3610,6078,2810,4879,1980,4133,4800,12544,2420,10203,1400,13141
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33000,25474,650,53,3500,596,4120,1353,3560,1659,3000,1702,2690,1769,2460,1830,2090,1787,1910,1781,1570,1575,1230,1445,980,1239,1350,1948,840,1292,630,1026,450,762,1080,1912,620,1188,280,555
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 860,10803,,,,,,,,,10,13,10,29,10,35,20,34,20,54,20,67,30,128,30,124,50,223,50,385,60,401,40,291,180,1529,160,1846,150,5570
41,Other employment expenses,Autres dépenses d'emploi,2012, 23170,91803,110,254,180,229,320,707,630,1099,880,1524,1180,2432,1480,3361,1760,4455,1680,5179,1700,5688,1620,5779,1470,5838,2600,10778,2020,8648,1340,6334,950,4894,2140,12669,810,6573,310,5363
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 950,10228,,,,,10,55,20,93,40,207,70,475,110,816,90,765,100,851,90,1016,90,1103,70,890,120,1612,60,820,40,577,20,233,40,670,,,,
43,Other deductions,Autres déductions,2012, 25860,45220,640,344,850,442,1670,931,2640,1663,2950,1649,2790,1856,2580,1730,2070,1644,1600,1421,1370,1315,1040,1026,1000,1162,1410,1917,950,1396,590,1184,390,1273,810,4538,340,7473,190,12257
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 368100,2109231,4170,2587,8270,5050,11990,10064,16950,19173,22320,32741,25370,50811,30370,79816,30890,107759,28460,118366,25560,128418,22950,130651,19900,125771,34150,246248,26690,222538,17700,166126,11070,118366,21420,298424,7160,149782,2740,96539
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 15040,39478,,,,,,,,,,,,,,,,,,,,,,,370,111,2310,2758,2950,4270,2300,4749,1620,4108,3610,13100,1290,6898,590,3483
46,Net income after adjustments,Revenu net après rajustements,2012, 727540,26061874,56860,102304,62070,469449,57870,711472,78860,1358088,62770,1371037,53200,1412605,51590,1595466,45750,1605059,40220,1589017,32720,1423579,28140,1344474,23730,1236990,38900,2274549,29200,1959404,19200,1454005,12000,1013638,23400,2466003,7990,1313570,3090,1361167
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 190,5563,,,,,,,,,,,,,,,,,,,,,,,20,425,30,924,20,641,30,1103,20,926,40,1193,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 700,15659,,,,,,,10,7,20,14,30,19,40,23,40,24,40,36,30,54,30,54,20,60,30,71,20,84,20,38,30,76,110,837,120,1362,110,12896
49,Other payments deductions,Déduction pour autres paiements,2012, 120580,663107,4370,10972,22470,132243,18320,93110,38170,208020,17210,66772,5460,32490,3780,28128,2820,22793,1980,16394,1350,10378,1090,8001,800,6995,1030,9175,690,6498,400,3624,220,2274,340,4313,70,830,20,96
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 660,5233,20,128,20,66,70,128,110,323,90,469,70,363,50,402,40,383,30,274,40,322,20,195,20,139,30,422,20,157,,,10,185,10,250,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 9790,22665,50,31,70,96,140,120,290,254,410,310,490,363,610,502,590,664,670,490,600,717,570,731,540,705,940,1288,700,1135,560,1206,420,729,1130,3376,620,2998,380,6949
52,Capital gains deduction,Déduction pour gains en capital,2012, 970,77042,,,10,40,,,20,46,20,84,30,163,30,172,40,255,30,368,40,482,30,426,30,346,60,1420,50,1242,40,1567,40,1510,140,7023,150,14255,190,47625
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 480,1163,,,,,,,,,10,16,10,33,10,18,10,23,20,49,20,31,20,36,10,31,30,66,40,111,50,101,40,87,140,410,50,129,,
54,Additional deductions,Déductions supplémentaires,2012, 4170,17442,70,224,100,150,270,470,680,2111,760,2734,470,1518,340,1302,240,938,200,883,180,1049,120,656,110,450,160,428,120,441,70,507,50,116,130,1472,60,1687,20,304
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 160,1593,,,,,,,10,21,,,20,86,10,63,10,70,,,10,127,,,,,10,218,,,,,,,10,441,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 135470,809496,4500,11386,22640,132605,18670,93849,38750,210792,17970,70440,6400,35059,4770,30610,3710,25151,2910,18558,2220,13193,1850,10227,1530,9174,2280,14020,1620,10397,1160,8294,810,5912,1990,19317,1040,21827,670,68686
57,Taxable income assessed,Revenu imposable établi,2012, 710020,25253866,54560,91685,49630,336938,56060,617699,78450,1147404,62530,1300675,53060,1377566,51490,1564874,45730,1579910,40200,1570463,32700,1410390,28130,1334259,23720,1227819,38900,2260633,29200,1949010,19200,1445723,12000,1007726,23390,2446834,7990,1291765,3080,1292494
58,Basic personal amount,Montant personnel de base,2012, 736070,7935752,65270,691882,62110,666983,57890,623258,78880,851483,62770,677716,53210,574906,51590,557779,45750,494698,40220,434941,32720,353878,28140,304311,23730,256701,38910,420862,29210,315997,19200,207763,12000,129770,23400,253130,7990,86345,3090,33351
59,Age amount,Montant en raison de l'âge,2012, 159150,981005,1620,10306,5270,35045,13910,93243,39790,267260,23090,155081,14840,99722,13280,89078,9910,63258,9620,56150,6920,37443,5220,25417,4160,17839,6000,19766,3250,7002,1240,2477,520,916,450,775,40,174,20,53
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 49740,331022,1620,14140,1520,10998,3110,22263,4850,23842,5030,27358,4290,25956,3790,23949,3310,21945,2630,17936,2220,15238,2080,14469,1850,12933,3210,22935,2590,18725,1870,13714,1330,9805,2930,22411,1080,8710,450,3696
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 29980,308902,2140,22079,2420,25112,3260,34077,3240,33856,3380,34903,2840,29278,2610,26853,2250,23062,1480,15124,1100,11146,950,9562,710,7164,1130,11353,970,9863,520,5327,330,3255,490,4987,150,1551,40,349
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 92730,347887,4400,18660,3840,14182,5230,19453,5570,20153,6050,21531,5990,21645,6200,22177,6280,22533,5290,19300,4520,16497,4400,16066,3910,14321,7470,28153,6680,25589,4620,18034,3050,11952,6220,25056,2220,9013,820,3571
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 790,4411,,,10,70,20,115,50,307,70,371,70,357,60,325,80,449,80,407,60,358,50,254,30,175,50,288,50,231,40,216,20,81,40,225,20,88,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 404720,568361,6450,1492,20580,3446,25320,8581,28990,15236,31950,23535,31910,30040,33100,39241,31280,45066,26440,43500,22750,42701,20400,41815,17640,37039,30430,65534,24530,54083,16180,35776,10040,22261,19070,42230,5740,12557,1950,4228
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33000,25474,650,53,3500,596,4120,1353,3560,1659,3000,1702,2690,1769,2460,1830,2090,1787,1910,1781,1570,1575,1230,1445,980,1239,1350,1948,840,1292,630,1026,450,762,1080,1912,620,1188,280,555
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 417090,223588,14320,1705,24590,2995,26850,4983,29670,7555,32450,10754,32390,13142,33470,16555,31510,18583,26570,17561,22960,16782,20500,15538,17670,13630,30410,23999,24280,19597,15880,12913,9730,7938,17750,14469,4760,3835,1340,1054
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 5590,16757,190,576,160,465,200,609,260,792,410,1215,450,1338,530,1601,520,1545,470,1413,430,1299,340,1026,320,948,510,1518,300,897,210,639,80,249,170,516,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 465960,493446,22440,21438,28310,29900,30000,31882,32510,34626,35810,37673,35580,37429,36570,38554,34480,36395,29470,31029,25060,26642,22160,23734,19070,20425,32480,34958,25700,27808,16930,18332,10570,11435,20190,21864,6320,6835,2300,2486
72,Public transit amount,Montant pour le transport en commun,2012, 15890,7388,830,207,1120,334,1290,432,1370,570,1470,699,1320,682,1180,631,1160,616,940,510,820,447,710,380,580,306,1000,521,740,373,500,257,320,167,440,213,80,39,20,5
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 38650,21437,290,126,340,142,660,273,1040,454,1450,623,1710,771,2190,1007,2550,1170,2320,1135,2150,1090,2190,1130,2030,1096,4270,2352,4070,2401,3010,1856,1970,1274,4270,2900,1530,1139,600,501
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 12840,6068,90,31,100,35,180,72,270,107,400,149,440,161,570,227,690,276,640,264,620,255,670,288,670,295,1420,632,1460,699,1120,560,760,397,1760,997,690,416,290,208
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 4620,21457,30,123,,,50,221,90,389,220,977,310,1399,400,1849,450,2052,410,1898,380,1789,370,1711,320,1483,620,2934,420,2007,190,894,120,541,180,886,40,183,,
76,Pension income amount,Montant pour revenu de pension,2012, 158620,304440,960,1254,2840,4526,6250,10445,14560,24917,21380,40936,17490,34457,16170,31938,12690,25069,13350,26453,10010,19795,7910,15651,6510,12858,9520,18823,5610,11088,3760,7412,2450,4806,4760,9346,1720,3381,670,1285
77,Caregiver amount,Montant pour aidants naturels,2012, 4910,24325,50,319,60,308,130,622,230,1074,430,1954,460,2086,500,2483,480,2310,400,1900,320,1612,280,1391,230,1163,390,2097,280,1425,200,1021,120,666,230,1267,90,502,30,127
78,Disability amount ,Montant pour personnes handicapées,2012, 29130,219124,1240,9368,2820,21197,2930,21884,3470,25991,4260,31972,3080,23143,2590,19525,2050,15430,1710,12882,1160,8776,870,6547,610,4565,860,6466,520,3886,300,2264,180,1373,320,2384,130,973,70,497
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 9150,90799,190,2073,170,1954,280,3027,410,3925,590,5488,750,7166,800,7659,800,7662,710,6715,570,5643,540,5390,440,4440,800,8154,640,6637,440,4455,270,2915,500,5226,180,1747,50,525
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 24090,14633,190,78,230,96,650,254,1490,691,2020,973,2240,1173,2570,1463,2420,1407,2030,1285,1740,1191,1570,1152,1360,996,2300,1638,1530,1128,730,467,410,236,510,321,100,74,20,10
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 40240,226118,,,,,4840,5548,7760,29528,5600,34344,4160,29381,3540,26003,2750,21681,2040,16210,1650,12748,1300,9089,1190,7940,1930,14882,1370,7880,780,3981,440,2184,620,3696,170,815,50,130
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 17470,91163,10,46,20,70,50,159,190,722,400,1770,610,2756,770,3613,960,4622,1050,5043,940,4702,990,4894,960,4871,1930,9897,1920,10294,1570,8586,1130,6050,2630,15048,990,5806,360,2214
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 35320,186608,2150,9568,1540,6187,3770,18056,6270,37018,4920,29591,3680,20879,2970,15979,2280,11284,1450,7240,1040,5195,900,4582,680,3489,1160,5702,760,3618,520,2409,350,1612,640,3024,180,863,70,313
84,Medical expenses,Montant admissible des frais médicaux,2012, 154900,336182,1970,2144,3490,3785,7840,10030,17160,31893,22420,45555,20100,40497,19020,40238,14930,31457,12360,26921,8700,18775,6090,14717,4290,11208,5890,16301,3300,10311,1860,6041,1160,3906,2630,10881,1120,6791,580,4730
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 736080,1918001,65270,121164,62110,124287,57890,136628,78880,212109,62770,178032,53210,150023,51590,145589,45750,128155,40220,112142,32720,90842,28140,78086,23730,65573,38910,108263,29210,81428,19200,53465,12000,33683,23400,66569,7990,22971,3090,8992
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 155930,185473,240,200,490,151,1680,723,6160,3509,10610,6710,10810,7467,12230,9337,12440,9728,12240,10482,10850,9621,9800,9245,8620,8660,14730,15605,11940,12327,8550,9890,5650,6918,12150,19642,4650,14855,2110,30404
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 250,422,,,,,,,20,11,30,25,20,19,20,19,20,16,20,24,10,18,20,15,10,2,20,3,20,26,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 154560,50382,230,12,470,35,1630,177,6070,889,10510,1732,10650,1953,12070,2468,12310,2574,12120,2808,10770,2576,9720,2485,8550,2335,14620,4220,11850,3331,8510,2564,5630,1891,12120,5456,4640,4080,2100,8796
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 736080,1968383,65270,121176,62110,124322,57890,136805,78880,212998,62770,179764,53210,151976,51590,148057,45750,130729,40220,114951,32720,93417,28140,80571,23730,67907,38910,112483,29210,84758,19200,56030,12000,35575,23400,72026,7990,27051,3090,17788
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 86750,202728,160,1,140,1,920,71,1910,328,3810,877,5000,1772,6260,2934,6170,4477,6860,5431,5920,5712,5520,6420,4960,6467,8570,13420,6560,11698,4980,10962,3510,9348,9020,36919,4350,35734,2140,50157
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 470,5357,,,,,,,,,,,,,,,,,,,,,,,,,10,57,20,145,30,236,40,366,170,1879,130,2046,30,539
92,Minimum tax carryover,Report d'impôt minimum,2012, 1080,2762,,,,,,,,,30,22,30,34,40,48,30,37,40,75,50,110,30,91,40,107,80,192,80,181,80,160,50,114,220,417,190,478,80,687
93,Basic federal tax ,Impôt fédéral de base,2012, 451730,2503350,240,34,440,156,9090,1819,23060,13245,36920,34463,41830,60544,45280,87769,41930,103816,38090,116490,31480,117808,27350,124479,23300,125817,38350,255747,29010,245073,19120,193527,11950,141807,23290,376872,7940,228006,3070,275876
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 22330,17434,,,,,100,3,300,19,620,33,1020,55,1320,102,1330,140,1550,178,1440,159,1360,181,1410,194,2440,386,1870,382,1370,443,970,528,2700,2506,1540,5270,990,6855
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 4130,647,,,,,,,30,2,100,9,180,20,240,25,240,32,280,40,300,38,300,39,260,36,480,71,350,52,250,42,210,38,480,93,260,65,150,44
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 1740,2367,,,,,30,5,60,21,70,40,100,58,110,89,120,100,110,101,120,125,100,129,90,134,120,171,120,213,100,127,50,49,200,353,140,267,120,385
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 70,36,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,10,9,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 960,3835,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23,100,69,110,115,400,530,170,661,140,2433
