#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1920,3298,2030,2405,3960,5703,20,3,20,2,40,5,50,16,90,27,140,43,140,53,170,63,310,116,170,65,200,76,360,141,160,127,180,109,340,236,160,125,160,115,320,240,190,267,230,221,410,488,260,739,270,424,530,1163,260,901,270,443,530,1345,230,409,210,429,440,838,160,272,120,197,280,468,60,121,60,169,120,290,90,201,80,129,160,330
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 30,604,10,174,40,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Net rental income,Revenus nets de location,2012, 580,1070,560,1800,1140,2870,,,,,,,,,,,,,30,,30,86,60,86,80,-4,60,142,140,139,60,41,70,97,130,137,60,87,60,239,110,325,70,27,80,177,160,204,80,239,100,386,180,625,90,332,80,244,160,576,60,131,50,276,110,407,30,78,20,79,50,158,20,72,10,48,30,120,,,,,,
17,Taxable capital gains,Gains en capital imposables,2012, 620,2994,500,1962,1120,4956,,,,,,,,,,,30,25,50,20,,,70,46,40,65,50,19,80,84,50,111,40,243,90,354,50,674,40,80,90,754,60,103,60,129,110,232,90,442,80,758,170,1199,100,452,90,243,190,694,80,487,40,311,120,798,40,436,,,80,512,,,,,,,30,30,20,7,50,38
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 1330,9505,1290,6844,2620,16349,,,,,,,30,57,,,60,98,120,408,90,211,210,618,150,608,170,440,320,1048,180,627,160,396,340,1023,180,892,170,641,350,1533,190,1123,190,1256,380,2378,160,1133,180,1089,330,2222,140,1300,130,1450,270,2750,90,1343,100,832,190,2175,60,1048,50,353,120,1401,20,935,20,69,30,1004,,,10,66,,
19,Other income,Autres revenus,2012, 2370,10771,2300,13734,4680,24505,80,249,70,191,150,439,240,646,260,915,500,1561,230,634,220,660,460,1294,200,602,240,830,440,1432,190,598,200,557,390,1155,210,1180,210,1178,420,2358,230,1210,230,3515,460,4724,260,836,270,3208,530,4044,250,1524,240,1139,490,2663,220,1716,170,1144,390,2860,140,1043,80,140,220,1183,60,165,50,147,110,312,70,369,50,111,120,480
20,Net business income,Revenus nets d'entreprise,2012, 930,17982,730,9934,1660,27915,,,,,20,30,20,110,30,168,50,278,50,758,90,833,130,1592,70,960,90,1324,160,2284,110,1521,70,800,180,2321,100,2878,90,1364,190,4242,130,2390,80,1225,200,3614,140,3130,100,1391,240,4521,100,2139,80,1365,180,3504,90,1732,70,1127,150,2858,70,1526,30,270,100,1795,,,,,30,667,20,198,,,30,209
21,Net professional income,Revenus nets de profession libérale,2012, 130,6558,110,3592,240,10149,,,,,,,,,,,,,,,,,20,956,,,20,754,20,1062,,,10,295,30,587,,,10,300,20,734,10,650,20,504,30,1155,20,1074,20,775,40,1849,20,745,,,20,820,30,1725,,,40,1831,,,,,10,710,,,,,,,,,,,,
22,Net commission income,Revenus nets de commissions,2012, 30,595,50,64,80,659,,,,,,,,,,,,,,,,,10,15,,,,,,,,,,,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 20,98,10,43,40,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,124,,,,,,,,,,,,,,,,,,
24,Net fishing income,Revenus nets de pêche,2012, 20,7,,,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 370,3250,190,1905,560,5155,10,12,,,20,40,30,48,,,40,59,30,118,20,127,40,245,20,105,,,20,184,20,392,20,136,40,528,30,240,20,183,50,423,50,309,20,193,60,502,40,345,30,241,80,587,60,716,20,285,70,1001,40,558,20,369,70,927,30,187,,,40,286,10,116,,,20,239,20,104,,,20,135
26,Social assistance payments,Prestations d'assistance sociale,2012, 1780,9505,1640,8452,3430,17957,30,63,30,93,60,156,220,982,230,1216,450,2198,180,978,170,787,360,1765,140,777,130,826,270,1603,100,633,100,689,200,1322,150,814,120,847,270,1661,130,731,100,582,230,1313,130,818,120,759,250,1578,110,796,80,682,190,1478,140,1165,90,564,230,1728,140,521,100,308,240,829,90,347,120,358,220,705,230,881,250,741,480,1622
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 550,3011,670,3954,1210,6965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,108,,,,,160,874,120,553,280,1428,110,667,170,978,280,1645,270,1362,320,1998,590,3360
28,Total income assessed,Revenu total établi,2012, 15820,1004809,15170,745399,31000,1750572,930,7736,920,6687,1850,14423,1690,46350,1660,35055,3350,81405,1790,92546,1770,71388,3560,163934,1710,112590,1750,92680,3460,205270,1450,107676,1480,84893,2930,192568,1590,122292,1450,86720,3040,209012,1560,127304,1470,97593,3020,224897,1550,131063,1480,97283,3030,228345,1250,112813,1150,80787,2400,193964,950,72511,780,47518,1720,120029,640,42991,470,22871,1110,65862,300,15085,320,10517,620,25602,440,13852,470,11409,900,25261
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 4200,21008,4890,22757,9080,43771,,,,,20,7,150,311,170,335,320,646,440,1475,520,1783,960,3258,580,2483,710,2997,1290,5480,530,2585,660,3087,1190,5672,530,2976,630,3067,1160,6043,580,3206,660,3466,1240,6672,580,3321,640,3368,1220,6689,440,2672,550,3000,990,5678,250,1476,250,1235,500,2712,80,393,90,376,160,770,20,88,10,34,30,122,,,,,10,23
30,RRSP deduction,Cotisations à un REER,2012, 3850,26824,3780,19153,7630,45977,,,10,12,,,160,348,150,284,300,632,440,2146,430,1462,870,3609,520,3013,570,2256,1090,5269,450,2454,480,2113,930,4568,450,3299,440,2123,890,5422,490,3516,470,2791,960,6307,500,3954,500,3149,990,7103,440,4255,430,3052,870,7306,270,2845,230,1390,500,4236,100,850,80,494,180,1344,20,99,10,27,30,126,,,,,,
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 380,4618,110,945,490,5563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,167,,,20,169,30,307,,,30,326,60,953,30,294,90,1247,80,851,40,333,120,1184,100,1388,30,227,130,1615,40,409,,,50,452,50,533,,,50,560
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 4090,4115,5300,4655,9390,8770,110,16,130,17,240,33,300,128,440,154,740,282,450,348,660,474,1110,822,510,471,720,654,1230,1125,480,501,620,590,1100,1091,490,553,590,591,1070,1144,500,601,640,655,1140,1256,500,616,610,616,1110,1232,390,480,490,541,880,1021,240,283,270,266,510,549,100,99,100,86,210,185,,,,,40,26,,,,,10,6
33,Child care expenses,Frais de garde d'enfants,2012, 390,2057,1000,4990,1380,7048,,,,,,,10,43,60,224,70,267,40,192,150,675,180,867,100,565,280,1598,370,2163,90,509,280,1622,370,2131,80,434,160,647,240,1081,50,221,50,151,100,372,20,60,30,52,40,112,,,,,10,39,,,,,,,,,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 190,610,190,572,380,1182,,,,,,,40,58,40,75,80,133,40,107,40,68,70,176,30,87,30,91,70,178,20,90,20,61,40,150,20,106,10,81,30,187,20,63,,,20,93,10,61,20,78,30,140,,,10,53,20,75,,,,,10,35,,,,,,,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 60,808,,,60,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,343,,,10,343,10,130,,,10,130,,,,,,,,,,,,,,,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 540,2931,410,918,950,3849,,,,,,,,,,,,,30,12,,,30,24,20,22,30,40,50,62,30,33,30,38,60,71,40,99,30,32,70,132,,,50,155,,,80,301,,,140,584,,,80,157,190,1317,70,229,60,132,130,361,50,128,30,34,70,161,20,43,,,30,68,20,57,20,10,40,67
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 560,557,450,387,1010,944,,,,,,,10,7,20,6,30,13,30,31,60,35,90,66,40,32,60,52,90,84,60,51,50,35,110,86,70,72,60,53,130,124,80,74,40,48,120,122,90,100,60,56,150,157,60,67,50,47,110,115,70,85,50,42,120,127,40,35,20,13,50,48,,,,,,,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 20,126,10,100,30,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 300,1234,160,609,460,1843,,,,,,,30,52,,,30,96,50,75,20,35,60,110,30,107,20,79,50,187,40,148,20,108,60,256,30,80,20,93,50,173,40,144,20,60,60,204,40,326,30,34,60,360,30,155,10,55,40,209,10,52,,,20,109,20,85,,,20,128,,,,,,,,,,,,
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 30,399,10,61,40,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 480,500,390,405,870,906,,,,,,,20,6,20,12,,,40,35,60,47,100,81,50,51,50,42,100,93,60,63,50,43,110,106,70,54,40,33,100,86,70,107,40,34,100,141,50,43,40,35,90,78,50,46,30,55,80,101,40,35,30,42,70,77,30,45,,,40,75,,,,,20,24,,,20,21,20,23
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 8380,65807,8650,55664,17030,121477,130,45,150,40,280,85,530,954,640,1135,1170,2089,900,4441,1040,4611,1940,9052,1030,6922,1200,7818,2230,14740,930,6474,1040,7713,1970,14187,970,7782,950,6789,1920,14571,1020,9107,1030,7421,2050,16528,1010,9247,1010,7731,2020,16978,830,10260,830,7326,1660,17592,570,6041,470,3532,1040,9572,310,3136,200,1332,500,4468,90,747,60,149,140,896,70,652,40,66,120,719
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 450,1201,180,446,630,1647,,,,,,,10,9,,,10,11,30,40,10,7,40,47,30,36,,,40,44,30,41,,,40,57,30,45,10,14,40,59,30,41,,,40,54,30,52,10,15,40,66,30,40,,,30,43,20,23,,,20,33,150,607,80,231,230,838,40,178,20,88,70,265,20,88,20,42,40,129
46,Net income after adjustments,Revenu net après rajustements,2012, 15800,938014,15130,689421,30930,1627793,930,7691,920,6646,1850,14337,1690,45387,1660,33920,3340,79307,1790,88066,1770,66770,3560,154837,1710,105632,1750,84891,3450,190523,1450,101204,1470,77197,2920,178401,1590,114483,1450,79935,3030,194418,1550,118161,1470,90168,3020,208329,1550,121772,1470,89557,3020,211329,1240,102552,1150,73466,2390,176376,940,66519,780,43981,1720,110501,640,39273,470,21308,1110,60581,300,14161,320,10280,620,24441,440,13112,470,11301,900,24413
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 2270,15766,2050,14311,4320,30076,40,75,40,121,80,196,250,1030,240,1227,490,2257,210,1096,190,914,400,2010,160,881,130,905,290,1787,120,1025,110,825,230,1850,180,1054,140,1029,320,2084,170,1040,120,781,290,1821,170,1164,150,1001,320,2165,160,1512,100,967,260,2479,180,1830,140,1351,320,3182,210,1582,160,960,360,2543,130,1129,190,1459,330,2589,300,2347,340,2770,640,5117
