#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 350,1714,320,1571,,,,,,,,,,,,,,,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 810,3776,460,1939,,,,,,,20,92,,,140,738,170,904,20,58
84,Medical expenses,Montant admissible des frais médicaux,2012, 860,2117,660,1567,,,,,,,60,79,30,154,60,192,20,37,,
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 31160,78068,23680,59956,20,42,130,301,10,20,820,1900,440,978,2110,5690,3300,7793,650,1388
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 4770,6531,4080,5249,,,60,84,,,150,284,100,302,310,513,30,13,40,86
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 4720,1795,4030,1440,,,60,23,,,150,79,100,85,310,141,30,3,40,24
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 31160,79863,23680,61396,20,43,130,324,10,21,820,1979,440,1063,2110,5831,3300,7796,650,1412
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 2250,5010,1640,1304,,,30,48,,,70,56,260,3483,190,89,20,1,40,28
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 20,131,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 20540,208738,18110,190083,,,100,1629,,,500,3699,280,4716,870,4000,470,659,210,3786
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 640,239,470,207,,,10,1,,,20,2,50,22,70,6,,,,
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 230,51,170,39,,,,,,,,,10,4,30,5,,,,
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 20,27,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 20,73,,,,,,,,,,,20,72,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 20510,208421,18080,189822,,,100,1625,,,500,3692,280,4688,870,3987,470,658,200,3779
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1010,1887,180,87,,,100,299,,,650,1418,20,27,30,26,10,5,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 630,1647,490,1231,,,,,,,20,68,30,130,70,128,,,20,63
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 20050,88527,17820,80796,,,100,715,,,470,1537,240,1902,790,1558,430,232,190,1713
103,Total tax payable,Total à payer,2012, 20850,300484,18160,271936,,,120,2655,,,720,6716,280,6747,870,5700,480,907,210,5558
