#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 216530,336187,58460,98421,18520,31272,18230,28128,16240,24634,13860,20705,12580,18484,11290,16404,10070,14587,9340,13470,7840,11339,6420,9257,5390,7718,8340,12050,5820,8491,4280,6239,3060,4509,4930,7512,1500,2366,370,600
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 196050,1302246,3000,6203,6840,29583,11340,67836,14830,104344,16830,129887,17660,144349,17440,138429,16230,122160,15090,106014,12650,84647,10530,68685,8850,55862,13690,83704,9430,53623,6420,34350,4510,22880,8890,41261,1640,7262,180,1169
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 570260,13704995,10290,12006,8450,10737,15690,22798,19160,39946,25030,64454,24040,112259,24460,144338,25810,203499,28950,253357,25760,255860,24860,322772,23080,299338,44150,677721,36370,636806,31650,634322,27790,536163,82170,2168322,56770,2074876,35790,5235421
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 739000,1924458,28710,16385,19830,16550,30050,29089,42380,47086,54810,73311,41910,66472,38170,64035,36610,63169,37730,68187,32960,58056,29810,53433,27140,50102,49190,96612,39900,81332,33430,68322,30220,58491,81070,199578,51240,194979,33860,619269
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 19330,11350,370,-4131,210,-278,280,-307,320,-426,410,-480,440,-707,440,-420,520,-582,540,-713,580,-481,550,-303,590,-322,1120,242,980,-267,920,-541,880,333,2970,-709,2850,2396,4380,19046
16,Net rental income,Revenus nets de location,2012, 163450,529561,4980,-13628,3970,7874,4820,12422,5690,14855,6740,20775,6690,21734,6800,22650,6910,23230,7610,26707,7050,21348,6730,20782,6630,20166,12330,35893,10900,30827,9700,27794,9040,22914,24310,69679,14250,53561,8310,89978
17,Taxable capital gains,Gains en capital imposables,2012, 243090,2885790,5320,8900,4310,5254,6730,7907,8430,10521,11110,14377,10580,16922,10410,19355,10550,22566,11510,34306,10240,27227,9600,27531,9010,28607,17480,67689,14530,64441,12310,61096,11420,60191,34020,240231,25850,345768,19690,1822901
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 245480,1694811,6610,8155,5420,14613,7620,27398,9370,36777,12060,49615,12000,58344,12000,61537,12890,68442,14070,78215,13210,68748,12740,65793,11760,61876,21390,120148,17730,106538,14870,91546,12810,80291,31710,261473,13480,191894,3750,243409
19,Other income,Autres revenus,2012, 467250,2393780,16950,22276,18550,43613,22840,58117,24130,56568,26500,60840,22860,56388,21740,56652,21680,60693,22800,64061,20410,59234,18700,54354,17330,50360,32090,99713,26900,83382,22800,74272,20790,69600,53870,260150,34540,283633,21740,879875
20,Net business income,Revenus nets d'entreprise,2012, 200670,2922706,13460,-48473,15640,77572,19800,158338,17440,171502,15900,181440,13560,181848,11790,170551,10470,154543,10180,159850,8480,133995,7430,122073,6490,109007,10850,199318,8280,160077,6540,136717,5220,108717,11790,324760,4960,214657,2410,206211
21,Net professional income,Revenus nets de profession libérale,2012, 22980,1153367,870,-873,1060,4525,1220,7784,1160,9882,1100,10963,1020,12572,1000,13550,860,12556,890,14243,830,13335,770,12594,670,13033,1280,26664,1150,26763,1030,27245,900,27307,2850,131765,2160,210687,2160,578773
22,Net commission income,Revenus nets de commissions,2012, 24850,391026,1810,-769,1510,4480,1720,7546,1750,10129,1780,12290,1590,12213,1440,13421,1370,12942,1350,14306,1230,12953,1040,12347,920,12149,1610,26605,1120,22492,940,22176,760,19931,1770,72537,820,60822,330,42456
23,Net farming income,Revenus nets d'agriculture,2012, 87050,638682,4200,-64040,3940,1018,8130,41665,6560,26745,6010,26565,4870,26644,4640,36785,4060,25136,4680,47655,3690,28903,3070,24172,2880,22324,5340,46175,4260,40269,3560,34627,2850,30129,7550,94490,4150,78539,2620,70880
24,Net fishing income,Revenus nets de pêche,2012, 230,1418,,,10,25,10,15,20,13,10,69,20,133,10,24,,,,,10,109,,,10,14,20,77,10,170,10,104,10,154,20,81,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 38650,283399,480,820,990,2796,1590,5497,2300,10095,3050,15660,3020,18076,3260,22340,3040,21503,2850,22241,2750,25926,2370,21304,2100,18075,3210,27393,2240,18300,1610,12429,1130,9565,2070,18364,500,9374,120,3641
26,Social assistance payments,Prestations d'assistance sociale,2012, 230460,1307177,7310,14514,15580,85134,20770,113629,77620,608173,66890,274126,20510,106595,8410,41324,4450,24337,2560,12487,1700,8409,1140,5396,750,3582,950,3319,500,1911,310,1058,220,723,420,1448,240,628,150,382
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 133240,661798,1620,3407,5090,14830,18670,88612,43910,296586,46540,185637,9620,43452,3210,13467,1570,5867,890,3055,520,1703,320,1018,240,763,320,1037,180,560,110,421,80,252,150,470,110,393,100,266
28,Total income assessed,Revenu total établi,2012, 2863500,168099753,243620,320786,152750,1158568,177890,2221300,216750,3844075,201680,4516615,160420,4399375,148170,4808391,142300,5330545,141600,6013560,125890,5972951,115010,6028742,102940,5913564,179860,11657251,143620,10745212,117250,9944576,101400,9611189,234510,28088338,108840,20256292,49010,27268425
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 438200,2212739,640,922,1110,775,2080,2250,3550,3183,6110,6572,9340,12794,12900,20638,17010,32911,21620,50344,24710,68364,26050,83592,27260,98098,50580,212355,44890,226527,39570,239346,41210,313471,73740,574972,27300,189031,8540,76595
30,RRSP deduction,Cotisations à un REER,2012, 779260,5001210,3550,4810,3390,4816,6280,9083,10590,17171,15500,27839,20370,41793,25740,58567,31260,78047,36980,101017,40070,122895,40840,141148,39610,149747,74970,322463,67560,334179,60420,343004,56800,352513,142970,1265895,71270,996265,31100,629955
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 84680,885870,70,151,190,305,430,717,860,1570,2260,4528,4020,12072,5470,22621,6640,36028,6830,48112,7050,60207,6300,64342,5550,65089,8820,114139,6780,88206,4880,65717,3530,51061,8590,137310,4250,70897,2150,42798
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 541730,405382,8230,1222,12010,2130,15050,3249,16710,4111,18430,5095,20470,6506,22530,8371,25100,10549,28690,13692,30100,16340,29820,18181,29290,19907,51740,39851,44970,40582,39840,40163,41130,47424,75510,92270,24710,29740,7410,5998
33,Child care expenses,Frais de garde d'enfants,2012, 117150,479944,2980,2342,4320,5869,5320,9966,6200,13540,7040,18230,7790,22699,8160,26948,8260,30201,8360,33270,7690,33724,6800,31547,5910,29209,9610,50163,7130,40132,5670,33420,4540,26730,7820,47828,2720,18350,830,5775
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 1880,51032,50,1294,40,430,40,562,50,954,50,798,60,1634,70,1151,50,1105,60,983,80,1091,70,722,80,1345,140,2441,130,2675,110,2078,90,1648,330,5996,200,8196,180,15929
35,Moving expenses,Frais de déménagement,2012, 26770,104237,400,557,750,1067,1190,1584,1590,2289,1920,3395,1900,3603,2030,4273,1820,4398,1700,4604,1490,4285,1340,4757,1170,4529,2100,9423,1710,9088,1270,7393,1010,6646,2310,18918,880,10253,190,3175
36,Support payments made,Pension alimentaire payée,2012, 6890,115955,30,118,20,70,50,251,80,220,80,294,90,454,120,557,160,881,150,768,160,844,170,1018,170,1110,410,2935,400,3036,430,3598,430,4190,1560,19391,1380,28637,1020,47581
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 319180,677153,3520,4587,3230,2999,5300,3964,9920,6071,15390,8481,14170,10540,14120,11133,14720,13011,15530,14569,14680,15269,13770,15442,12950,14894,23990,30138,20390,29566,17200,26836,16160,25088,47070,90821,32080,96039,24980,257704
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 161430,133676,2190,170,13860,2287,19400,6466,16930,8123,15270,9199,13220,9644,11430,9540,9970,8900,9770,9737,8180,8235,6300,7237,4710,5999,6980,9778,4680,7016,3600,5558,2610,4222,6470,10914,3540,6274,2320,4377
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 13760,232904,90,441,,,70,194,120,199,,,160,298,200,404,230,583,280,589,290,593,280,814,290,711,640,2626,630,2732,540,3099,480,2334,2080,14201,2510,26760,4660,173345
41,Other employment expenses,Autres dépenses d'emploi,2012, 109890,572604,420,1115,590,1100,1050,2004,1550,3435,2100,4827,2710,7186,3270,9041,3740,10694,4260,13330,4810,16019,5100,18446,5200,19507,10520,42910,9850,43721,9010,41382,8810,41070,22640,134873,10200,96546,4080,65397
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 3730,53981,,,20,54,20,115,50,266,100,631,130,881,190,1534,220,1913,310,3060,270,3182,340,4528,340,4950,640,10755,460,8553,250,4957,150,3175,200,4415,30,868,,
43,Other deductions,Autres déductions,2012, 68140,181896,2280,1153,2100,1315,3100,1697,4140,3041,5120,3057,4760,2962,4770,2949,4410,3365,4020,3133,3480,3090,3090,3471,2650,2788,4470,6326,3380,5226,2750,5473,2320,4425,5720,18302,3110,26846,2480,83277
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 1587030,11110275,22460,19270,36090,23426,49750,42265,58100,64317,68870,96004,71790,133194,76580,177854,82040,232636,88500,297257,86860,354161,82680,395368,77110,417950,138190,856347,116110,841260,97470,822047,87880,884034,204960,2436141,97530,1604717,44060,1412027
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 63790,178075,,,,,,,,,,,,,,,,,,,,,,,,,6010,6393,11110,10901,9310,15016,7210,15920,17320,63292,7130,38980,4600,27217
46,Net income after adjustments,Revenu net après rajustements,2012, 2853930,156937189,234840,404208,152490,1136740,177730,2180061,216670,3781198,201630,4423760,160370,4267805,148140,4631027,142290,5098635,141580,5717141,125870,5619035,114990,5633571,102930,5495421,179840,10795501,143610,9893786,117240,9108059,101390,8711366,234500,25589668,108830,18615671,49000,25834536
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 560,8570,,,,,,,,,,,,,,,,,,,,,,,30,353,180,1939,150,2030,60,954,30,581,80,2043,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 12770,638619,,,,,20,38,30,42,50,95,40,64,50,122,70,147,90,200,90,132,120,300,150,412,330,911,380,1030,390,1176,470,1472,2380,11817,3650,40453,4460,580194
49,Other payments deductions,Déduction pour autres paiements,2012, 294700,2252248,8780,18887,20330,102760,34420,207961,85620,915125,71460,475453,24050,168127,11990,77133,7720,51896,5590,37820,4470,36038,3540,27718,2900,22420,4230,31749,2770,20767,1950,13895,1370,10526,2510,20108,740,10019,270,3846
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 3170,34597,50,292,30,86,230,335,330,853,350,1614,280,1623,270,1740,230,1572,220,1863,170,1656,110,1076,120,959,170,1950,130,1580,110,1644,70,1163,160,3658,70,2684,60,8250
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 57530,174812,230,266,210,386,510,556,900,907,1580,1459,2050,2018,2250,2469,2510,3111,2690,3416,2500,3804,2430,3658,2260,3570,4540,8089,3770,7455,3200,6892,2890,5846,9150,23577,7410,28365,6470,68967
52,Capital gains deduction,Déduction pour gains en capital,2012, 12560,861354,50,369,40,97,120,329,170,612,310,1305,350,1964,330,2300,370,3174,400,4032,450,5363,400,5537,400,6630,940,20303,750,18989,620,18327,610,20252,1840,82660,1820,152791,2590,516321
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 104960,281907,740,373,980,1280,1940,3448,3570,7713,4420,9903,4100,9557,4320,10160,4440,10648,4460,11043,4200,10803,4220,11306,4040,11197,7660,21117,6800,19286,6360,17792,6310,17966,18660,52910,14650,45422,3090,9981
54,Additional deductions,Déductions supplémentaires,2012, 13900,55731,240,488,370,996,780,1875,1380,4275,2350,6484,1630,5674,1250,4849,980,4133,820,3345,600,2296,460,1865,380,1189,590,1384,440,1519,280,1012,220,1235,560,5030,320,3212,250,4870
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 3140,33647,40,967,30,122,150,371,190,648,250,1195,210,1561,180,1180,170,1343,150,1301,130,1124,130,1057,100,799,210,2571,160,1989,160,1445,130,1608,350,4887,220,3744,170,5735
56,Total deductions from net income,Total des déductions du revenu net,2012, 481350,4342957,10020,21671,21720,105733,37370,214917,89890,930179,76980,497521,30940,190635,19630,99955,15680,76040,13760,63158,12050,61315,10900,52601,9930,47574,18020,90118,14650,74702,12610,63212,11630,60762,34010,206841,26590,287456,14970,1198567
57,Taxable income assessed,Revenu imposable établi,2012, 2820700,152604651,231780,386610,146260,1031819,174260,1965976,199240,2852097,199560,3926658,160030,4077708,147990,4531120,142160,5022906,141510,5654110,125810,5558104,114950,5581019,102920,5447876,179820,10705519,143590,9819126,117230,9044901,101380,8650743,234460,25383272,108790,18328867,48980,24636219
58,Basic personal amount,Montant personnel de base,2012, 2879880,30959401,260060,2715246,152740,1620590,177890,1903603,216740,2332254,201670,2174141,160410,1730133,148170,1599146,142300,1536715,141600,1529758,125890,1360449,115010,1243012,102940,1112839,179860,1944603,143620,1552713,117250,1267852,101400,1096469,234510,2535290,108840,1175969,49010,528617
59,Age amount,Montant en raison de l'âge,2012, 402520,2380129,9020,56878,11990,79722,31610,211857,62870,422206,74540,500811,40180,269942,31420,210751,26540,168199,24690,141133,18450,96271,15130,70062,12700,51124,21400,62698,13520,24621,4860,7855,2000,3042,1400,2207,130,465,70,285
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 239830,1816275,10320,86758,7170,50345,10450,69513,11860,83851,14100,93702,13670,97618,12080,90935,11160,85079,9910,75397,9070,68630,8540,65137,7920,59670,14680,110107,13370,101660,11900,90295,10940,83823,32690,255880,20370,166626,9640,81252
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 94200,974421,7510,78554,5320,55589,7810,82037,7940,83405,6770,70727,6160,64061,5800,60137,5710,59096,5310,55125,4960,51160,4210,43051,3520,35952,5680,58005,4020,41062,3250,32882,2790,28328,5100,51442,1770,17820,590,5988
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 442820,1774440,18770,79710,11050,44154,16080,65009,17620,72074,17530,70117,18140,71491,18510,72019,19240,74619,19950,76945,19090,73247,18570,71809,17530,68239,32690,127386,29180,115385,26840,107217,25230,101390,65830,270098,35140,145822,15840,67710
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 850,4938,10,135,10,75,30,161,40,216,50,309,50,261,50,311,40,242,40,218,40,175,50,291,40,236,80,469,60,356,40,196,30,157,110,615,60,334,30,182
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 1884100,3127598,20280,3822,73670,13003,93540,34556,96290,55320,100300,78777,101820,102187,102980,127366,103880,153557,104920,179190,99370,192850,92070,194706,84610,182950,148990,326530,123330,273545,102960,229603,91590,206101,209570,471645,94930,214251,39010,87637
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 161430,133676,2190,170,13860,2287,19400,6466,16930,8123,15270,9199,13220,9644,11430,9540,9970,8900,9770,9737,8180,8235,6300,7237,4710,5999,6980,9778,4680,7016,3600,5558,2610,4222,6470,10914,3540,6274,2320,4377
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 1832190,1134949,53870,7641,87780,11116,95150,18979,93880,25731,97660,33856,98680,42372,98730,50929,99160,60004,99940,68893,94420,71877,87530,68661,80970,64534,141060,113583,116400,94806,96260,78940,86270,71258,192160,158988,83270,68972,28990,23809
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 3480,10425,70,198,50,147,70,216,90,279,100,303,100,309,150,435,150,459,180,543,180,534,170,504,200,603,360,1071,340,1023,310,915,240,711,510,1533,180,552,30,90
71,Canada employment amount,Montant canadien pour emploi,2012, 2109350,2266730,88220,84177,102290,109489,109100,116997,108560,116190,111680,119591,111520,119740,111380,119524,111860,120078,113210,121620,105930,114296,98030,105919,89750,97025,157670,170800,129250,140351,107160,116539,94610,103043,217090,236544,99260,108214,42810,46592
72,Public transit amount,Montant pour le transport en commun,2012, 204510,114203,9870,2801,10790,3353,13760,4714,14950,5999,14970,6754,13750,7586,12210,7143,11450,7095,10840,6930,9780,6354,8780,5819,7810,5301,13130,8749,10200,6873,8460,5755,6920,4720,16670,11438,7810,5366,2360,1453
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 190260,109573,2010,950,1550,707,2310,1065,3380,1607,4030,1917,4940,2360,5490,2681,6290,3045,7030,3436,7230,3548,7440,3695,7630,3857,14890,7782,14280,7640,14250,8038,14630,8733,39460,24582,22490,15353,10950,8580
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 72710,39412,670,299,520,219,740,358,1130,530,1440,669,1730,819,1900,915,2150,1051,2410,1168,2530,1227,2630,1304,2650,1316,5410,2719,5220,2690,5510,2885,5810,3106,15970,9056,9470,5748,4820,3331
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 27460,125817,120,418,100,396,150,560,320,1316,540,2307,770,3345,1050,4511,1400,6244,1780,7976,1940,8731,1890,8588,1840,8447,3540,16270,3030,14046,2300,10790,1720,8051,3750,17854,1100,5326,130,642
76,Pension income amount,Montant pour revenu de pension,2012, 361610,687159,2390,3425,4410,7030,11790,19061,22540,38346,47500,86348,35830,69296,31400,61419,28040,54929,27940,54842,21000,41149,17290,33825,14670,28684,24620,48172,16540,32273,11700,22871,8530,16638,20090,39111,9610,18679,5730,11061
77,Caregiver amount,Montant pour aidants naturels,2012, 16330,71606,210,988,160,664,250,1076,420,1555,670,2697,780,3161,870,3478,940,3794,1020,4180,1080,4530,980,4099,860,3646,1520,6536,1200,5363,1020,4704,820,3863,2160,10360,960,4997,390,1915
78,Disability amount ,Montant pour personnes handicapées,2012, 56240,424247,2800,21652,2810,21358,4500,33850,9450,71021,7920,59482,5690,42873,4300,32405,3450,26045,2810,21196,2220,16726,1820,13755,1350,10187,2130,16081,1290,9699,870,6606,580,4352,1280,9663,590,4456,380,2841
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 21770,226307,530,6180,290,3071,500,5364,640,6600,730,6780,830,7769,940,8928,960,9382,1080,10777,1140,11508,1060,10715,1030,10453,1870,19156,1740,18533,1400,15329,1290,13754,3420,37223,1630,17493,700,7293
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 78380,41517,440,188,330,144,1040,405,2490,996,3590,1453,4600,1922,5420,2460,5940,2856,6050,3144,6010,3226,5300,2888,4710,2670,8320,5118,7050,4505,5280,3210,3730,2079,6070,3209,1750,873,300,171
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 212450,1212033,30,24,110,198,16420,18070,29340,110962,23360,146724,19290,138260,17060,127711,14940,110103,13520,96556,11400,77267,9660,61638,8180,50268,13490,91102,9920,57442,6930,35694,5350,24198,9950,46826,2760,14325,760,4662
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 59270,291406,70,237,50,136,160,449,360,1216,720,2827,1090,4436,1470,6548,1780,8127,2020,8898,2270,10396,2220,10115,2280,10674,4460,20601,4070,18949,4020,19128,4640,22898,12840,64426,8590,45645,6180,35701
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 100630,497873,11590,56073,5010,24909,9710,48286,10890,58251,11280,60256,8010,42969,6110,31928,4680,23846,3750,18123,2870,13959,2610,12479,2350,11290,3980,18823,3160,14539,2680,11968,2270,9959,5780,24417,2830,11415,1080,4382
84,Medical expenses,Montant admissible des frais médicaux,2012, 320580,827948,7250,8277,7570,11468,13570,19043,21740,33406,34410,68285,32480,73127,29360,70732,26400,73927,24470,63807,18870,50519,15430,41539,12280,33633,18730,55415,11710,35183,8430,26997,6740,21747,16480,57908,8910,40492,5770,42444
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 2879950,7388186,260080,482222,152750,309027,177890,399256,216740,529726,201680,539716,160420,435861,148170,405309,142300,389614,141600,383955,125890,343052,115010,312141,102940,278957,179860,486261,143620,387068,117250,316799,101400,276428,234510,652759,108840,314361,49010,145674
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 654720,1453484,1090,299,1540,580,5230,2424,12010,8053,24530,18652,28370,25949,31560,34027,33070,39141,35740,46730,34310,45444,33020,45058,31730,44504,58310,88916,49520,79445,43000,71583,40200,71841,101160,201645,57670,164330,32670,464864
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 790,6989,,,,,,,30,20,50,20,50,13,40,23,60,56,50,37,50,39,40,15,40,37,80,92,50,96,50,116,40,169,90,467,50,850,30,4923
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 652300,409080,1040,60,1520,143,5150,601,11860,2082,24330,4882,28150,6931,31320,9211,32880,10663,35560,12800,34150,12460,32880,12373,31630,12239,58130,24584,49390,21986,42910,19855,40120,19993,101010,56312,57630,46474,32670,135433
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 2879950,7797266,260080,482282,152750,309170,177890,399857,216740,531808,201680,544598,160420,442792,148170,414519,142300,400277,141600,396755,125890,355511,115010,324514,102940,291195,179860,510845,143620,409053,117250,336654,101400,296422,234510,709070,108840,360835,49010,281106
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 525140,1849296,1070,2,840,10,6620,486,10350,2091,17600,5012,21530,10784,23600,15537,25490,22979,28880,30517,25800,32522,24940,41605,23230,39693,44390,90944,36600,86010,31880,85582,27970,72330,82450,292907,56620,282971,35290,737314
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1460,17939,,,,,,,,,,,,,,,10,21,,,,,,,10,46,20,138,40,186,40,234,50,379,400,4136,570,8050,280,4689
