#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 190,5563,190,5546,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 700,15659,640,15246,,,,,,,,,10,91,30,63,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 120580,663107,14000,48712,320,1401,50,197,50,191,1090,4407,730,3058,63830,246722,39730,355299,790,3120
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 660,5233,210,1837,,,20,195,20,120,230,1499,80,686,60,400,,,30,374
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 9790,22665,2960,3688,70,130,120,226,60,75,240,320,1700,12571,4230,4914,70,42,340,699
52,Capital gains deduction,Déduction pour gains en capital,2012, 970,77042,200,4266,110,7580,,,,,10,456,510,63843,110,473,,,10,202
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 480,1163,450,1117,,,,,,,,,,,,,10,17,,
54,Additional deductions,Déductions supplémentaires,2012, 4170,17442,290,3704,,,,,,,60,238,230,414,3330,11511,150,652,80,795
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 160,1593,40,304,80,951,,,,,,,10,121,20,41,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 135470,809496,18810,84424,550,10115,210,812,130,514,1610,6981,3070,80790,70040,264161,39830,356122,1220,5577
57,Taxable income assessed,Revenu imposable établi,2012, 710020,25253866,409240,16672501,5090,208576,3190,248245,1870,71860,21640,518108,24240,1779912,184460,4770255,46770,507628,13510,476780
58,Basic personal amount,Montant personnel de base,2012, 736070,7935752,409530,4411573,5280,57032,3240,34869,1930,20864,22780,245527,24490,264266,184680,1995565,64090,690175,20050,215880
59,Age amount,Montant en raison de l'âge,2012, 159150,981005,6650,30999,700,3738,220,1044,180,872,1940,11610,3740,17248,136770,858099,7700,50803,1260,6591
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 49740,331022,31200,225596,730,4970,220,1546,160,1112,2610,18401,1090,7366,9240,37409,3530,27728,970,6894
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 29980,308902,20750,213148,110,1063,120,1259,90,896,910,9445,300,3018,910,8452,6220,65644,590,5976
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 92730,347887,71640,264242,910,3672,620,2523,310,1206,3550,13844,2730,11220,1330,4461,10500,42414,1130,4305
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 790,4411,380,2076,10,59,,,,,20,137,30,128,300,1746,20,136,20,104
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 404720,568361,368030,549939,1100,768,610,408,300,130,3860,2232,6160,5896,7960,3392,13650,3719,3050,1876
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33000,25474,4960,887,3770,3931,2700,3849,1580,1922,17090,13789,1120,596,970,265,520,125,280,110
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 417090,223588,372730,213034,3870,2295,480,148,240,51,3310,935,4380,1398,11970,2390,16560,2451,3550,887
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 5590,16757,4110,12341,200,588,,,,,180,543,70,201,630,1878,320,954,60,186
71,Canada employment amount,Montant canadien pour emploi,2012, 465960,493446,394060,429123,1330,1330,830,783,390,377,4820,4703,8910,9168,28860,21328,21420,21540,5340,5096
72,Public transit amount,Montant pour le transport en commun,2012, 15890,7388,14050,6640,,,40,16,,,130,42,130,39,660,291,530,245,330,107
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 38650,21437,33040,18221,380,184,390,267,190,120,1250,676,1640,1174,330,160,1120,439,320,195
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 12840,6068,10940,5094,70,23,180,113,70,32,410,190,670,419,100,40,290,95,120,61
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 4620,21457,4260,19775,20,110,30,139,10,55,90,416,50,208,50,211,100,429,30,113
76,Pension income amount,Montant pour revenu de pension,2012, 158620,304440,19050,36221,470,832,350,666,180,343,1820,3425,4620,8681,128370,247462,1240,2083,2520,4727
77,Caregiver amount,Montant pour aidants naturels,2012, 4910,24325,3090,15243,70,378,20,125,10,67,130,600,120,601,1130,5605,220,1146,110,560
78,Disability amount ,Montant pour personnes handicapées,2012, 29130,219124,5380,40644,70,548,30,249,20,126,260,1967,680,5162,19360,145465,2580,19386,740,5577
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 9150,90799,6570,67930,80,750,40,437,20,193,230,2304,210,1863,1290,9863,560,6053,150,1408
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 24090,14633,22020,13378,20,9,160,168,50,39,390,242,220,176,50,18,1070,544,100,59
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 40240,226118,34120,185787,70,309,210,2116,80,393,610,3252,2060,19733,360,902,1990,8924,740,4701
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 17470,91163,14490,76112,220,1137,170,965,90,456,490,2560,550,2845,1040,5124,160,664,260,1298
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 35320,186608,10970,54453,310,1828,80,429,70,361,1000,4839,640,2978,19390,107512,2320,11677,540,2530
84,Medical expenses,Montant admissible des frais médicaux,2012, 154900,336182,72300,105548,1280,2828,780,1746,480,949,5690,9924,4950,21708,60620,175023,5820,9451,2990,9004
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 736080,1918001,409530,1049734,5280,13258,3240,8091,1930,4591,22780,52747,24490,57914,184680,544900,64090,145028,20050,41738
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 155930,185473,85830,67996,1400,1428,1310,3785,590,752,3720,3775,6750,37139,51660,64384,1880,906,2790,5307
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 250,422,110,35,,,,,,,,,20,175,110,163,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 154560,50382,84810,18121,1370,386,1310,1066,580,212,3680,1022,6740,10418,51490,17461,1810,218,2760,1478
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 736080,1968383,409530,1067856,5280,13644,3240,9158,1930,4803,22780,53768,24490,68333,184680,562361,64090,145246,20050,43216
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 86750,202728,35670,24785,890,1017,730,1102,330,282,1860,1338,17350,158506,27260,14346,610,113,2040,1239
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 470,5357,470,5338,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 1080,2762,300,956,20,59,,,,,20,61,570,1217,100,230,,,50,187
93,Basic federal tax ,Impôt fédéral de base,2012, 451730,2503350,308250,1884522,4020,22547,2360,44066,1270,8271,11320,41863,14040,154438,90620,269258,12300,16431,7560,61955
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 22330,17434,9180,12711,170,29,280,182,70,2,440,281,2960,2331,8510,1677,110,4,610,217
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 4130,647,1420,227,30,5,120,26,20,3,100,13,380,75,1970,284,10,1,80,13
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 1740,2367,330,472,930,1202,50,123,,,130,208,110,194,160,140,,,20,24
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 70,36,50,27,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 960,3835,200,414,10,44,,,,,,,740,3323,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 450890,2483339,307810,1871419,3960,21296,2350,43777,1270,8262,11290,41387,13910,151895,90460,267175,12290,16426,7550,61700
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33000,50948,4960,1774,3770,7862,2700,7699,1580,3844,17090,27577,1120,1192,970,530,520,250,280,220
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 15040,39478,7860,16293,870,2767,170,745,40,129,160,476,2210,9427,3190,7953,50,84,490,1603
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 497010,2005258,318520,1473246,4260,17951,2480,30213,1360,6318,12890,33448,17330,134618,117700,248417,14330,14113,8140,46936
103,Total tax payable,Total à payer,2012, 511340,4579076,323960,3362733,4650,49877,3010,82449,1720,18557,18970,102920,17680,297133,118130,524075,14950,30874,8280,110459
