#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 34170,49632,6140,9602,2760,3889,4680,6690,3160,4588,3010,4137,2720,3768,2360,3300,2070,2911,1650,2382,1240,1827,920,1375,790,1143,1210,1788,760,1135,290,432,130,190,200,324,80,133,10,17
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 108160,849222,1300,3123,3580,15700,8570,49660,13640,96036,15640,128316,16350,148228,13260,126616,9670,81273,6840,54771,4690,36513,3140,24471,2330,18201,3010,23231,1920,14816,1330,9868,910,6321,1710,10466,250,1474,20,138
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 61400,739043,1030,703,1040,1075,1940,2273,3400,4426,3960,7478,3650,8967,4000,12395,4150,16076,4620,17488,3800,18063,3310,18991,3010,19603,5160,41319,4030,37953,3080,37478,2130,29266,5140,116686,2580,128523,1370,220280
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 94420,135218,2720,1431,2720,1883,4620,3294,8540,6330,8490,7686,7080,7345,7120,7834,6890,7561,6800,8117,5390,6988,4550,5777,3840,5678,6420,8999,4840,7094,3530,5915,2340,4685,5130,11801,2200,8751,1210,18049
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 590,1705,,,,,,,,,,,,,10,18,10,,20,-3,20,33,30,8,30,146,50,58,50,105,50,339,50,357,120,466,80,349,50,-152
16,Net rental income,Revenus nets de location,2012, 13060,14955,450,-1897,400,511,560,502,810,610,850,867,830,613,920,985,920,488,920,627,760,648,710,435,600,563,1030,590,840,788,620,598,430,818,910,2531,330,1852,180,2825
17,Taxable capital gains,Gains en capital imposables,2012, 27990,156619,520,356,580,528,900,850,1530,1247,1840,2037,1740,2082,1850,2581,1840,2822,2240,3220,1690,2847,1530,2937,1390,3285,2170,5912,1710,4818,1380,4852,950,3405,2260,16565,1140,20894,730,75380
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 42650,235157,870,1434,870,2243,1500,5215,2260,7335,3000,11003,3080,12534,3460,15230,3680,17140,3580,16824,3140,14953,2590,13594,2260,12008,3650,21159,2750,15985,1830,13866,1160,10408,2250,24407,570,12448,160,7370
19,Other income,Autres revenus,2012, 71890,350986,2710,3708,4190,9606,4380,12278,4670,13318,5150,14477,5120,15754,5240,16535,5260,19390,5160,18864,4270,17472,3470,15252,2960,13592,4740,24139,3470,17504,2650,15749,1790,12457,4220,44012,1660,31833,800,35045
20,Net business income,Revenus nets d'entreprise,2012, 30700,331521,2610,-5508,3180,15344,3680,27671,3230,28994,2680,26130,2170,25218,2020,23068,1720,19837,1540,19296,1250,16643,1020,14933,870,12080,1360,20407,970,16533,680,12586,410,8756,890,23631,300,13782,110,12121
21,Net professional income,Revenus nets de profession libérale,2012, 4190,166463,180,-42,210,953,260,1720,250,2134,210,2199,200,2080,170,1900,170,2082,160,2262,140,2485,130,2041,130,2097,250,4669,210,5146,180,5458,140,4565,480,27041,410,42418,320,55254
22,Net commission income,Revenus nets de commissions,2012, 3040,47033,190,62,180,546,230,1161,250,1115,260,1918,260,2013,200,1931,200,1940,180,1600,160,2094,120,2497,100,1358,180,3857,130,4050,100,2941,60,1428,140,7939,70,5522,20,3060
23,Net farming income,Revenus nets d'agriculture,2012, 2710,4758,210,-3035,140,-70,210,-226,260,86,220,-135,170,60,200,168,190,157,200,654,140,27,100,285,90,-1,160,182,100,344,70,378,60,234,120,742,40,738,40,4172
24,Net fishing income,Revenus nets de pêche,2012, 2260,37930,40,-405,,,110,159,220,598,250,920,230,1468,200,1808,180,2360,170,3218,150,2770,130,2961,90,2386,130,3777,120,4540,60,2658,40,1799,80,4435,20,2047,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 10010,91591,,,320,1209,660,3771,1210,7485,1540,13158,1350,13908,1190,12208,970,11159,640,6615,510,5557,350,3597,300,3251,370,4023,180,1659,110,1019,60,513,110,1346,30,832,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 30940,192112,2770,8369,16240,106021,7680,62313,2190,9268,1020,3099,460,1371,250,770,130,356,70,143,50,118,30,86,20,48,20,89,,,,,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 66620,286734,1010,1599,3740,9752,12330,47536,33240,182922,11590,32010,2270,6234,1050,3230,580,1499,330,769,150,352,90,215,50,134,90,222,30,91,30,73,,,20,51,10,24,,
28,Total income assessed,Revenu total établi,2012, 599560,21930616,45390,74923,50530,385032,51070,636368,70340,1224242,54900,1230481,46820,1284785,43400,1410217,39500,1479367,34350,1457058,27000,1279504,21440,1124034,18110,1040579,28720,1862512,21740,1623974,13670,1156452,8490,804328,16710,1987064,5370,982253,2020,887441
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 115420,371799,180,106,330,141,690,382,1470,900,3320,2648,5480,5525,7920,11426,10670,19471,10440,22631,9550,23534,8280,23173,8110,25954,14750,56440,13080,59975,7480,37107,4150,21646,7340,41599,1760,13623,460,5518
30,RRSP deduction,Cotisations à un REER,2012, 99450,473561,310,355,410,485,920,1101,1800,2536,3210,4606,4600,7546,6300,11439,7570,15824,8110,20152,7640,22120,6670,22357,6290,23232,10860,44572,9100,43180,6520,38507,4500,32020,10010,103053,3410,54003,1230,26472
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 29090,308427,,,,,130,185,400,678,1090,2877,2000,8141,2620,14829,3180,21475,3400,27454,3210,31994,2560,30631,2000,27593,2800,42816,1740,27249,1120,18373,760,13916,1380,26083,500,10576,170,3464
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 114890,78707,1270,166,1890,250,2440,424,3430,719,5200,1450,7110,2384,8250,3325,10090,4798,9760,5130,8590,5239,7180,4944,6780,5197,12490,10992,11800,11514,6520,6667,3710,4182,6630,8799,1490,2097,270,431
33,Child care expenses,Frais de garde d'enfants,2012, 27050,106685,410,383,760,1208,1160,2410,1830,4329,2480,7044,2860,9477,2810,10546,2840,11655,2340,10593,1800,8288,1450,7310,1240,6368,2050,10933,1430,7579,640,3394,290,1426,490,2622,150,843,40,276
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 190,3112,,,,,,,,,,,10,186,10,116,,,10,118,10,130,,,,,10,295,20,207,10,188,10,105,20,262,10,324,,
35,Moving expenses,Frais de déménagement,2012, 1900,7825,,,100,105,110,143,140,230,150,286,170,449,140,375,130,316,110,342,110,555,100,404,110,517,140,855,100,707,70,474,50,605,100,927,30,317,,
36,Support payments made,Pension alimentaire payée,2012, 1660,17729,,,20,37,,,30,107,40,164,60,282,90,407,90,372,90,551,100,547,90,558,80,548,170,1199,140,1084,110,1122,90,907,250,3414,140,3305,60,3063
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 35220,48698,210,221,300,221,580,429,1360,719,2100,1028,2100,1136,2360,1369,2640,1747,2770,1971,2470,2275,2110,2005,1970,2196,3200,3794,2550,3713,1980,3269,1340,2759,3000,7422,1420,5511,780,6914
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 23660,17134,470,34,2660,458,3210,1098,2780,1306,2280,1301,1940,1315,1720,1250,1470,1168,1390,1184,1140,1068,850,980,560,702,800,1112,570,900,380,611,240,382,640,1135,380,752,180,378
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 340,2976,,,,,,,,,,,,,,,,,,,,,10,65,10,47,20,62,30,148,20,49,20,111,70,605,60,459,50,1238
41,Other employment expenses,Autres dépenses d'emploi,2012, 18710,78609,90,188,150,223,290,516,650,1328,970,2157,1340,3202,1590,4306,1480,4753,1540,5080,1570,6360,1360,6571,1190,5522,1740,8441,1230,5252,880,3844,630,3166,1340,7793,480,4017,210,5890
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 900,10043,,,,,,,,,20,145,50,348,70,545,80,723,90,808,100,1008,120,1340,100,1258,120,1542,60,958,40,536,10,240,30,454,,,,
43,Other deductions,Autres déductions,2012, 21980,29383,580,610,720,591,1510,807,2400,1368,2890,1705,2900,1610,2400,1597,1920,1349,1480,1279,1020,1045,700,791,600,851,820,1190,540,1046,390,993,260,899,600,3146,170,4058,100,4445
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 290900,1554913,3310,2290,6420,3853,9340,7669,13110,14308,18130,26141,21830,41645,24340,61563,26190,83732,24770,97339,21450,104217,17780,101196,15740,100077,25510,184249,20260,163531,12700,115150,7880,82365,15480,207322,4870,99953,1810,58313
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 10750,25438,,,,,,,,,,,,,,,,,,,,,,,250,72,1620,1931,2170,3231,1760,3416,1220,2826,2660,8274,780,3881,300,1809
46,Net income after adjustments,Revenu net après rajustements,2012, 598190,20361429,44110,82448,50500,381478,51060,628755,70330,1209945,54890,1204995,46820,1243210,43400,1348685,39490,1395655,34340,1359724,27000,1175287,21440,1022844,18110,940433,28720,1676429,21740,1457213,13670,1037886,8490,719137,16700,1771518,5370,878467,2020,827319
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 510,19322,,,,,,,,,,,,,,,,,,,10,269,50,1536,120,4044,170,6356,70,3090,30,1361,20,638,30,1595,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 360,6244,,,,,,,,,,,,,,,,,,,20,46,10,32,20,70,20,61,20,81,20,82,30,259,80,938,60,886,50,3726
49,Other payments deductions,Déduction pour autres paiements,2012, 105520,570445,3880,10228,20100,116995,20190,113631,36040,199675,13680,48267,3960,21513,2410,16209,1650,13014,1020,7527,700,6027,470,3898,360,3433,470,4334,220,1762,150,1112,,,120,1399,30,838,,
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 470,3757,20,40,,,60,100,60,232,70,323,60,355,40,308,30,362,30,344,20,165,20,178,10,126,10,191,10,129,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 6160,10617,20,25,40,38,80,45,160,80,270,179,340,246,400,320,400,348,490,440,370,383,410,502,330,408,550,848,420,559,390,607,240,396,640,1445,370,1349,240,2399
52,Capital gains deduction,Déduction pour gains en capital,2012, 840,59471,,,,,,,10,21,20,73,30,98,20,104,20,226,30,247,30,276,40,488,30,410,70,1347,40,1002,40,944,30,906,130,6340,120,11682,160,35278
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 520,1054,,,,,,,,,,,,,,,10,14,10,43,20,43,,,20,47,30,61,30,78,50,98,50,99,190,389,50,100,,
54,Additional deductions,Déductions supplémentaires,2012, 7250,22126,,,230,231,940,940,1830,4306,1600,4041,710,2123,470,2117,380,1520,280,1817,180,1262,130,383,80,538,120,439,60,437,50,244,30,218,70,788,30,628,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 120,2006,,,,,10,18,,,,,10,94,,,10,161,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 117570,695047,3970,10384,20260,117297,20640,114748,36620,204379,14500,52949,4900,24444,3260,19114,2440,15668,1830,10535,1320,8495,1100,7041,960,9092,1420,13662,870,7212,710,4794,460,3238,1240,13360,650,16033,440,42605
57,Taxable income assessed,Revenu imposable établi,2012, 582110,19668131,42070,72441,39640,264258,48830,514096,69990,1006339,54690,1152114,46680,1218784,43300,1329617,39430,1380092,34300,1349205,26970,1166801,21430,1015812,18110,931340,28710,1662793,21730,1450007,13670,1033093,8490,715920,16700,1758262,5360,862442,2020,784715
58,Basic personal amount,Montant personnel de base,2012, 603160,6504521,49000,519325,50530,542368,51070,549897,70340,759490,54900,593010,46820,506013,43400,469359,39500,427214,34350,371498,27000,292039,21440,231984,18110,195982,28720,310746,21740,235225,13670,147961,8490,91832,16710,180720,5370,58061,2020,21796
59,Age amount,Montant en raison de l'âge,2012, 128890,808546,1200,7724,4610,30705,14070,94395,36870,247715,18660,125339,10910,73294,9660,64771,7690,48970,6940,40476,4850,26429,3520,17339,2680,11617,3820,12593,2030,4477,770,1520,340,596,250,447,20,98,10,41
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 42400,282770,1250,10298,1310,9955,2720,20046,4070,20264,4440,24009,3960,24065,3440,22658,3040,20145,2530,17078,2090,14288,1740,12135,1510,10724,2380,16728,1880,13489,1400,10285,1000,7594,2490,19520,850,6976,290,2513
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 24410,249306,1490,15241,1580,16338,3540,37148,2680,27737,2880,29427,2530,25897,2000,20238,1720,17245,1280,12970,870,8654,620,6202,530,5243,910,9196,740,7441,400,3932,210,2111,310,3119,80,831,30,335
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 78060,286805,3050,11405,2450,8365,5300,19469,4670,16596,5500,19019,5710,19953,5720,20227,5640,19952,4940,17658,4150,15326,3660,13462,3230,11906,6170,23190,5530,21138,3390,13123,2270,8969,4540,18159,1540,6253,600,2634
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 690,3583,10,69,,,20,113,50,258,70,362,60,325,60,341,60,307,60,276,50,290,40,198,30,127,40,206,50,229,20,140,20,94,30,151,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 345380,475764,5380,1411,15470,2596,19510,6385,25500,12774,30770,21763,31920,28657,30590,35075,28790,41258,24680,41238,20120,38485,16350,34046,14350,30647,23490,51271,18890,42026,11900,26464,7460,16679,14490,32452,4260,9396,1450,3141
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 23660,17134,470,34,2660,458,3210,1098,2780,1306,2280,1301,1940,1315,1720,1250,1470,1168,1390,1184,1140,1068,850,980,560,702,800,1112,570,900,380,611,240,382,640,1135,380,752,180,378
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 353470,185830,12250,1461,19360,2361,20890,3778,26110,6401,31050,9955,31980,12508,30530,14687,28750,16817,24590,16492,19940,14846,16130,12430,14130,11072,23090,18417,18490,15050,11500,9372,7100,5827,13290,10916,3390,2734,910,705
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 2790,8373,50,144,40,126,40,120,90,270,150,435,190,558,270,822,260,789,300,903,220,663,230,684,170,516,250,747,200,591,120,366,80,243,110,333,20,63,,
71,Canada employment amount,Montant canadien pour emploi,2012, 390360,415984,17540,16724,22080,23324,23490,24861,28350,30273,33330,35571,34290,36642,32990,35173,31170,33236,26810,28599,21710,23269,17530,18833,15260,16449,24850,26831,19600,21266,12330,13386,7750,8412,15110,16425,4570,4948,1630,1765
72,Public transit amount,Montant pour le transport en commun,2012, 4500,1823,270,71,360,91,470,146,510,184,540,228,400,174,360,151,320,139,240,125,160,79,130,69,100,54,180,85,150,74,100,45,80,42,100,50,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 31350,15866,240,95,240,93,470,175,760,287,1190,459,1600,661,1920,788,2180,932,2160,951,2000,914,1840,887,1750,846,3480,1774,3400,1896,2170,1262,1470,892,3010,1899,1070,743,400,313
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 8060,3515,60,24,70,28,120,39,150,53,230,78,330,126,440,156,480,170,490,178,450,166,400,161,380,160,910,384,910,398,680,342,470,226,990,516,380,209,160,102
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 4010,18613,30,141,,,50,219,110,461,260,1193,380,1768,480,2201,470,2124,410,1874,340,1598,280,1288,250,1198,390,1843,210,1003,120,572,60,290,120,603,20,110,,
76,Pension income amount,Montant pour revenu de pension,2012, 115630,221255,610,777,1750,2711,5110,8374,12420,21210,17530,33720,12330,24290,11440,22614,10170,20114,9900,19591,7200,14238,5360,10610,4240,8387,6010,11858,3570,7044,2420,4769,1520,2991,2710,5328,970,1891,380,739
77,Caregiver amount,Montant pour aidants naturels,2012, 5360,25602,60,242,70,321,180,766,350,1483,570,2461,710,3414,670,3167,550,2669,420,1918,320,1608,250,1268,210,1011,290,1449,230,1163,150,777,100,462,200,1011,60,304,20,107
78,Disability amount ,Montant pour personnes handicapées,2012, 18400,138522,730,5495,2380,17917,2020,15094,2040,15257,2310,17399,1860,14008,1650,12400,1340,10119,1000,7568,750,5629,530,3969,420,3172,530,4030,310,2354,180,1351,90,686,180,1343,80,588,20,143
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 7080,68374,130,1424,120,1179,260,2651,360,3309,520,4379,670,5991,680,6048,660,6121,540,5184,480,4587,390,3780,290,2878,550,5731,490,5244,280,2920,200,2078,360,3601,100,1014,20,257
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 25930,16651,130,64,170,53,600,223,1500,710,2380,1246,2750,1419,2800,1626,2800,1707,2310,1498,1940,1282,1570,1283,1430,1252,2340,1990,1590,1202,640,453,310,192,520,325,120,99,30,27
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 29780,146938,,,,,3460,3974,5750,21918,4460,25563,3480,22421,2670,17473,2040,13683,1470,9714,1190,7346,880,5359,770,4693,1350,7066,920,3240,460,1654,290,825,430,1322,100,509,30,152
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 13930,72822,,,,,30,50,140,530,360,1520,560,2500,710,3383,860,4145,910,4503,900,4484,790,4061,740,3836,1450,7450,1610,8569,1160,6443,810,4477,1890,10701,720,4232,290,1834
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 30100,157253,1810,7478,1290,5260,3970,19948,5530,32630,4260,25030,3060,17131,2420,12449,1840,8720,1300,6292,860,4353,660,3312,520,2512,760,3715,530,2523,360,1705,210,910,510,2379,170,708,50,198
84,Medical expenses,Montant admissible des frais médicaux,2012, 134180,313644,1740,1821,2790,3364,6710,9031,13840,26030,19850,45047,19050,41932,16560,38644,13330,31750,11000,28590,7170,19428,4970,13772,3710,10414,5070,14173,2920,8249,1660,5614,890,2704,1830,7157,740,3442,370,2483
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 603160,1565954,49000,90222,50530,100180,51070,122701,70340,187072,54900,152779,46820,129760,43400,120858,39500,109426,34350,95456,27000,75162,21440,59718,18110,50310,28720,79890,21740,60723,13670,38264,8490,23928,16710,47944,5370,15603,2020,5958
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 120650,213235,130,41,300,113,1190,505,3960,2464,7670,66197,8780,6664,10320,9067,10900,10363,10500,10718,9290,9925,7740,9274,6850,7809,11230,14081,8970,10847,6210,8348,4010,6266,8240,14225,3060,8833,1320,17496
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 170,152,,,,,,,10,6,20,11,10,3,20,7,10,11,10,4,,,10,4,10,28,10,4,10,1,,,,,10,46,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 118960,41712,130,9,290,28,1160,126,3860,629,7500,1357,8580,1758,10130,2427,10700,2793,10320,2900,9170,2690,7650,2533,6780,2133,11120,3855,8870,2963,6160,2290,3990,1736,8210,3956,3040,2490,1320,5040
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 603160,1607666,49000,90230,50530,100208,51070,122827,70340,187702,54900,154136,46820,131517,43400,123285,39500,112219,34350,98355,27000,77852,21440,62251,18110,52444,28720,83745,21740,63686,13670,40554,8490,25664,16710,51899,5370,18093,2020,10998
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 53550,98987,100,,100,1,570,40,1290,167,2530,475,3090,830,3700,1330,4010,1861,4560,2205,3770,2348,3310,2532,3020,2658,5170,5668,4070,5237,3100,5157,2130,4046,5170,15973,2550,17658,1320,30801
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 130,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,418,40,553,10,185
92,Minimum tax carryover,Report d'impôt minimum,2012, 600,1667,,,,,,,,,10,10,20,28,30,46,40,65,30,70,30,77,20,71,20,47,60,167,50,92,50,114,30,53,90,251,80,207,40,367
93,Basic federal tax ,Impôt fédéral de base,2012, 370890,1897330,250,55,410,154,7730,1599,21060,12084,33720,32968,37580,55916,38810,77346,37060,94256,33090,102777,26260,99153,20990,96191,17830,96646,28410,191236,21620,185243,13610,140707,8460,103258,16640,282853,5340,158987,2010,165902
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 13410,8234,,,,,,,200,21,470,58,650,112,790,105,920,146,1070,190,920,188,810,255,750,219,1300,497,1010,339,850,315,620,286,1570,1481,870,1898,570,2121
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 2370,368,,,,,,,,,60,5,90,10,120,13,150,18,190,23,190,25,160,21,140,19,270,38,190,27,140,23,110,22,270,50,160,41,100,31
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 1250,2128,,,,,30,5,70,33,90,62,110,81,100,100,100,112,100,142,70,103,80,109,50,100,100,206,90,152,50,121,30,84,80,203,40,175,40,341
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 1080,193,,,,,,,,,20,4,40,7,90,14,210,29,250,38,160,25,70,15,60,12,70,13,40,9,30,8,10,5,30,10,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 430,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,18,30,28,150,217,100,441,100,1657
99,Net federal tax,Impôt fédéral net,2012, 370010,1887803,240,56,400,155,7640,1596,20960,12030,33590,32841,37470,55710,38760,77117,37000,93950,33040,102385,26230,98814,20940,95792,17810,96299,28360,190487,21600,184721,13600,140236,8450,102861,16610,281121,5320,156890,2000,164743
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 23660,34269,470,68,2660,916,3210,2196,2780,2612,2280,2602,1940,2630,1720,2500,1470,2335,1390,2368,1140,2136,850,1960,560,1405,800,2223,570,1801,380,1222,240,764,640,2270,380,1505,180,756
