#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 600,6561,600,6532,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 370,1018,170,516,30,108,,,,,,,90,198,30,69,,,30,96
93,Basic federal tax ,Impôt fédéral de base,2012, 261110,1703051,185060,1398230,6010,25599,1230,40628,740,7670,4140,24453,3450,51757,39040,109395,17930,24104,3530,21214
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 6870,12178,3960,11448,80,3,160,111,,,,,560,264,1700,268,90,2,190,27
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 930,174,470,94,,,40,10,10,4,30,6,40,12,310,45,,,20,2
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 820,931,100,157,620,528,,,,,20,48,,,20,19,30,17,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 20,10,20,9,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 410,1587,240,484,,,,,,,,,160,1082,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 260770,1689783,184830,1386535,5960,25067,1220,40501,740,7664,4130,24349,3430,51330,39020,109064,17910,24087,3520,21185
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 17360,28906,2120,865,5530,10520,1100,3812,820,2362,5470,9869,260,330,450,254,1530,837,100,56
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 14160,28396,11310,20153,860,2356,90,430,20,97,100,293,560,2198,1020,2312,40,63,180,494
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 277690,1068418,187340,868485,6040,16642,1240,21174,760,4504,4470,14907,4040,28814,50180,82468,19860,18472,3760,12952
103,Total tax payable,Total à payer,2012, 285810,2815534,191290,2276038,6340,54586,1370,65921,880,14633,6200,49439,4140,82673,50510,194098,21200,43460,3890,34687
