#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 54070,539097,42620,366223,96690,905320,480,3243,180,1085,650,4329,4750,41077,2870,23582,7620,64659,4880,41813,4550,40529,9430,82342,4500,40518,4990,46668,9490,87185,4700,45657,4660,41860,9360,87518,5580,56641,4630,38384,10200,95025,6340,65940,5060,42132,11410,108072,6770,70757,5570,47188,12340,117944,6750,71764,5210,44689,11960,116453,6000,64963,3730,30781,9730,95745,2740,30604,1060,8438,3800,39042,480,5144,110,778,590,5922,100,975,20,109,120,1084
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 17430,214729,14470,128375,31900,343165,140,1928,120,2350,260,4279,370,5591,280,5304,650,10895,460,4198,390,3413,850,7611,620,6097,550,5454,1170,11551,890,12346,760,9478,1650,21824,1280,17245,1100,14113,2370,31358,1760,21410,1520,12917,3280,34327,2170,23848,1880,14882,4040,38730,2540,23677,2160,16798,4690,40475,2580,37453,2070,14334,4650,51787,2100,23609,1470,8159,3570,31769,1130,18173,870,9874,2010,28109,1400,19155,1310,11298,2710,30453
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 28870,41118,29650,35355,58530,76488,180,103,150,134,330,237,560,198,460,139,1030,338,890,542,770,277,1670,819,1090,455,1050,361,2140,817,1290,912,1330,959,2630,1871,1700,1456,1740,1108,3440,2564,2310,2483,2520,2052,4830,4535,3160,4014,3420,3185,6570,7199,3990,5833,4250,4695,8240,10534,4330,7061,4390,6087,8720,13156,3660,5407,3330,4532,6990,9939,2300,3757,2170,3240,4470,6997,3410,8898,4080,8584,7480,17482
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 140,818,60,60,190,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,-51,,,40,34,20,110,10,-12,40,97,,,,,,,,,,,,,,,10,-11,30,53
16,Net rental income,Revenus nets de location,2012, 7290,16655,5990,12567,13280,29224,,,,,,,,,,,,,440,501,350,503,790,1003,630,1039,580,1207,1200,2246,700,1537,630,1162,1330,2699,800,1271,650,1305,1450,2576,950,1488,820,1368,1780,2856,980,1787,830,1408,1810,3195,900,1882,780,1584,1670,3466,780,3085,570,1549,1360,4636,520,1647,400,1074,910,2721,250,1395,170,625,420,2020,250,905,170,716,420,1621
17,Taxable capital gains,Gains en capital imposables,2012, 7730,74358,6900,35851,14630,110209,50,43,,,90,647,150,88,,,210,226,230,501,140,881,370,1382,320,2686,230,616,550,3302,440,3660,320,1485,760,5146,580,3347,470,3055,1050,6402,710,7468,620,2708,1330,10177,940,7482,910,3696,1860,11179,1090,10778,1100,4434,2190,15212,1190,9874,1080,5865,2280,15739,970,7741,790,3065,1750,10806,500,11392,450,1895,950,13287,570,9299,680,7407,1250,16706
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 15010,81977,12920,67491,27930,149468,,,,,,,,,,,,,690,2048,410,674,1100,2723,1280,3967,870,1845,2150,5811,1900,5815,1470,3513,3360,9328,2210,7788,1760,5248,3980,13036,1900,9303,1500,6455,3400,15758,1410,8401,1350,8360,2760,16761,1540,12512,1790,14634,3340,27147,1740,16538,1860,14615,3600,31153,1220,10087,1030,7309,2250,17397,440,2646,370,1943,820,4589,440,2277,420,2618,850,4895
19,Other income,Autres revenus,2012, 23930,116388,20380,98755,44310,215157,1010,3045,1100,3412,2110,6457,2070,5599,1960,6349,4040,11961,1500,3308,950,2875,2450,6182,1290,4068,940,3339,2230,7407,1280,5315,1010,4507,2290,9822,1490,5337,1150,4551,2640,9887,1740,6821,1360,6214,3100,13036,1960,9354,1730,8223,3690,17576,3160,23200,3010,22869,6170,46069,4270,32947,3770,25652,8040,58599,2000,8976,1440,4312,3440,13288,980,2662,770,1985,1750,4647,1190,5757,1180,4468,2370,10225
20,Net business income,Revenus nets d'entreprise,2012, 7670,114615,6640,62098,14310,176716,40,195,40,183,80,378,170,1213,210,1689,380,2902,340,4857,490,4790,830,9647,510,7654,660,6353,1170,14007,680,8498,840,8319,1520,16817,880,15960,900,9750,1780,25710,980,17830,870,8396,1840,26226,980,15595,880,7947,1860,23542,1030,16418,740,6766,1770,23184,1010,14203,570,5669,1570,19873,610,8103,280,1639,890,9742,280,2397,120,563,410,2963,170,1691,50,35,220,1726
21,Net professional income,Revenus nets de profession libérale,2012, 1620,131777,1150,62462,2760,194239,,,,,,,,,20,312,,,40,1276,80,2845,120,4121,120,10332,140,9429,260,19761,150,12676,170,12261,320,24937,170,18146,180,10757,350,28903,180,14451,150,8838,340,23289,190,18006,130,6741,310,24747,210,19766,120,6964,330,26729,220,18399,90,3262,310,21662,170,9788,40,737,210,10524,100,5224,20,183,110,5406,60,3516,,,70,3647
22,Net commission income,Revenus nets de commissions,2012, 1040,35886,1040,15200,2080,51086,,,,,10,25,,,50,172,80,389,70,1258,140,1103,200,2360,80,2005,140,1455,220,3459,90,3520,130,1663,220,5183,100,3753,130,1218,230,4972,120,5592,120,2005,240,7597,110,4946,100,2302,210,7248,130,5992,100,1930,230,7922,140,4598,80,2443,230,7041,110,3045,40,748,150,3793,40,621,,,50,738,30,320,,,40,360
23,Net farming income,Revenus nets d'agriculture,2012, 280,679,80,-80,370,599,,,,,,,,,,,,,,,,,,,,,,,10,506,10,-45,,,20,-214,20,-154,,,20,-180,20,-78,10,7,30,-70,40,114,,,50,64,60,342,10,21,70,363,50,84,20,115,70,199,30,-29,10,11,40,-17,20,-9,,,20,-13,20,-65,,,20,-65
24,Net fishing income,Revenus nets de pêche,2012, 7310,143185,2410,27944,9730,171129,140,1441,20,202,170,1644,320,6815,60,651,380,7466,300,7151,110,1005,410,8156,410,10074,190,2258,600,12333,590,13105,210,2814,800,15919,820,19769,310,3728,1120,23497,1060,22995,380,4107,1440,27103,1130,20762,410,4681,1540,25443,1090,16840,400,4514,1490,21353,890,16814,260,3058,1150,19872,410,5695,60,860,470,6555,110,897,,,120,936,40,826,,,50,852
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 6960,71229,4570,39844,11530,111073,50,57,20,19,70,76,190,445,110,380,300,825,230,882,200,831,430,1713,280,1763,220,1466,500,3230,410,3360,290,2038,700,5398,550,5590,500,4186,1040,9776,810,9278,670,5713,1480,14992,1010,12752,710,7058,1720,19810,1100,14232,730,7690,1830,21921,1050,15063,600,6516,1650,21580,650,4809,260,1862,900,6671,330,1678,100,604,430,2282,300,1320,170,1480,470,2800
26,Social assistance payments,Prestations d'assistance sociale,2012, 11290,85449,13680,121407,24970,206866,260,912,310,1663,570,2575,930,4946,1470,12018,2400,16963,840,5676,1670,15590,2510,21266,910,6795,1530,14215,2440,21010,1000,7654,1480,13779,2480,21432,1150,9395,1450,13713,2600,23107,1410,11640,1550,14577,2960,26217,1510,12501,1500,13713,3010,26213,1570,13507,1440,12663,3010,26180,1430,11158,1070,8569,2500,19726,260,1148,180,849,440,1997,10,66,10,28,20,93,20,53,10,32,30,85
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 21560,85307,32230,153479,53790,238786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760,20623,6410,25391,7750,32785,14160,58176,5560,22142,6380,28163,11930,50305,9240,35712,14700,73968,23940,109679
28,Total income assessed,Revenu total établi,2012, 205690,10390357,215470,6631059,421230,17021867,8190,68962,7920,54915,16110,123877,14650,384310,14610,253326,29280,637652,14000,622350,14780,454101,28790,1076460,14120,805961,15150,534399,29280,1340380,15450,981477,16380,612560,31850,1594049,17720,1173369,18270,731249,35990,1904620,19710,1267370,20160,809929,39880,2077445,20550,1307457,20450,777771,41000,2085364,20410,1232118,20480,714616,40890,1946748,19420,1048980,19660,577634,39090,1626637,15830,676596,16150,405856,31980,1082452,10440,357686,10820,254839,21260,612600,15190,463721,20650,449862,35830,913583
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 37860,138486,45040,153422,82900,291909,140,72,70,36,210,108,1350,2007,1620,2427,2980,4434,2880,7307,4480,12147,7350,19453,3620,11799,5130,16468,8750,28267,4360,15975,5550,19467,9900,35442,5090,20038,6620,24983,11710,45021,5890,24395,7280,29054,13170,53449,6090,25762,6720,25608,12800,51370,4900,18628,4880,15997,9780,34626,2590,9009,2010,5689,4600,14698,770,2966,560,1259,1330,4225,140,428,100,251,240,679,50,98,40,37,90,135
30,RRSP deduction,Cotisations à un REER,2012, 39520,256472,27530,115501,67050,371974,60,85,,,90,102,1180,3181,670,1207,1850,4388,2930,12400,2290,5753,5220,18153,3950,20189,3070,9470,7030,29659,4570,26404,3380,11970,7950,38375,5270,33674,3740,14745,9010,48419,5510,36650,4150,18346,9660,54996,5650,40218,4080,20395,9730,60613,5350,43885,3510,19552,8860,63437,3430,26922,1880,10077,5300,36999,1400,11173,650,3675,2060,14848,190,1511,80,294,270,1805,20,181,,,30,181
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 16450,178247,3700,22940,20150,201187,,,,,,,,,,,,,,,,,,,,,,,,,10,101,,,20,109,80,670,20,55,100,724,190,1705,40,106,230,1811,390,3950,180,932,560,4882,1720,21627,820,5313,2540,26940,3730,45428,1110,7309,4840,52736,4350,46530,810,4768,5160,51298,2830,28392,430,2689,3260,31081,3130,29830,290,1752,3420,31582
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 59230,52388,52590,31083,111820,83471,1070,190,680,91,1740,282,3510,2059,2990,1063,6500,3122,4910,4107,5140,2883,10060,6991,5190,4920,5410,3307,10600,8227,5710,5499,5810,3723,11520,9223,6950,6927,6880,4673,13840,11600,7980,7825,7870,5344,15850,13169,8530,8240,7470,4809,16000,13048,7490,6842,6020,3377,13510,10219,5150,4373,3100,1421,8250,5794,1930,1215,900,320,2830,1536,490,147,190,60,680,208,310,42,130,10,440,52
33,Child care expenses,Frais de garde d'enfants,2012, 3560,16413,9390,38350,12940,54763,,,,,,,20,33,170,395,190,428,140,433,940,3033,1070,3466,540,2763,2250,9515,2790,12278,1030,5681,2990,14348,4020,20029,990,4490,2060,8195,3040,12685,580,2181,800,2383,1380,4564,200,628,160,399,360,1027,50,137,20,47,70,184,20,57,,,20,75,,,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 60,1004,20,446,80,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,476,,,20,491,,,,,10,186,,,,,10,231,,,,,10,217,,,,,10,139,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 1140,6883,900,3398,2040,10280,,,30,26,50,45,150,243,160,197,310,440,200,807,240,567,440,1374,200,1112,160,735,360,1846,170,1557,80,424,250,1981,110,986,60,465,170,1451,110,793,40,327,150,1120,80,605,60,356,140,962,60,528,50,220,100,748,40,169,20,72,60,241,10,38,,,10,43,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 760,10247,30,135,790,10382,,,,,,,,,,,,,,,,,,,10,71,,,10,71,40,413,,,50,429,100,855,,,100,855,120,1561,,,120,1620,130,1660,,,130,1660,140,2129,,,140,2184,100,1455,,,100,1457,60,839,,,60,840,40,735,,,40,735,40,528,,,40,530
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 9370,18204,6990,8981,16360,27197,,,,,10,15,,,,,60,25,100,52,90,37,190,89,220,298,160,109,380,407,380,625,250,329,630,954,610,1328,420,542,1020,1871,850,1961,610,972,1450,2933,1110,2999,860,1263,1970,4262,1340,2707,1060,1347,2410,4054,1590,2649,1110,1503,2710,4163,1290,2212,820,1088,2100,3300,780,872,530,612,1310,1485,1060,2481,1050,1160,2110,3641
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 10530,10036,6830,4417,17360,14453,110,33,40,7,150,40,410,290,230,100,640,390,530,442,490,294,1020,736,750,732,720,478,1470,1211,920,936,840,569,1760,1505,1250,1399,930,638,2190,2037,1480,1560,940,645,2410,2205,1510,1509,970,632,2480,2141,1560,1438,860,554,2420,1993,1450,1287,630,413,2070,1699,520,388,160,76,690,464,50,22,20,10,70,32,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
