#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
21,Net professional income,Revenus nets de profession libérale,2012, 11270,713875,11710,439492,22980,1153367,70,442,70,219,140,661,290,2405,380,3062,670,5466,800,22921,1080,24483,1880,47404,1120,57472,1480,63668,2610,121140,1110,77960,1470,62343,2580,140304,1160,90089,1490,71180,2650,161268,1140,90778,1360,61330,2500,152108,1190,99291,1390,58879,2580,158170,1340,114142,1360,54039,2700,168181,1280,86480,870,26210,2150,112690,900,42880,460,9266,1360,52146,490,18710,180,3122,670,21832,390,10307,100,1691,500,11998
22,Net commission income,Revenus nets de commissions,2012, 10990,248567,13860,142460,24850,391026,180,718,180,518,350,1235,830,5515,1000,3725,1830,9240,1040,15492,1710,8924,2750,24416,1090,19844,2090,14343,3180,34187,1060,24598,1810,16197,2870,40795,1120,29106,1630,18963,2750,48069,1100,32264,1370,18187,2470,50451,1100,37379,1390,22064,2500,59443,1070,33375,1100,18431,2170,51807,1010,27411,800,13662,1810,41073,750,15487,470,5578,1220,21065,370,4258,180,1261,550,5519,260,3119,140,609,400,3728
23,Net farming income,Revenus nets d'agriculture,2012, 56400,433032,30650,205552,87050,638682,640,6584,520,7460,1160,14073,1610,17414,1130,14875,2750,32317,2160,20712,1310,11164,3470,31889,2600,20818,1520,9916,4120,30734,3150,18773,1780,7298,4930,26091,3650,22000,2070,9275,5720,31275,5200,45099,2890,12241,8090,57341,6840,43274,3620,18616,10460,61899,7250,61246,3790,23668,11040,84915,6320,51175,3340,20183,9660,71359,5470,28518,2830,18996,8300,47514,4340,37052,2200,16477,6550,53531,7170,60366,3650,35383,10820,95746
24,Net fishing income,Revenus nets de pêche,2012, 180,1183,50,234,230,1418,,,,,,,10,205,,,20,271,20,222,,,20,241,20,282,,,20,340,10,97,,,10,98,10,45,,,20,62,30,124,,,30,150,30,-23,,,30,-14,,,,,20,143,20,9,,,20,22,10,42,,,20,33,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 24420,191946,14230,91453,38650,283399,460,569,230,328,690,897,1520,3791,860,1377,2380,5168,1880,8593,1040,2733,2920,11326,1990,10521,1040,3735,3030,14256,1920,11942,1110,6163,3020,18105,2110,15262,1340,6764,3450,22027,2510,21096,1660,9532,4170,30628,3110,28478,1950,12521,5060,40999,2900,30230,1780,12399,4670,42629,2250,26328,1160,10695,3410,37023,1500,14552,670,7137,2170,21689,900,7901,490,5208,1390,13110,1380,12682,900,12861,2290,25543
26,Social assistance payments,Prestations d'assistance sociale,2012, 98020,586595,132430,720540,230460,1307177,910,9165,1160,9127,2070,18293,4150,42952,5890,49772,10040,92723,4420,45069,6280,56992,10700,102061,4280,44081,5950,60269,10230,104349,4040,41530,5120,54756,9170,96286,4370,46563,4920,54197,9280,100760,5130,57232,5230,60739,10370,117974,5470,62106,5550,67005,11020,129111,4880,57608,5080,62201,9960,119817,4000,46062,4670,51950,8670,98012,11640,33547,14140,34932,25770,68479,13140,29058,15750,32394,28890,61465,31580,71625,52700,126206,84290,197848
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 48820,222516,84410,439236,133240,661798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,3110,4600,26320,5150,29430,11260,52278,15350,75293,26610,127575,11560,54293,15850,81050,27410,135348,25440,112816,48590,256555,74040,369408
28,Total income assessed,Revenu total établi,2012, 1430520,108704141,1432190,59389582,2863500,168099753,67380,880003,63460,591308,130880,1471392,129810,4596565,126420,2770956,256360,7367753,150100,8743884,146350,5161191,296590,13905516,145790,10541087,144250,5689442,290190,16231271,133270,11306170,129210,5705764,262620,17012674,128330,12082731,123960,6203277,252360,18286553,128410,12799085,125350,6687806,253790,19487095,134510,14262592,131740,7295033,266270,21557778,120190,12909635,115430,6219591,235630,19129707,91630,8381403,90310,4247519,181960,12629057,69260,5157541,70890,2912455,140170,8070305,48060,2786083,51450,1921861,99520,4708121,83780,4257363,113370,3983378,197160,8242533
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 202440,1066581,235760,1146158,438200,2212739,610,441,230,181,840,623,8760,18436,8260,19409,17020,37845,21470,74815,26210,99179,47680,173994,24940,112497,28890,127688,53830,240185,25160,134719,27640,136320,52800,271039,25840,149178,28880,151007,54720,300184,27110,164094,32270,172752,59370,336846,28980,178049,35750,192688,64720,370737,23540,145096,28730,156884,52270,301980,11710,68301,14430,73047,26140,141348,3600,18917,3920,15647,7520,34564,520,1738,450,1128,970,2866,210,301,120,227,330,528
30,RRSP deduction,Cotisations à un REER,2012, 429410,3248356,349850,1752853,779260,5001210,1770,2669,780,823,2550,3492,19110,61146,13680,29012,32780,90159,43370,204733,36780,116440,80140,321173,50550,291620,41690,155200,92230,446820,50860,345546,39190,174946,90050,520491,51530,401786,40730,212370,92250,614156,53040,447678,45490,257532,98520,705211,57400,521078,50480,308657,107890,829735,50880,491839,43470,271832,94350,763671,32250,307942,25270,153938,57520,461880,15100,143094,10500,62814,25600,205908,3060,26118,1690,8959,4750,35077,490,3108,130,330,620,3438
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 68470,789796,16210,96065,84680,885870,,,,,,,,,,,,,,,,,,,,,20,75,50,171,50,202,40,116,90,318,290,2153,60,188,360,2341,780,6819,110,326,890,7146,1340,13605,220,944,1560,14549,5740,73385,2020,11098,7760,84483,10980,139734,3890,22465,14870,162199,15950,187431,4380,26740,20330,214180,14170,156782,2880,19282,17050,176064,19150,209562,2560,14812,21710,224374
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 262780,218754,278950,186627,541730,405382,6550,1739,5250,1049,11800,2788,21170,11011,22200,8846,43370,19857,30190,24206,34290,22975,64480,47181,30570,27367,33720,23185,64290,50552,28870,26701,31230,21595,60110,48296,27880,25971,31330,22599,59210,48569,28510,26867,32610,24221,61120,51088,30960,29967,34040,25358,65000,55326,27200,24955,28640,21497,55830,46452,16840,13532,16660,11238,33500,24770,8200,4765,6560,3312,14760,8077,3310,1180,1630,597,4950,1777,2520,494,800,155,3310,648
33,Child care expenses,Frais de garde d'enfants,2012, 25550,118494,91600,361440,117150,479944,,,110,196,120,202,170,502,2780,7511,2950,8013,1170,4419,11810,41040,12980,45462,4200,20343,24440,104846,28650,125193,6970,37572,25550,117774,32520,155346,6680,32621,17120,65190,23800,97813,3920,15313,7380,19696,11300,35009,1720,5655,2020,4281,3740,9936,560,1677,300,734,860,2411,120,325,60,150,190,476,30,61,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 1230,38973,650,12059,1880,51032,,,,,,,,,,,,,40,426,10,97,50,523,110,1357,40,574,150,1931,110,3245,70,935,180,4179,150,3653,70,981,220,4635,170,4302,100,2104,270,6407,170,4880,110,1986,280,6866,170,9624,90,997,260,10622,130,4004,80,2338,210,6342,90,2963,50,1148,140,4112,50,2409,30,312,70,2721,,,,,50,2615
35,Moving expenses,Frais de déménagement,2012, 16640,73008,10130,31228,26770,104237,450,450,380,291,830,741,2770,3839,2290,2773,5060,6612,3490,8565,2430,4586,5930,13150,2770,11637,1440,5184,4210,16822,2040,12531,890,4036,2930,16567,1630,10506,730,3701,2350,14207,1170,8624,620,3129,1790,11753,1010,7259,620,3388,1620,10647,780,5776,480,2779,1260,8555,370,2741,200,1146,570,3887,130,930,40,167,170,1098,30,109,,,50,148,10,43,,,20,50
