#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 5200,8226,2940,2965,,,70,96,,,360,450,460,2796,1160,1592,110,71,100,236
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 50,-9,30,-22,,,,,,,,,10,-13,,,,,,
16,Net rental income,Revenus nets de location,2012, 1860,7631,1170,2269,,,20,56,,,170,684,350,4232,130,395,10,29,20,-35
17,Taxable capital gains,Gains en capital imposables,2012, 1570,11452,810,2028,,,20,79,,,110,592,250,8179,320,450,20,16,30,98
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 2280,13650,1560,6128,,,10,53,,,130,703,70,446,280,1886,80,143,150,4286
19,Other income,Autres revenus,2012, 3940,34869,2250,8703,,,30,249,,,200,809,250,968,750,1942,190,427,270,21739
20,Net business income,Revenus nets d'entreprise,2012, 3220,46975,1180,2170,,,10,-22,,,1570,44079,130,518,220,364,60,45,40,-265
21,Net professional income,Revenus nets de profession libérale,2012, 380,11590,150,495,,,170,10813,,,10,44,10,60,30,150,,,,
22,Net commission income,Revenus nets de commissions,2012, 100,1287,60,32,,,,,30,1234,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 170,-1171,80,-600,20,63,,,,,20,-47,20,-413,20,-134,,,,
24,Net fishing income,Revenus nets de pêche,2012, ,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 670,5952,460,2060,,,,,,,20,188,,,50,310,130,3242,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 2270,17296,660,2697,,,,,,,20,65,,,270,411,1290,14041,20,62
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 1000,4630,30,89,,,,,,,30,114,10,25,730,2782,190,1561,20,40
28,Total income assessed,Revenu total établi,2012, 26870,1392310,18810,1073064,20,600,180,12812,30,1510,1590,64196,810,68489,2960,99884,2090,38338,380,33416
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 6790,28752,6280,27565,,,,,,,90,254,60,219,230,510,40,27,70,166
30,RRSP deduction,Cotisations à un REER,2012, 6940,42010,5930,34139,,,80,941,,,410,3421,180,1648,180,541,,,70,1175
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 700,6806,190,1872,,,,,,,40,410,40,250,400,3943,,,30,240
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 7410,5457,6830,5282,,,20,9,,,140,58,80,45,160,26,100,13,80,21
33,Child care expenses,Frais de garde d'enfants,2012, 1250,4539,1040,3978,,,20,35,,,90,246,30,148,,,70,114,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, ,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 490,1595,440,1387,,,,,,,30,132,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 50,525,30,401,,,,,,,,,,,,,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 3770,2914,2540,1322,,,20,44,,,130,179,280,961,650,317,80,9,70,80
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1920,1787,390,76,10,5,160,234,20,26,1190,1387,50,28,60,21,30,5,20,5
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 90,886,30,608,,,,,,,20,74,10,141,20,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 590,2720,530,2496,,,,,,,,,20,81,10,31,10,26,,
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 30,456,30,456,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 740,3530,460,455,,,,,,,30,7,60,33,80,336,90,68,10,2627
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 15820,102105,12090,80078,20,30,160,1401,20,100,1330,6291,480,3609,1180,5755,350,360,180,4483
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 640,1425,440,847,,,,,,,20,62,60,269,90,177,,,20,48
46,Net income after adjustments,Revenu net après rajustements,2012, 26770,1290297,18800,992142,20,594,170,11463,30,1410,1520,59118,800,64636,2960,93955,2090,38042,380,28937
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 20,122,20,111,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 3470,27908,1130,4878,,,,,,,60,367,20,91,780,3503,1430,18844,40,163
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 30,282,10,113,,,,,,,10,167,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 360,568,150,153,,,,,,,20,15,60,279,90,83,,,10,26
52,Capital gains deduction,Déduction pour gains en capital,2012, 30,1893,10,80,,,,,,,,,10,1756,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 18100,91353,13940,73536,10,49,130,527,20,72,980,4195,520,2270,1720,7588,610,2248,190,870
54,Additional deductions,Déductions supplémentaires,2012, 130,361,20,142,,,,,,,,,10,28,90,178,,,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, ,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 20160,122547,14330,79018,20,97,130,570,20,88,1010,4781,540,4424,2220,11361,1690,21101,210,1108
57,Taxable income assessed,Revenu imposable établi,2012, 26320,1168046,18800,913153,20,498,170,10893,30,1322,1520,54347,800,60212,2950,82597,1640,17194,370,27828
58,Basic personal amount,Montant personnel de base,2012, 26910,290276,18810,202744,20,260,180,1894,30,314,1600,17290,810,8775,2960,31964,2090,22625,410,4409
59,Age amount,Montant en raison de l'âge,2012, 3180,18146,400,1569,,,20,76,,,150,822,120,563,2220,13376,220,1456,50,230
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 1280,9412,950,7062,,,20,118,,,100,691,30,199,70,372,90,801,20,129
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 1290,13246,950,9594,,,,,,,50,557,10,142,10,130,250,2671,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 3940,14382,3110,11227,,,30,89,,,230,880,80,321,30,81,430,1651,30,118
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 10,64,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 19190,31191,17420,30040,,,40,21,,,440,364,290,348,250,119,600,174,140,116
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1920,1787,390,76,10,5,160,234,20,26,1190,1387,50,28,60,21,30,5,20,5
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 19320,11673,17500,11212,,,30,8,,,360,131,210,88,360,77,690,103,150,50
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 130,396,110,324,,,,,,,,,,,10,30,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 21510,23202,18540,20244,,,50,53,,,510,518,400,421,770,730,1020,1015,200,205
72,Public transit amount,Montant pour le transport en commun,2012, 580,169,490,145,,,,,,,,,10,2,20,5,30,12,10,3
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 1640,839,1440,733,,,10,8,,,100,51,50,27,,,30,12,20,6
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 640,322,560,279,,,10,5,,,40,21,10,10,,,10,4,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 290,1330,270,1237,,,,,,,10,43,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 3240,6196,750,1413,,,10,24,,,130,228,150,281,2060,4008,40,55,90,167
77,Caregiver amount,Montant pour aidants naturels,2012, 70,330,50,244,,,,,,,,,,,,,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 390,2959,130,981,,,,,,,,,10,75,180,1314,60,438,,
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 160,1609,130,1342,,,,,,,,,,,,,10,113,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 720,397,660,369,,,,,,,20,10,,,,,20,9,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 2170,11524,1950,10297,,,20,257,,,40,206,50,380,,,50,184,40,163
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 370,1822,300,1464,,,,,,,30,136,20,92,10,59,,,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 680,3193,330,1382,,,,,,,50,232,20,81,220,1152,50,242,10,66
84,Medical expenses,Montant admissible des frais médicaux,2012, 1700,3823,1010,2163,,,40,107,,,200,378,90,332,270,650,60,76,30,106
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 26910,67244,18810,47429,20,57,180,460,30,65,1600,3614,810,1831,2960,8134,2090,4753,410,902
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 5130,6490,3760,4093,,,70,194,,,300,468,200,505,670,1091,40,18,80,98
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 5110,1770,3750,1107,,,70,55,,,300,129,200,142,660,300,40,4,80,27
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 26910,69015,18810,48536,20,58,180,515,30,70,1600,3742,810,1973,2960,8434,2090,4757,410,929
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 3640,6771,2130,1526,,,40,56,,,210,167,520,4610,630,342,30,11,60,53
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 40,212,20,158,,,,,,,,,20,34,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 19450,140324,15490,113996,,,130,1672,,,1050,6105,530,6400,1550,5630,460,615,220,5660
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 780,433,460,257,,,20,36,,,50,63,100,44,140,24,,,10,8
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 410,75,220,38,,,10,3,,,30,6,40,8,100,18,,,,
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 30,149,10,119,,,,,,,10,28,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 20,65,,,,,,,,,,,20,54,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 19420,139672,15470,113584,,,130,1633,,,1050,6009,520,6347,1540,5590,460,614,220,5650
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1920,3575,390,152,10,10,160,468,20,53,1190,2774,50,57,60,42,30,9,20,10
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 640,1425,440,847,,,,,,,20,62,60,269,90,177,,,20,48
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 19400,63394,15500,51675,,,130,747,,,1050,2745,500,2787,1530,2471,460,277,220,2583
103,Total tax payable,Total à payer,2012, 19970,214345,15570,171989,20,102,160,2868,30,320,1360,11744,580,9459,1570,8423,470,1054,220,8387
