#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 126500,182771,511480,769113,638940,953535,160,194,3560,3795,3720,3990,1790,2352,33010,46180,34890,48660,9230,12663,90160,139047,99660,152156,26830,40084,153080,245417,180180,285994,39450,60710,142300,218362,181970,279448,30450,42695,70810,94322,101340,137143,12770,16663,15370,17960,28170,34684,4100,5260,2090,2638,6190,7910,1140,1410,610,773,1750,2188,380,492,290,371,680,862,130,163,140,171,270,334,30,41,50,60,80,102,20,46,20,18,50,64
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 346510,2098975,434570,2991536,781080,5090511,1870,6279,970,3478,2840,9757,32620,162547,21640,115798,54260,278344,46810,270646,65530,487306,112350,757951,42440,263645,88960,806650,131400,1070296,37290,233257,66130,559202,103410,792459,35880,230275,44830,285753,80710,516028,38590,243730,42210,219699,80800,463429,39000,243398,41870,209960,80870,453358,33120,207431,33300,165511,66420,372943,24100,150362,20550,98842,44650,249204,10710,67001,6810,32318,17520,99320,3000,16103,1370,5741,4370,21844,1080,4302,400,1276,1480,5577
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 798120,12959246,847220,8731008,1645640,21694776,8930,119659,8360,117543,17300,237269,20980,286620,18790,274133,39790,560855,30310,222357,26650,180103,56980,402853,36650,342517,32860,260382,69530,603429,45190,615371,40170,430430,85400,1046698,56700,981931,53890,630344,110620,1612664,71640,1352817,72550,790855,144230,2143876,86880,1666246,89920,951311,176830,2618162,90280,1661509,96070,1006640,186370,2668334,88870,1545673,94580,1010309,183470,2556211,81690,1330958,87110,837724,168820,2168961,61480,962951,67000,572350,128480,1535390,118510,1870636,159280,1668883,277820,3540073
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1204050,3010168,1444050,3244498,2650160,6260529,16610,10932,15930,11928,32600,22904,35800,20455,35920,18914,72130,39632,50170,32153,53580,28527,103970,60846,56980,41338,63570,38417,120700,79877,63750,63488,71130,56398,135060,120027,76520,115428,87050,98523,163740,214493,96290,188141,111320,171695,207810,360236,116410,289656,135300,257685,251850,547879,124730,352175,146440,319756,271310,672330,128150,383058,149340,370419,277590,754022,121950,399036,139290,370150,261300,769696,96720,294528,114130,314594,210920,609638,219990,819780,321060,1187492,541180,2008949
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 22940,75154,12550,17048,35500,92196,,,,,40,324,50,214,,,100,315,120,-146,70,117,190,-29,,,170,320,500,5341,740,164,380,1094,1120,1258,1510,6237,750,2322,2260,8560,2320,7170,1170,3108,3490,10278,3090,-6405,1560,3669,4650,-2739,3350,7403,1790,1655,5140,9058,3200,9336,1690,347,4890,9683,3020,20418,1530,669,4550,21085,2070,16188,1140,636,3220,16823,3120,9532,2240,2706,5360,12239
16,Net rental income,Revenus nets de location,2012, 278050,852750,256730,702731,535130,1556958,210,961,180,620,400,1612,3440,5913,2310,4955,5810,11186,11760,9985,9090,11159,20880,21266,19050,16776,17590,19630,36670,36473,23990,22145,22870,30573,46900,52876,29480,39880,28180,42822,57690,83151,35500,53688,34200,58474,69740,112222,38340,77183,36050,69125,74420,146266,33770,98038,32290,86287,66100,184386,28460,117917,26200,92394,54680,210442,21470,125767,18600,90790,40080,216602,14080,94119,12070,64173,26160,158354,18490,190378,17100,131731,35600,322123
17,Taxable capital gains,Gains en capital imposables,2012, 388050,3486149,442240,2426791,830550,5919822,4100,32651,3800,25993,7910,59154,8240,22599,6850,18956,15110,41578,12880,42318,10580,27858,23470,70337,16030,70649,14000,41377,30050,112473,19870,146416,17660,59532,37550,206250,25360,175892,24210,105534,49600,282666,32560,287026,34110,161830,66690,449154,39790,404481,43730,225148,83560,630491,42940,428208,49260,243401,92230,672926,44050,396485,51480,255746,95550,652997,42090,411084,49080,237578,91190,649067,32680,252213,39010,182477,71710,435067,67460,816127,98470,841361,165940,1657661
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 474600,2926499,472160,2586664,946810,5513569,240,1018,150,1082,390,2100,4360,8132,2820,4099,7180,12239,17550,42143,14500,27253,32070,69470,37870,93623,35870,72189,73740,165820,56400,159508,54420,129371,110830,288938,67110,239958,62410,197444,129530,437456,62810,313801,58000,262852,120810,576711,54300,379101,52640,327074,106940,706239,46940,434633,50730,411670,97670,846309,45020,479999,49990,463945,95010,943949,40780,460907,40780,387162,81560,848093,17020,159738,16020,121950,33040,281702,24210,153937,33840,180574,58050,334542
19,Other income,Autres revenus,2012, 754390,4591376,772020,3513184,1526910,8106890,34510,133972,39110,145457,73650,279563,59580,174441,57840,174973,117480,349671,37130,103213,29950,88715,67130,192137,35200,138232,29620,109886,64880,248313,36770,177985,32590,147091,69410,325222,44080,269353,40260,196496,84380,466190,55100,408284,52110,285024,107250,693530,67140,605250,64300,361340,131470,966766,79240,705259,78280,482163,157540,1187499,88320,750155,90980,517692,179330,1267970,67450,376814,69450,204757,136910,581622,50050,221915,53260,148194,103320,370157,99840,526501,134280,651397,234160,1178248
20,Net business income,Revenus nets d'entreprise,2012, 477180,6810745,367980,3629011,846680,10466867,7930,46609,6460,34221,14400,81062,22710,174272,17570,108033,40430,284758,35560,397856,28230,227969,64050,630125,41930,579478,33870,305447,76070,890808,46070,673886,38940,394195,85210,1071945,54150,850447,43940,481494,98260,1335012,61810,1032841,48440,551371,110400,1587334,61170,1038413,47330,546833,108620,1586916,52640,852891,40800,452947,93520,1307395,41750,618601,30760,303200,72550,922250,27780,312827,18280,138865,46080,451908,13600,124455,7920,52463,21550,177082,10090,108170,5440,31975,15540,140273
21,Net professional income,Revenus nets de profession libérale,2012, 76270,6126446,61660,2548889,137950,8675685,430,2200,370,2071,800,4271,1750,11496,1780,12242,3530,23751,3680,57676,4780,84978,8470,142680,5300,189743,6360,217165,11660,406945,6450,417808,7150,312412,13600,730246,7640,701905,7890,416613,15530,1118539,8320,872910,8060,429304,16370,1302214,8900,964103,7860,411490,16770,1375748,9300,1078172,6960,334890,16250,1413062,9330,863209,5200,195803,14530,1059023,7370,571177,3160,92817,10540,664059,4060,247938,1260,26574,5320,274512,3750,148107,850,12530,4600,160637
22,Net commission income,Revenus nets de commissions,2012, 54520,1263788,46330,716347,100880,1980289,520,2080,500,1724,1020,3804,2490,15981,2290,10568,4790,26563,3870,51039,3920,30330,7780,81382,4560,83641,4660,46338,9220,130003,5110,114516,5150,59072,10270,173592,6070,157744,5920,87571,11990,245369,6750,191056,6190,113959,12940,305016,6710,201253,5780,122935,12490,324203,6060,186137,4630,105343,10690,291479,5410,140826,3510,77484,8920,218322,3760,80161,2240,43041,6000,123203,1890,25774,950,13885,2840,39676,1330,13580,600,4096,1930,17676
23,Net farming income,Revenus nets d'agriculture,2012, 55580,278947,27140,105893,85370,425927,520,3697,260,1550,790,5393,1230,10650,440,-2633,1950,10933,1710,12107,660,1954,2770,18723,2130,11591,1000,3015,3550,21302,2590,14914,1270,5262,4200,26266,3420,20121,1950,9061,5690,35270,5160,33360,3030,15848,8480,54457,7110,55049,3950,21443,11280,81062,7450,55382,3730,12006,11340,69934,6560,29376,3010,10128,9650,40627,6050,9542,2710,9961,8810,20059,4700,5733,1920,6078,6660,12180,6950,17424,3220,12220,10190,29722
24,Net fishing income,Revenus nets de pêche,2012, 200,1179,70,248,270,1427,,,,,,,,,,,,,,,,,,,10,60,,,10,65,20,67,,,20,80,20,118,,,20,118,30,439,,,40,560,20,268,,,30,325,30,140,10,32,40,171,20,34,10,11,30,45,20,25,,,30,10,10,14,,,20,-1,20,-81,10,29,30,-52
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 141000,1402997,77460,668200,218470,2071235,670,646,400,326,1060,972,3050,5994,1600,2524,4660,8520,3710,15568,2180,5057,5890,20625,4340,29033,2530,11995,6860,41029,5370,49582,3340,19934,8720,69520,7490,84228,4630,36164,12110,120392,12550,151400,7580,64362,20130,215780,17300,210063,10220,90700,27520,300769,18260,223969,10480,101342,28740,325311,18230,246035,10320,119313,28560,365348,13660,138249,6950,68124,20610,206373,11770,81013,5650,43512,17420,124525,24610,167216,11580,104848,36200,272071
26,Social assistance payments,Prestations d'assistance sociale,2012, 291990,2250226,350980,2639734,643220,4892537,6630,37229,8520,47291,15160,84544,29110,192837,34170,245205,63300,438168,29230,209338,35210,282690,64450,492159,25180,197556,31300,273458,56500,471176,23530,201607,28820,273854,52360,475602,26010,233727,29620,291252,55640,525125,31130,290593,32080,323332,63220,613982,32400,311310,31540,319504,63950,630954,27300,268334,27160,268657,54470,537088,20480,201383,20570,190017,41060,391504,12950,48457,15830,45598,28820,94431,9250,24291,14750,25665,24040,50288,18780,33563,41420,53211,60260,87516
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 220240,1090578,389030,2193091,609290,3283807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,20,53,3000,17289,24330,142503,27330,159793,61610,297437,78660,410439,140270,707875,54290,269838,74670,424745,128960,694586,101330,505912,211350,1215323,312690,1721370
28,Total income assessed,Revenu total établi,2012, 4786250,259825398,5194570,189391789,9991180,449333853,202040,1585342,203300,1414419,406500,3001311,404640,7564451,403280,6097631,810460,13670894,391760,14234749,411540,11744115,804850,25992518,375070,18804272,414430,14593226,790810,33415119,380420,23402218,419630,16827688,801040,40244435,417080,28631865,447120,19597268,864900,48243545,465600,33091527,486130,22460743,952270,55564372,475500,34735811,490080,22882283,965990,57627971,416250,29415728,434660,19530131,851210,48953231,356360,22589183,379470,15358810,736070,37953581,299600,16962293,320840,11861792,620610,28827438,216970,10747608,241410,8364188,458550,19114498,384970,18060353,542690,18659494,927920,36724939
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 693940,3307536,895560,3740950,1589510,7048528,920,660,410,157,1330,817,16940,29060,17400,29209,34340,58274,52270,163200,73410,221148,125690,384349,73530,303104,101130,380405,174660,683511,85650,411157,112070,497380,197730,908539,95530,491943,120370,555071,215900,1047019,107690,576402,138410,637891,246100,1214306,111550,601858,141270,645255,252820,1247113,84800,434702,111110,484905,195910,919624,46070,217628,59460,228394,105530,446022,15710,68789,17660,55216,33370,124006,2330,7713,2210,5107,4530,12820,960,1319,650,811,1610,2130
30,RRSP deduction,Cotisations à un REER,2012, 1200430,7903201,1093290,5119091,2293870,13023503,1740,2561,960,1192,2700,3753,30430,77946,23850,48139,54290,126151,86220,337275,85790,253746,172030,591150,116730,555442,114400,385169,231140,940674,137180,788451,124210,491740,261410,1280343,155980,1016188,139050,648438,295050,1664821,173810,1209786,159430,812309,333260,2022179,180270,1336488,168930,902771,349210,2239516,150260,1189598,141970,802863,292240,1992650,103770,843139,89640,507271,193410,1350454,51140,444330,38310,232543,89450,676901,10920,89278,6250,32009,17160,121290,2000,12719,520,901,2510,13621
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 379750,4356398,91100,649792,470860,5006297,,,,,,,,,,,10,13,,,,,20,56,50,171,30,74,80,245,100,495,70,225,170,719,550,4231,170,673,720,4904,1640,15757,420,2013,2060,17770,5810,67736,1390,8220,7200,75960,25800,336199,9820,76405,35620,412605,54780,745323,21330,174487,76110,919833,85610,994877,24030,170789,109640,1165694,79270,893069,16870,118930,96150,1012021,126130,1298493,16960,97955,143090,1396478
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 935700,758338,1011730,650693,1947490,1409077,20940,4249,18810,3239,39750,7487,64230,26803,65440,18801,129670,45605,83110,62117,101480,55961,184590,118079,87530,78685,108420,70537,195970,149234,91340,86949,112330,80750,203680,167712,100780,97646,118860,88292,219640,185949,117290,114693,132700,99187,249990,213885,125350,119621,132580,98627,257930,218249,102270,91427,109450,77619,211720,169047,68020,50539,69010,41752,137030,92291,36700,17809,27840,12815,64540,30624,17670,4724,8010,2330,25680,7054,20490,3078,6810,783,27300,3861
33,Child care expenses,Frais de garde d'enfants,2012, 121090,598455,307480,1373167,428600,1971718,,,90,107,90,113,400,929,3650,7830,4060,8761,3600,12657,23960,77439,27560,90108,15900,81044,67030,317706,82930,398766,31560,185442,89440,482153,121020,667618,33520,177364,72360,326892,105890,504277,22030,92826,37250,123773,59290,216616,10100,35819,11440,31111,21540,66934,2890,9243,1860,5024,4760,14267,840,2488,310,913,1150,3401,180,511,70,180,250,691,30,83,,,40,99,,,,,20,66
