#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 10,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 19190,31191,140,27,670,115,860,302,1010,535,1050,760,1150,1019,1070,1199,1150,1565,1060,1711,1020,1896,960,1960,1000,2136,1930,4250,1620,3614,1360,3036,1010,2268,1620,3638,440,972,90,186
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1920,1787,20,1,130,22,140,42,180,79,160,92,130,83,150,107,140,123,130,130,120,119,100,113,80,104,110,158,60,102,70,127,40,80,100,189,40,86,10,30
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 19320,11673,400,34,840,104,960,180,1030,262,1060,342,1150,447,1060,499,1150,641,1060,688,1010,734,940,710,980,772,1900,1527,1580,1287,1320,1082,980,801,1510,1235,370,294,40,33
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 130,396,,,,,,,,,,,,,,,,,,,,,,,,,20,45,10,36,10,39,10,42,20,69,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 21510,23202,730,708,970,1031,1100,1156,1200,1264,1220,1308,1240,1349,1160,1252,1240,1340,1140,1230,1080,1176,1020,1108,1050,1144,2030,2213,1680,1827,1400,1532,1040,1133,1670,1824,460,499,100,110
72,Public transit amount,Montant pour le transport en commun,2012, 580,169,20,3,40,12,60,12,70,20,60,15,40,17,50,16,30,10,30,13,30,7,20,4,,,40,10,20,6,20,7,30,8,30,7,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 1640,839,10,6,10,4,10,4,20,13,30,11,40,18,40,15,40,21,50,18,60,28,80,40,90,40,200,98,170,88,180,95,170,93,300,170,100,59,20,17
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 640,322,,,,,,,10,6,,,10,7,10,6,10,5,20,8,20,9,40,17,40,15,80,33,80,39,60,29,70,38,130,69,40,24,10,9
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 290,1330,,,,,,,,,,,10,53,,,20,88,10,58,20,103,20,93,20,107,50,223,30,138,20,101,30,135,20,113,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 3240,6196,20,27,30,49,110,174,200,344,300,574,250,481,230,437,270,516,190,369,200,388,170,338,160,315,280,551,210,401,160,312,110,222,240,461,100,194,20,44
77,Caregiver amount,Montant pour aidants naturels,2012, 70,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,47,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 390,2959,10,93,30,189,50,361,40,317,20,181,30,219,30,234,30,226,20,166,30,219,20,128,10,91,30,189,10,106,10,83,,,10,98,,,,
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 160,1609,,,,,,,,,,,,,,,,,,,,,10,92,10,119,10,136,20,232,10,125,10,114,30,314,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 720,397,,,,,,,20,10,30,11,30,14,50,26,60,28,60,24,50,26,50,35,50,23,100,65,80,45,60,44,40,21,40,21,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 2170,11524,,,,,,,270,821,250,1349,200,1297,180,1104,160,999,150,1001,130,951,100,553,80,503,170,1022,110,562,90,452,60,192,80,451,20,145,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 370,1822,,,,,,,,,,,,,,,,,,,,,10,61,10,38,30,134,30,142,40,189,40,188,130,601,40,247,10,74
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 680,3193,50,270,30,121,50,241,90,456,60,331,50,228,40,223,50,223,20,98,,,20,97,20,101,50,240,30,106,30,133,20,96,30,119,20,55,,
84,Medical expenses,Montant admissible des frais médicaux,2012, 1700,3823,40,30,40,47,60,58,100,188,130,206,130,209,130,213,140,333,130,252,100,247,90,197,90,210,160,363,90,259,70,193,60,247,110,324,20,65,20,185
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 26910,67244,1570,2890,1330,2587,1690,3560,2100,5025,1790,4497,1560,3953,1420,3738,1490,3874,1320,3440,1250,3328,1150,3055,1170,3095,2230,5904,1800,4762,1500,3954,1100,2943,1800,4903,510,1381,130,353
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 5130,6490,,,,,30,19,70,37,130,102,160,118,200,192,260,249,270,275,250,243,270,269,270,231,620,693,540,701,530,717,420,543,780,1315,270,465,70,315
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 5110,1770,,,,,30,5,70,9,130,27,160,31,200,52,260,67,270,74,240,66,270,72,260,61,620,187,540,192,530,196,420,148,780,364,270,128,70,90
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 26910,69015,1570,2891,1330,2587,1690,3565,2100,5034,1790,4524,1560,3984,1420,3790,1490,3941,1320,3514,1250,3394,1150,3127,1170,3156,2230,6092,1800,4954,1500,4151,1100,3091,1800,5267,510,1510,130,443
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 3640,6771,,,,,20,1,50,9,100,21,110,42,160,71,160,74,170,96,180,104,190,161,190,166,430,404,340,335,310,383,290,411,580,1262,260,1156,100,2075
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 40,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 19450,140324,,,,,230,51,690,344,990,849,1190,1549,1200,2080,1370,3180,1250,3619,1200,4210,1120,4649,1160,5736,2200,13572,1790,14141,1490,14280,1100,12459,1790,28404,510,14858,130,16338
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 780,433,,,,,,,,,20,1,20,1,,,30,2,30,3,30,3,30,3,40,9,110,23,70,13,80,17,70,8,130,64,80,190,30,97
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 410,75,,,,,,,,,10,2,10,2,,,20,3,20,5,30,5,30,4,20,3,40,7,40,8,30,6,40,6,60,11,30,7,10,3
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 30,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 20,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 19420,139672,,,,,230,51,690,343,990,847,1180,1546,1200,2077,1370,3175,1250,3611,1200,4201,1120,4638,1150,5723,2200,13542,1790,14120,1490,14245,1100,12445,1790,28326,510,14649,130,16127
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1920,3575,20,2,130,45,140,84,180,158,160,183,130,167,150,214,140,246,130,260,120,239,100,226,80,209,110,315,60,203,70,254,40,160,100,379,40,172,10,61
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 640,1425,,,,,,,,,,,,,,,,,,,,,,,30,10,140,163,130,151,110,184,80,184,110,472,30,167,20,93
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 19400,63394,,,,,230,14,700,102,990,354,1190,726,1210,974,1370,1491,1250,1696,1200,1964,1120,2160,1150,2644,2190,6191,1790,6406,1480,6411,1100,5570,1780,12737,510,6580,130,7372
103,Total tax payable,Total à payer,2012, 19970,214345,30,3,150,52,340,154,770,631,1040,1485,1210,2594,1230,3440,1390,5202,1270,5883,1210,6733,1130,7415,1160,9004,2210,21226,1800,21736,1490,21812,1100,18889,1800,42718,510,21715,130,23652
