#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 600,664,570,468,1170,1131,,,10,2,10,2,,,20,9,40,14,50,13,60,19,110,33,90,51,110,67,190,118,60,41,70,52,120,93,60,37,40,26,100,63,50,65,40,43,90,108,70,53,70,62,130,115,80,198,70,73,150,271,60,99,70,95,130,193,40,61,20,17,60,79,10,6,,,20,8,10,34,,,20,34
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, ,,,,10,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Net rental income,Revenus nets de location,2012, 220,434,210,377,420,811,,,,,,,,,,,,,10,-22,20,31,30,9,30,113,30,13,50,125,30,50,30,161,60,211,30,127,30,63,60,189,30,33,20,-12,50,21,30,13,30,119,60,132,40,23,30,3,60,26,20,39,20,-16,40,23,,,,,10,21,,,,,,,,,,,,
17,Taxable capital gains,Gains en capital imposables,2012, 190,1280,120,731,310,2011,,,,,,,,,,,,,,,20,5,,,30,57,20,13,50,70,,,,,30,131,,,,,30,173,,,,,,,,,10,43,30,183,30,87,,,40,172,,,10,31,30,210,,,,,,,,,,,,,,,,,,
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 570,3270,440,2558,1010,5829,,,,,,,20,46,,,20,56,50,126,50,152,100,278,70,155,60,202,130,357,90,300,60,224,150,524,70,456,70,497,140,952,80,508,60,284,150,793,70,539,60,312,130,851,60,511,40,481,100,992,40,477,30,357,70,834,,,,,10,131,,,,,,,,,,,,
19,Other income,Autres revenus,2012, 1420,6261,1220,6290,2640,12551,20,43,30,126,50,168,140,471,120,439,260,911,170,523,160,543,330,1067,150,445,140,400,280,844,160,507,140,816,300,1323,140,556,120,1017,260,1572,150,893,130,905,280,1798,130,478,90,349,220,827,130,655,110,800,240,1455,110,743,70,542,190,1286,60,729,50,265,110,994,40,132,30,41,70,173,30,88,30,45,60,132
20,Net business income,Revenus nets d'entreprise,2012, 490,4781,540,3615,1020,8396,,,20,48,30,81,30,113,50,100,70,213,40,146,80,485,110,631,60,329,80,394,140,724,50,479,60,364,100,843,50,400,50,231,100,631,40,404,40,233,90,637,50,635,40,510,90,1145,40,620,40,677,80,1297,50,768,40,445,90,1213,40,545,20,81,60,626,,,10,17,30,288,10,38,10,29,30,68
21,Net professional income,Revenus nets de profession libérale,2012, 80,2065,60,3092,140,5158,,,,,,,,,,,,,,,,,10,178,10,549,,,20,1064,,,,,20,951,,,,,,,,,,,,,,,,,,,,,,,20,925,,,,,,,,,,,10,11,,,,,,,,,,,,
22,Net commission income,Revenus nets de commissions,2012, ,,10,23,20,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Net fishing income,Revenus nets de pêche,2012, 70,2193,,,80,2194,,,,,,,,,,,,,20,478,,,20,478,10,357,,,10,357,10,392,,,10,392,10,328,,,10,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 230,1161,90,923,320,2084,,,,,,,30,62,,,30,80,20,47,,,30,79,30,55,,,30,114,20,77,,,30,274,30,306,10,83,40,389,20,105,10,154,40,260,20,129,,,30,249,20,75,,,30,126,20,158,,,20,206,10,87,,,20,147,,,,,,,,,,,10,86
26,Social assistance payments,Prestations d'assistance sociale,2012, 2910,16485,2610,16191,5530,32676,200,605,220,825,420,1430,630,2976,530,2897,1150,5873,460,2556,410,2900,870,5456,350,2434,290,2358,640,4793,280,2068,240,1799,520,3867,270,1848,230,1884,500,3732,220,1501,190,1398,420,2898,120,702,120,774,240,1476,80,562,60,378,140,940,70,476,60,360,140,835,70,292,70,180,140,472,70,241,80,187,150,429,80,225,120,249,190,474
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 240,1093,370,2140,600,3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,360,50,451,70,327,100,539,170,866,,,100,462,170,762,80,373,130,780,210,1153
28,Total income assessed,Revenu total établi,2012, 10110,516026,10070,437449,20180,953503,730,5508,840,6104,1570,11613,1380,30486,1390,26184,2770,56669,1270,50541,1450,53352,2720,103893,1210,62651,1230,60451,2440,123103,1050,60514,1010,53500,2060,114014,1030,61114,1000,52572,2030,113715,970,59505,890,51732,1860,111237,800,60295,700,45008,1500,105303,600,51655,540,41949,1140,93604,490,39852,430,26882,920,66735,280,21861,260,11562,550,33423,170,7796,170,4677,330,12473,150,4246,170,3475,310,7721
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 2360,11868,2740,12771,5100,24639,,,,,,,90,200,110,255,200,455,250,954,340,1237,590,2190,330,1491,460,1915,780,3406,300,1553,370,1748,670,3301,300,1498,350,1708,660,3206,300,1569,340,1668,640,3237,280,1601,300,1595,580,3195,240,1497,270,1578,500,3075,190,1033,150,794,340,1827,70,399,50,259,110,658,10,62,,,20,76,,,,,,
30,RRSP deduction,Cotisations à un REER,2012, 1290,10211,1230,7732,2520,17943,,,,,,,40,176,,110,90,286,150,835,190,804,340,1639,180,1331,200,1275,380,2606,160,1106,170,898,330,2004,170,1174,110,709,280,1883,140,1197,140,1203,270,2400,170,1487,150,949,320,2436,140,1382,130,996,260,2379,90,1089,80,532,170,1621,40,386,20,250,70,636,,,,,,,,,,,,
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 160,1388,50,358,200,1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,136,10,126,30,263,60,570,10,132,70,702,40,314,,,50,350,20,144,,,20,163,20,140,,,20,140
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 3370,2532,3840,2942,7200,5475,180,21,120,15,300,36,390,106,400,126,790,232,440,258,620,380,1060,637,480,347,560,430,1040,777,410,345,460,367,870,712,380,319,430,360,810,679,350,326,380,372,730,698,290,316,330,335,610,650,200,220,290,312,480,533,170,194,170,172,340,366,60,72,60,61,130,133,,,20,10,30,19,,,10,2,20,3
33,Child care expenses,Frais de garde d'enfants,2012, 220,1016,360,1383,580,2399,,,,,,,,,40,93,50,117,30,149,70,316,110,465,60,312,110,434,170,746,40,239,80,353,120,592,30,177,30,99,70,276,20,58,20,55,40,113,10,27,,,20,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 70,268,60,192,140,460,,,,,,,,,,,20,32,,,10,24,20,66,10,38,10,16,20,54,10,43,,,20,53,,,,,20,33,,,,,10,117,,,,,,,,,,,10,41,,,,,,,,,,,,,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 30,504,,,30,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 150,450,90,129,240,579,,,,,,,,,,,,,,,,,10,9,10,22,,,20,29,10,16,,,20,25,,,,,,,,,,,30,45,20,38,,,30,50,30,78,,,50,118,30,67,20,15,50,82,,,,,,,,,,,,,,,,,,
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 250,170,210,130,470,300,,,,,,,20,3,20,2,30,5,30,22,40,17,70,39,30,18,20,15,50,33,30,21,30,19,60,40,20,14,20,10,40,25,20,16,10,9,30,26,30,20,10,18,40,38,20,18,20,23,40,42,30,18,20,13,50,31,20,18,,,30,20,,,,,,,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, ,,,,10,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 60,131,50,195,110,327,,,,,,,,,,,,,,,,,,,10,18,,,20,37,,,,,20,74,,,,,10,26,,,,,,,,,,,20,64,10,30,,,20,55,,,,,,,,,,,,,,,,,,,,,,,,
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 320,406,210,345,530,751,,,,,,,20,10,10,10,30,20,40,52,40,23,80,75,40,40,40,32,80,72,40,85,20,25,70,110,50,70,,,80,246,40,30,20,32,60,62,30,74,10,16,40,90,20,14,20,13,40,26,10,11,10,10,30,21,,,,,10,16,,,,,,,,,,,,
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 4950,29379,4980,26363,9930,55743,190,41,130,17,310,58,460,534,470,622,930,1155,590,2315,770,2830,1360,5145,660,3634,730,4156,1390,7790,590,3428,620,3487,1200,6915,570,3345,580,3135,1150,6480,520,3380,520,3428,1030,6808,490,3692,440,3075,930,6767,380,3652,370,3209,750,6861,300,3132,240,1732,550,4864,140,1780,90,620,230,2400,50,288,20,51,70,339,30,159,10,2,40,160
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 250,638,90,233,340,871,,,,,,,,,,,,,10,21,,,20,26,20,23,,,30,28,30,36,,,30,42,20,25,10,17,30,41,20,34,,,30,42,20,35,,,30,38,20,10,,,20,22,,,,,10,21,80,284,30,123,110,407,30,126,,,30,173,,,,,,
46,Net income after adjustments,Revenu net après rajustements,2012, 10100,486077,10060,410991,20160,897097,720,5467,840,6087,1560,11554,1380,29947,1390,25562,2770,55509,1270,48243,1450,50518,2720,98761,1210,58998,1230,56291,2440,115289,1050,57054,1010,50008,2060,107061,1030,57750,1000,49420,2020,107198,970,56110,890,48375,1850,104485,800,56569,700,41930,1500,98499,600,47993,540,38785,1140,86778,490,36706,430,25144,920,61849,280,19796,260,10820,550,30616,170,7382,170,4578,330,11961,150,4063,170,3474,310,7536
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 3130,18738,2780,19253,5910,37991,200,610,220,835,420,1445,640,3038,530,2915,1180,5953,470,2603,420,2933,890,5536,370,2489,290,2417,670,4906,300,2145,240,1996,540,4141,300,2154,240,1967,540,4121,240,1606,200,1552,440,3158,140,831,130,893,260,1725,90,637,70,429,160,1066,90,726,80,767,170,1493,100,706,110,779,210,1485,90,556,110,694,200,1250,100,637,130,1076,230,1712
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 30,216,20,84,60,300,,,,,,,,,,,,,,,,,,,,,,,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Capital gains deduction,Déduction pour gains en capital,2012, ,,,,10,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 4920,28415,4450,26152,9370,54567,80,166,110,215,190,381,340,1204,330,1253,670,2457,550,2989,620,3356,1170,6345,620,3689,600,3823,1220,7512,570,3423,530,3317,1100,6740,590,3644,530,3472,1120,7116,580,3450,480,3034,1060,6484,520,3352,440,2794,960,6146,430,2772,350,2366,780,5138,350,2116,240,1478,590,3594,150,981,110,597,260,1579,90,415,60,235,140,650,50,213,60,212,110,425
