#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 1720,49476,940,22377,,,,,30,674,150,5599,270,10718,230,6140,20,591,60,2730
35,Moving expenses,Frais de déménagement,2012, 18020,84355,15330,71181,20,67,310,2664,60,481,780,3937,480,2416,370,1600,280,481,400,1529
36,Support payments made,Pension alimentaire payée,2012, 8900,138726,6010,93000,20,326,160,5995,70,1316,440,4649,660,20067,1320,11111,100,585,110,1677
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 530550,878027,220340,266737,1460,3944,3750,10260,2660,6340,15630,38033,82070,359895,183730,158846,7090,3456,13830,30515
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 261220,202531,41680,8072,5770,4579,19500,25431,14930,16862,159110,139658,11980,5785,4560,1216,1630,264,2060,663
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 10600,136534,3460,57100,60,422,230,2497,80,653,340,5399,3520,52820,2600,10852,20,31,300,6761
41,Other employment expenses,Autres dépenses d'emploi,2012, 116660,599186,106900,555409,110,389,350,1461,490,5108,1900,8797,2730,12548,2280,7565,1090,4310,820,3599
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 4420,61528,4090,59026,,,,,,,70,677,60,603,150,877,20,59,20,146
43,Other deductions,Autres déductions,2012, 110760,260901,50000,52567,550,701,670,1050,480,375,4120,3144,17100,26428,27130,130211,7390,5785,3330,40640
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 1897360,11343645,1211540,7722741,7870,27604,21490,185625,16070,80786,170520,489977,121920,908849,283970,1650182,35440,51675,28550,226206
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 70250,199293,28330,60061,380,1132,790,3457,240,822,1220,3849,17280,72136,18610,47481,320,513,3080,9841
46,Net income after adjustments,Revenu net après rajustements,2012, 3491400,137960614,1997280,89252783,10740,371776,23160,1591319,17980,627801,193280,5085053,236480,15163144,657370,19617478,273290,3526419,81840,2724840
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 200,4583,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 6050,274910,5500,264481,,,30,511,,,50,974,180,6351,160,1066,40,83,90,1426
49,Other payments deductions,Déduction pour autres paiements,2012, 465690,3263175,73780,317136,1170,6444,360,1566,450,1935,7050,34457,8720,46850,178820,679948,192130,2161691,3210,13149
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 5800,74639,1870,18056,40,616,120,909,210,1471,1860,29676,980,18130,400,2590,70,279,240,2911
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 83340,237240,26340,41850,300,493,900,2011,550,1051,2710,4858,18180,136548,31130,41858,490,482,2760,8089
52,Capital gains deduction,Déduction pour gains en capital,2012, 5890,425032,1450,28275,260,16282,40,825,10,245,200,4861,3250,370242,550,2312,30,19,100,1971
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 34600,101511,26820,81647,670,1567,80,198,60,162,1690,4565,1340,3291,3000,7961,620,1248,330,871
54,Additional deductions,Déductions supplémentaires,2012, 30430,100433,2040,24679,100,185,110,316,30,39,450,1605,2400,9155,24090,57720,520,1232,690,5500
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 1390,14380,310,1958,570,7863,,,,,120,849,170,2499,160,750,10,118,40,315
56,Total deductions from net income,Total des déductions du revenu net,2012, 614860,4499570,135220,782828,2730,33464,1590,6436,1280,4923,13600,81872,32930,596276,227630,794381,192820,2165153,7070,34238
57,Taxable income assessed,Revenu imposable établi,2012, 3423000,133474729,1997040,88472503,10650,339157,23150,1584945,17950,622987,192980,5005634,236190,14570146,656990,18823909,206240,1364697,81790,2690751
58,Basic personal amount,Montant personnel de base,2012, 3524460,37915106,1999300,21471351,11890,128644,23710,255368,18780,202668,201220,2168112,240340,2584715,657770,7106771,273770,2950311,97680,1047166
59,Age amount,Montant en raison de l'âge,2012, 694840,4167703,40510,191975,2320,13873,1540,7631,1340,7324,12450,74303,40910,204108,516740,3157142,69860,463416,9180,47931
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 300290,2188694,196430,1490153,1630,11465,2090,15280,2280,16087,26690,189149,20440,149779,26820,130708,16430,129926,7500,56148
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 108480,1114080,73020,746615,200,2067,680,6913,670,6808,7190,74280,3020,30554,2270,20425,18590,197227,2840,29191
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 459330,1715986,340960,1262261,1710,7692,4340,16462,3590,13154,36680,143157,25310,94945,4070,13221,35620,139562,7050,25533
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 2510,10792,1330,5808,10,57,20,115,30,89,140,687,210,866,630,2519,80,406,60,245
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 1906030,2835229,1741730,2728636,2900,2912,4280,2883,2700,1272,36390,19928,49410,51011,21340,9699,33710,9888,13570,9000
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 261220,202531,41680,8072,5770,4579,19500,25431,14930,16862,159110,139658,11980,5785,4560,1216,1630,264,2060,663
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 1861650,1047072,1701630,1008827,4380,1883,3230,943,1980,447,29040,7520,30160,10488,34190,7041,41730,6031,15300,3892
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 4420,13253,3350,10040,30,84,20,51,10,42,340,1011,140,411,440,1323,40,132,50,159
71,Canada employment amount,Montant canadien pour emploi,2012, 2287290,2395633,1882040,2049251,3700,3740,6000,5745,3590,3441,45720,44942,77270,78293,180090,125096,61220,59232,27660,25893
72,Public transit amount,Montant pour le transport en commun,2012, 244690,165935,208120,150975,70,37,1380,813,580,325,5410,3058,5660,2406,10930,4114,6790,2212,5760,1994
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 202260,112951,164740,91398,530,301,2660,1737,1710,1089,13630,7571,11570,7595,1080,527,4200,1568,2130,1165
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 89300,47829,72070,38155,190,109,1540,963,840,473,5670,3025,6070,3771,470,226,1470,564,990,543
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 18710,85444,16720,76459,20,96,150,721,90,416,710,3334,390,1811,240,1009,290,1221,90,377
76,Pension income amount,Montant pour revenu de pension,2012, 627310,1202236,60960,114666,1730,3208,1820,3459,900,1670,9900,18410,41740,78409,491170,949017,6720,10172,12390,23224
77,Caregiver amount,Montant pour aidants naturels,2012, 40050,219585,28990,161293,280,1520,230,1269,420,2289,3190,17872,2300,12117,3220,16013,760,3880,660,3332
78,Disability amount ,Montant pour personnes handicapées,2012, 98600,743362,15100,114434,160,1170,150,1093,90,664,1330,10050,5740,43475,61070,459539,12010,90447,2980,22491
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 28670,279705,19980,202760,110,935,210,2067,200,1912,1760,17156,1540,13030,3240,24248,1080,12490,550,5108
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 79450,44464,71610,39825,40,20,910,839,210,117,2970,1807,870,560,220,88,2220,1005,410,204
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 227260,1224382,192630,1020115,260,1036,1780,17697,970,3955,8220,39373,11880,98753,3170,4797,3550,12161,4820,26494
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 76700,372760,61330,298699,280,1398,980,5169,650,3276,3950,18803,5250,25792,2870,13114,270,1027,1130,5482
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 166010,811793,56800,248428,970,5022,670,2743,740,3147,8850,38333,10470,47374,59010,302727,24650,146739,3840,17281
84,Medical expenses,Montant admissible des frais médicaux,2012, 436020,1317511,157200,315353,2100,5221,4470,11690,3040,6563,33680,64618,35790,186483,177790,666519,10040,15570,11920,45494
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 3524530,9035543,1999350,5077114,11890,29565,23710,58082,18780,44123,201230,465989,240340,559918,657780,1952566,273770,638327,97680,209859
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 717260,1356277,429790,620104,,,8160,22801,4860,8974,32560,58353,50770,333724,170390,248227,,,12780,41292
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 940,5204,540,1317,,,,,,,40,476,50,939,260,653,10,2,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 715020,374409,428180,171060,2170,2048,8150,6457,4860,2489,32440,16320,50690,95731,170070,67150,5720,930,12740,12224
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 3524530,9409952,1999350,5248174,11890,31613,23710,64539,18780,46613,201230,482308,240340,655650,657780,2019716,273770,639257,97680,222082
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 529190,1368948,218030,175205,2060,3936,4420,5037,2750,2117,16400,13932,121000,1072881,148610,84474,2920,588,12990,10778
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 800,8039,780,7945,,,,,,,,,10,75,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 7550,20050,1520,5965,130,321,60,187,,,290,1372,4530,9342,700,1495,,,300,1275
93,Basic federal tax ,Impôt fédéral de base,2012, 2162080,14935253,1470510,11032622,6100,31473,16010,282302,10850,70414,104350,443565,123700,1522717,364670,1157567,27510,35255,38390,359338
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 186110,169509,77320,102751,540,290,2140,1831,840,166,5370,7406,34140,37805,59940,14615,730,27,5090,4618
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 24820,3954,8170,1297,140,22,460,87,110,18,890,129,2780,544,11660,1757,60,6,550,94
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 4810,11842,2140,5268,30,78,100,163,,,300,584,1180,3971,880,978,,,140,754
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 1510,923,1150,708,,,,,10,7,80,45,100,61,140,84,,,20,9
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 5150,23321,290,859,60,372,,,,,60,787,4690,20946,30,64,,,10,249
99,Net federal tax,Impôt fédéral net,2012, 2153440,14754225,1466490,10925839,6050,31007,15970,280726,10840,70181,104090,436389,121710,1480790,362640,1140181,27470,35229,38190,353883
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 261210,405063,41680,16143,5770,9159,19500,50863,14930,33724,159110,279317,11980,11571,4560,2432,1630,529,2060,1326
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 70250,199293,28330,60061,380,1132,790,3457,240,822,1220,3849,17280,72136,18610,47481,320,513,3080,9841
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 1966510,6172979,1369590,4494422,5010,12625,13900,125287,8960,28274,76130,168492,115240,748303,327090,431527,18800,9864,31790,154185
103,Total tax payable,Total à payer,2012, 2283540,21531946,1492000,15496491,8070,53924,21370,460413,15880,133022,169500,888294,137420,2312807,370940,1621622,29350,46137,39000,519236
