#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 1728270,1114068,1539340,1047683,1910,924,11640,13778,2760,1752,26290,11183,25390,13513,59510,11833,47520,9986,13920,3417
33,Child care expenses,Frais de garde d'enfants,2012, 470790,1161102,361980,946454,1930,3178,6700,21370,2420,5767,36550,70824,10370,24076,1490,1424,42720,75705,6620,12304
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 2280,66782,1440,31940,,,50,2658,,,150,3867,250,12782,220,9236,40,478,100,5281
35,Moving expenses,Frais de déménagement,2012, 10190,44589,8930,39233,,,310,1654,,,260,1100,140,911,110,364,230,457,190,706
36,Support payments made,Pension alimentaire payée,2012, 13170,167063,7600,81593,60,521,440,16366,70,738,410,4600,1020,30595,3150,29079,240,1032,190,2538
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 236560,608678,95580,177667,960,2367,6620,26874,1250,4265,5480,15460,38400,264737,79820,96217,2020,1840,6440,19251
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 386850,304580,60890,10154,14910,11893,50870,77900,18450,21857,208560,168828,13890,7979,13890,4575,2630,409,2770,985
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, 434450,34577,83700,1267,16060,1314,52440,9139,19090,2423,218770,18650,16410,941,18820,626,5210,84,3950,131
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 10470,160390,4160,66534,40,274,920,15116,110,1430,280,3613,2670,54178,2040,15538,20,71,230,3636
41,Other employment expenses,Autres dépenses d'emploi,2012, 118940,560556,109510,519461,120,406,240,1254,360,4107,1020,4212,1680,9166,2640,9495,2450,7892,940,4562
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 2140,20375,1830,18610,,,10,85,,,20,128,30,296,210,1121,10,34,10,56
43,Other deductions,Autres déductions,2012, 196700,480439,123830,109879,1140,3326,1560,3557,490,518,5480,6413,11690,20990,25860,232958,20400,16678,6250,86120
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 3504860,19129921,2555610,13200931,18820,64087,54320,693239,19580,106499,227230,651130,116920,1044152,363340,2847336,106030,183408,43020,339138
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 103980,252727,55510,86543,450,1477,2600,13101,310,1104,1230,4008,18960,79752,21020,54409,170,262,3740,12071
46,Net income after adjustments,Revenu net après rajustements,2012, 6343030,230747545,3662170,151227831,22060,679039,55190,5687235,20330,752861,238210,5791883,233110,17059344,1383110,37895899,598970,7790338,129880,3863116
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 1150,19275,1130,19045,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 6660,340290,6220,328933,,,20,346,,,20,261,110,7116,160,1003,20,27,110,2005
49,Other payments deductions,Déduction pour autres paiements,2012, 1156920,6870784,143670,497619,2140,9100,790,3198,640,2572,10130,43653,14240,61144,525290,1960992,450700,4261961,9340,30545
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 6230,51080,2270,14504,40,230,190,3569,160,959,1580,10447,1100,16060,450,2794,180,465,270,2050
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 97450,218458,38650,44248,610,826,2870,8631,550,1079,2620,4051,16240,112782,32310,36025,660,370,2940,10446
52,Capital gains deduction,Déduction pour gains en capital,2012, 11780,829369,2780,58675,1090,76897,160,9626,10,355,260,10772,6170,665120,1100,5046,70,226,130,2653
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 28550,98827,20250,76521,460,1412,,,,,410,1113,390,1065,3640,10044,3010,7596,290,732
54,Additional deductions,Déductions supplémentaires,2012, 47630,409387,3540,119049,250,460,140,2739,30,62,370,1801,1770,9285,37430,239148,3260,25183,860,11659
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 1670,13474,460,2359,810,8333,20,158,,,70,349,150,1548,120,371,,,30,276
56,Total deductions from net income,Total des déductions du revenu net,2012, 1323520,8853546,216050,1161237,4950,97842,4220,28635,1390,5080,15110,72447,37700,876281,577370,2255745,453220,4295896,13520,60383
57,Taxable income assessed,Revenu imposable établi,2012, 6143180,221923782,3661320,150068220,21960,581937,55160,5658767,20320,747865,237910,5721665,232780,16185209,1377420,35646355,406580,3510421,129730,3803342
58,Basic personal amount,Montant personnel de base,2012, 6392200,68855132,3665330,39451366,23220,251209,55910,603594,20850,224762,245660,2648271,236560,2554487,1383440,14951661,599840,6441664,161390,1728118
59,Age amount,Montant en raison de l'âge,2012, 1295570,8074658,48030,235934,3540,21706,2530,12396,1450,7926,12580,76588,47960,247026,1067840,6743143,101180,674141,10480,55797
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 438830,2961903,261570,1937076,3740,23304,4140,30310,2140,15256,25800,179861,17070,113434,71810,265235,42700,324550,9860,72876
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 222500,2223061,156530,1562152,380,3596,2130,21207,1010,10233,12860,129031,4350,41739,3830,26168,35930,373856,5480,55080
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 863580,3238009,673180,2496823,3610,16250,12410,50172,4060,15747,43240,166830,25370,99790,5150,15732,83010,326652,13560,50013
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 1930,7201,930,3411,,,20,77,,,50,173,100,361,630,2108,130,800,60,231
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 3700330,5374084,3350460,5182070,5940,5622,12120,8290,3390,1383,45620,22433,69010,77464,82150,32914,104740,30126,26900,13782
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 386850,304580,60890,10154,14910,11893,50870,77900,18450,21857,208560,168828,13890,7979,13890,4575,2630,409,2770,985
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 3645670,1618977,3334510,1562284,5240,1936,8530,2240,2590,432,36260,7100,45480,14839,78350,12475,107230,12795,27490,4876
67,PPIP premiums paid,Cotisations au RPAP,2012, 3740790,724372,3376960,696656,6680,756,12290,1110,3370,182,46350,2984,70790,10781,85850,5032,109480,4835,29030,2037
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, 110990,22486,102200,21812,130,17,410,37,120,5,1380,87,1380,163,1870,124,2260,114,1240,126
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, 440050,44587,88410,1678,16070,1693,52470,11769,19100,3121,218960,24022,16540,1213,19060,810,5400,112,4040,170
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 6640,19908,5900,17697,100,309,,,,,220,660,70,204,170,504,130,384,30,87
71,Canada employment amount,Montant canadien pour emploi,2012, 4141640,4354762,3528540,3840286,7550,7403,15890,14037,4770,4032,56930,53158,87610,87684,238080,158694,155880,147359,46380,42109
72,Public transit amount,Montant pour le transport en commun,2012, 495640,371437,429820,333232,50,29,3540,2386,810,536,8280,5183,7310,4564,22490,10936,14420,9167,8920,5404
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 369840,162604,313550,138160,1430,529,7360,4276,1720,850,16330,6986,12560,6473,1470,563,12080,3424,3350,1342
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 97840,36378,82020,30133,240,86,2850,1405,500,202,4300,1619,3740,1624,460,174,2710,753,1030,382
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 53580,232004,48790,210973,40,173,570,2586,130,590,1430,6396,520,2334,620,2785,1220,4942,280,1226
76,Pension income amount,Montant pour revenu de pension,2012, 1186430,2237089,115990,219280,2570,4538,4060,7817,1230,2329,11520,21182,48040,87682,975500,1846160,9340,14297,18180,33805
77,Caregiver amount,Montant pour aidants naturels,2012, 41150,189099,25800,118593,330,1432,400,2040,200,982,1740,7923,2030,9403,7380,34135,2420,10807,840,3784
78,Disability amount ,Montant pour personnes handicapées,2012, 88870,669519,13170,99711,100,740,170,1283,60,430,660,4952,4550,34354,50290,378052,17220,129801,2670,20197
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 39420,392199,27150,284831,280,2260,460,4575,160,1577,1710,16386,1430,12404,5210,38686,2350,25144,680,6336
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 139120,51511,123060,45172,100,33,2920,1323,370,167,3800,1609,1210,489,300,179,6690,2221,680,319
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 419960,1514030,363790,1325858,390,893,3610,17009,940,3014,10300,32812,11090,57918,9710,7832,10240,24907,9890,43787
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 191890,876929,161080,734588,1030,4873,4420,24432,910,4213,6810,29202,7930,37834,6610,28949,990,3279,2100,9557
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 292740,1408309,88590,355776,2020,10087,1450,6320,820,3491,10070,43031,11470,51800,139610,754276,32340,156823,6380,26705
84,Medical expenses,Montant admissible des frais médicaux,2012, 1850240,3753972,945490,1561757,8980,15499,18310,46731,7050,14948,85330,140827,74200,216314,609280,1559088,68060,127393,33550,71415
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 6392280,16458309,3665380,9371979,23220,58033,55920,143331,20850,50752,245660,569762,236560,567072,1383450,4032159,599840,1327634,161400,337586
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 1302610,960121,805700,382856,5880,2744,23320,48218,4960,4915,33870,24468,60580,226130,332810,242549,15750,5818,19750,22424
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 2320,35365,,,,,50,1751,,,80,1204,,,720,1964,40,30,50,779
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 1283530,251473,789400,101423,5830,677,23280,13946,4930,1329,33590,6835,60260,69293,331570,50138,15250,1476,19420,6357
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 6392280,16709783,3665380,9473402,23220,58711,55920,157277,20850,52081,245660,576597,236560,636365,1383450,4082297,599840,1329111,161400,343943
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 706150,1442303,345730,219857,4170,3222,14280,25691,2950,2421,17980,15526,117830,1090782,182560,75147,5880,911,14770,8747
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 2030,18862,1990,18682,,,,,,,,,20,124,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 8540,23967,2410,8840,260,556,90,279,30,67,230,678,4390,10201,670,1458,50,85,410,1804
93,Basic federal tax ,Impôt fédéral de base,2012, 3970480,23547847,2805020,17129381,12430,44449,41680,1137058,12790,88232,124710,497768,139140,1893464,690430,2141441,81490,132540,62790,483513
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 206290,101865,97660,61980,1160,439,6830,3266,770,52,5210,2648,28280,24215,60140,6877,1180,29,5070,2359
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 16290,2217,6660,987,80,9,630,134,80,10,460,68,1480,284,6540,676,80,6,290,44
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 8540,20639,3690,8596,730,715,700,1984,90,173,410,726,1420,6461,1310,1577,30,21,170,386
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 316610,136857,292080,124586,520,302,2780,1778,910,567,6690,3563,4740,2701,4850,2244,2720,557,1310,557
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 6600,33638,450,968,240,1128,60,295,,,70,296,5730,30748,40,165,,,,
99,Net federal tax,Impôt fédéral net,2012, 3955670,23286311,2800160,16933350,11880,42930,41490,1129904,12720,87430,123390,490734,137600,1859772,684650,2130081,81230,131935,62550,480176
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, ,,,,,,,,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 103980,252727,55510,86543,450,1477,2600,13101,310,1104,1230,4008,18960,79752,21020,54409,170,262,3740,12071
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 2920,66431,150,399,,,1950,59943,20,118,430,2569,300,3256,50,96,,,,
103,Total tax payable,Total à payer,2012, 3956730,23605688,2800240,17020301,11900,44432,41540,1202984,12740,88663,123650,497469,138030,1942781,684790,2184586,81270,132199,62580,492274
