#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
20,Net business income,Revenus nets d'entreprise,2012, 1830,31748,1390,15227,3220,46975,20,110,,,30,174,60,876,30,178,90,1054,100,1584,90,666,190,2250,150,2089,110,1210,260,3299,170,3035,170,2043,340,5078,150,2962,170,1423,320,4385,180,3808,180,2496,360,6304,290,6095,180,2433,460,8528,260,5332,210,2454,460,7786,210,3142,140,1765,350,4908,140,2029,70,307,210,2336,60,520,,,80,598,50,167,20,110,70,277
21,Net professional income,Revenus nets de profession libérale,2012, 180,5543,210,6047,380,11590,,,,,,,,,,,10,118,10,231,20,403,40,635,,,20,759,30,1114,10,436,20,491,30,927,10,268,20,719,40,987,20,986,20,1022,40,2007,,,30,1070,50,1822,30,780,30,991,50,1771,30,750,20,492,50,1242,20,818,10,74,30,893,,,,,,,,,,,,
22,Net commission income,Revenus nets de commissions,2012, 40,1040,60,247,100,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,45,,,,,,,,,,,,,,,10,-6,20,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 100,-854,70,-317,170,-1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-247,,,,,20,-89,10,-67,,,20,-210,20,-120,10,-57,30,-178,20,-185,10,35,30,-149,10,-17,10,-33,20,-50,,,,,20,-215,,,,,,,,,,,,
24,Net fishing income,Revenus nets de pêche,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 450,3840,220,2111,670,5952,,,,,,,,,10,55,,,40,150,20,45,60,195,40,131,20,101,50,232,30,224,20,85,40,310,30,269,10,54,40,323,50,598,20,299,70,897,70,790,40,357,120,1147,50,530,40,471,90,1002,40,460,30,350,70,810,30,303,10,148,40,451,10,105,,,20,152,20,213,,,30,311
26,Social assistance payments,Prestations d'assistance sociale,2012, 1160,7548,1110,9748,2270,17296,20,54,20,91,40,145,100,526,130,1034,230,1560,130,751,140,1448,260,2200,110,699,110,1343,210,2042,80,576,90,1046,170,1622,80,651,90,954,170,1605,120,963,90,830,210,1792,110,1125,90,972,210,2097,100,885,80,884,180,1768,70,710,70,689,140,1399,110,388,60,230,160,618,60,97,50,72,110,169,80,125,90,155,170,279
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 490,2239,510,2391,1000,4630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,153,40,184,170,871,130,626,290,1498,,,110,492,220,1028,200,800,230,1120,440,1920
28,Total income assessed,Revenu total établi,2012, 13460,764877,13410,627407,26870,1392310,600,7158,610,5835,1210,12993,1160,36217,1040,22885,2200,59102,1230,57931,1400,50753,2630,108707,1270,69071,1250,56735,2520,125806,1120,70464,1260,61398,2380,131866,1090,72358,1200,64664,2290,137023,1210,87157,1290,77430,2500,164586,1440,97731,1460,86245,2900,183975,1370,101668,1310,77427,2680,179095,1110,73833,1000,54235,2110,128069,880,48165,670,29882,1540,78047,450,19286,360,12930,800,32216,540,23837,570,26990,1110,50827
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 2750,12442,4030,16310,6790,28752,,,,,,,40,86,70,112,110,198,170,529,330,932,500,1461,260,1033,410,1423,670,2457,320,1463,500,1985,820,3448,330,1578,500,2190,840,3767,380,1904,560,2554,940,4458,420,2151,650,2994,1080,5145,420,2149,560,2551,980,4700,260,1058,310,1196,570,2255,120,429,100,297,220,726,20,53,20,55,40,108,,,,,,
30,RRSP deduction,Cotisations à un REER,2012, 3320,23395,3620,18615,6940,42010,,,,,,,150,432,90,143,230,575,270,1171,340,872,610,2043,360,1809,380,1425,740,3234,350,1898,420,1750,760,3648,350,2293,400,1760,750,4053,420,2874,500,2833,920,5707,450,3616,560,3597,1010,7213,500,4952,490,3318,980,8270,310,2758,310,2111,620,4869,160,1386,120,760,270,2146,20,190,,,30,227,,,,,,
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 510,5450,190,1357,700,6806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,203,,,30,230,70,812,30,211,110,1023,130,1415,60,440,190,1855,140,1600,60,467,200,2067,80,766,20,91,100,857,70,623,10,111,80,734
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 3060,2426,4340,3030,7410,5457,40,10,60,10,100,20,120,64,180,54,290,118,240,158,440,246,690,403,340,267,490,322,830,588,340,291,540,386,880,677,350,295,520,391,870,687,390,343,530,421,920,765,420,385,650,527,1070,912,400,351,520,409,930,760,250,188,290,205,540,392,110,59,100,50,210,110,30,11,10,7,50,18,20,4,10,3,30,7
33,Child care expenses,Frais de garde d'enfants,2012, 350,1460,900,3079,1250,4539,,,,,,,,,30,75,30,82,20,101,120,359,140,460,50,224,200,788,250,1012,90,493,260,1033,350,1525,90,402,160,554,240,957,50,126,100,205,140,331,40,86,30,55,70,140,10,16,,,20,21,,,,,,,,,,,,,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 230,852,260,743,490,1595,,,10,15,20,23,40,68,50,85,90,153,50,118,60,128,120,246,50,222,40,184,90,406,20,98,20,80,40,178,10,76,10,37,30,113,20,67,10,43,30,110,20,63,20,71,30,134,10,110,20,73,30,183,,,,,10,44,,,,,,,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 40,516,,,50,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 1870,1629,1900,1286,3770,2914,,,,,10,1,,,,,100,14,90,28,110,15,200,43,120,50,120,26,240,77,110,42,140,45,250,86,140,68,180,62,330,130,170,163,210,190,380,353,240,254,240,188,470,442,280,327,250,243,530,570,250,310,240,240,490,550,180,134,150,111,330,245,110,97,80,85,180,182,120,148,130,72,250,220
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1080,1114,850,673,1920,1787,,,,,,,50,32,30,8,70,41,70,59,70,38,140,97,100,83,70,51,170,133,100,114,100,77,200,191,90,103,90,73,180,176,110,134,110,107,210,241,180,201,110,111,290,312,160,185,150,116,310,301,150,143,90,82,240,226,70,57,20,8,90,64,,,,,,,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 60,715,30,171,90,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,58,,,,,,,,,,,,,,,,,,,,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 400,1597,190,1123,590,2720,,,,,,,30,38,,,40,49,40,58,20,62,60,120,50,257,20,45,70,301,40,116,20,93,60,208,40,171,10,40,50,212,50,275,30,207,80,482,50,189,30,97,70,286,50,258,,,70,676,30,137,20,121,50,258,20,84,,,30,111,,,,,,,,,,,,
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 30,375,,,30,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 390,2875,350,655,740,3530,,,,,,,20,16,10,5,40,21,20,25,40,20,60,45,40,22,40,26,80,49,40,63,30,24,70,88,30,34,30,29,60,63,,,30,25,,,50,36,40,82,90,119,50,32,40,23,90,55,50,31,,,,,30,73,20,4,50,77,,,,,20,14,,,,,,
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 7610,54931,8210,47175,15820,102105,70,42,90,42,150,84,350,751,350,502,700,1253,600,2254,830,2684,1430,4938,750,3996,860,4310,1600,8306,750,4640,910,5475,1660,10115,730,5132,860,5172,1600,10305,840,8516,960,6602,1800,15119,980,7418,1080,7785,2060,15203,970,9476,980,7424,1950,16901,740,6599,690,4617,1420,11216,470,4021,350,1724,820,5745,190,1141,110,382,300,1522,180,944,150,454,330,1398
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 450,978,190,447,640,1425,,,,,,,20,29,,,20,29,30,26,10,10,40,36,40,46,10,10,50,56,30,39,,,40,44,30,37,,,30,45,20,16,,,20,24,30,40,,,40,50,20,27,,,20,28,20,36,,,30,46,140,425,80,229,220,654,50,142,30,90,80,232,30,115,30,68,60,183
46,Net income after adjustments,Revenu net après rajustements,2012, 13400,709985,13370,580285,26770,1290297,600,7116,610,5792,1210,12909,1160,35437,1040,22383,2200,57821,1230,55652,1400,48064,2630,103738,1260,65167,1250,52439,2510,117606,1120,65882,1250,55971,2370,121858,1090,67381,1190,59586,2280,126967,1200,78716,1290,70901,2490,149617,1430,90488,1450,78464,2880,168953,1360,92249,1300,70190,2670,162439,1100,67361,1000,49633,2090,116993,880,43719,660,27936,1540,71655,450,18029,360,12458,800,30488,540,22787,570,26467,1110,49254
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 10,83,,,20,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
