#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 43080,404995,30,47,70,86,280,419,1000,1528,2420,5658,3280,10945,4040,18634,4460,29098,4470,35730,4080,37889,3350,36627,2720,34008,4000,53955,2640,34855,1670,24161,1140,18389,2320,42200,780,15031,310,5732
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 219920,139138,3620,409,5810,971,7790,1706,8970,2159,10920,3067,13110,4471,15540,6265,16900,7866,17710,9436,15310,9148,14400,9608,12870,9459,21600,17881,18740,17759,14240,14310,7580,7866,12240,13433,2000,2453,580,872
33,Child care expenses,Frais de garde d'enfants,2012, 43610,119371,1420,1063,2020,2073,2570,3342,3080,4826,3710,7027,3940,9151,4140,11231,3840,11624,3530,11640,2860,9839,2260,7998,1820,6788,2870,11140,2100,8396,1330,4777,680,2557,1020,4038,330,1402,100,459
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 290,5691,,,,,,,,,20,271,20,428,20,182,20,281,20,188,20,420,,,10,97,20,395,30,538,20,495,20,374,30,707,20,344,20,528
35,Moving expenses,Frais de déménagement,2012, 3480,12734,110,116,180,182,260,331,300,387,310,581,260,491,240,507,210,674,210,683,190,661,160,642,150,658,230,1313,200,1416,130,893,70,620,190,1759,60,698,10,123
36,Support payments made,Pension alimentaire payée,2012, 1990,24894,10,130,20,21,10,36,40,99,60,215,40,139,80,355,90,412,90,469,90,517,80,501,100,745,190,1460,190,1704,130,1123,110,1199,360,4674,180,4698,130,6398
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 106550,111969,1670,2394,1490,557,3010,900,7550,1896,7600,2437,7150,2982,7530,3515,7310,3727,7820,4101,6630,4384,5720,3879,4940,3930,8570,8171,6640,7227,5100,6197,3450,4772,8060,15473,3820,13028,2500,22400
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 56200,46068,760,45,5050,813,6980,2222,5970,2788,5170,3105,4560,3346,4350,3643,3810,3506,3780,3724,3000,3150,2170,2589,1640,2262,2310,3320,1440,2205,1070,1771,720,1178,1710,3126,1090,2110,620,1165
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 2050,29576,,,,,,,10,19,30,39,20,56,50,79,50,80,60,103,60,156,50,144,60,176,130,458,130,622,140,883,110,729,390,3087,300,3631,460,19300
41,Other employment expenses,Autres dépenses d'emploi,2012, 32070,139521,130,628,260,424,460,812,720,1369,1050,2264,1310,3192,1520,3853,1830,5291,2090,6632,2120,7353,2180,8742,2200,9666,3910,18372,2920,13577,2140,9779,1600,7468,3740,20183,1310,11493,590,8422
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 1660,19631,,,,,10,41,30,126,60,349,90,648,110,807,140,1208,180,1771,180,2003,190,2377,160,2209,260,3778,110,1815,60,921,40,559,50,920,,,,
43,Other deductions,Autres déductions,2012, 20830,53352,750,576,750,667,1250,949,1860,1160,2150,1378,2080,1348,1970,1245,1670,1228,1400,1227,1130,1122,830,1051,710,973,1080,1932,750,1860,540,1608,370,1716,810,7153,380,6965,360,19195
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 527850,2714358,9290,7035,15130,7596,22040,14966,29300,25926,33410,44360,36440,66591,40900,95283,41930,126239,42090,153819,36290,158689,31590,162780,27470,161013,44710,297962,34220,267982,24840,225387,15120,155813,29260,392406,9380,193060,4440,157453
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 12550,36232,,,,,,,,,,,,,,,,,,,,,,,,,1140,1055,2480,2094,2020,3348,1410,3446,3060,13025,1350,7795,920,5411
46,Net income after adjustments,Revenu net après rajustements,2012, 929110,33915495,105400,150295,67230,512545,71980,882588,86320,1480676,70480,1534430,62870,1661844,63120,1955403,57240,2018280,55010,2181666,43780,1917927,37220,1788570,31490,1647754,50590,2978955,37110,2507102,26610,2022217,16150,1369656,31400,3304342,10180,1678790,4940,2322453
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 90,1832,,,,,,,,,,,,,,,,,,,,,,,,,20,227,10,219,10,184,,,20,737,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 660,19954,,,,,,,,,20,29,20,18,10,22,10,27,20,21,30,62,30,68,20,31,30,100,30,119,20,58,30,108,130,762,120,1580,130,16936
49,Other payments deductions,Déduction pour autres paiements,2012, 120570,669026,7480,16794,16800,97629,21640,144105,36580,228844,16000,62897,5160,26579,3630,17375,2830,13907,2320,11572,1780,9802,1360,7800,1100,6270,1530,8137,940,5077,570,3361,310,1957,460,4283,70,2027,20,611
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 820,5974,20,58,,,90,171,110,264,90,416,100,564,80,489,60,566,60,484,40,467,30,238,20,209,40,477,20,202,20,240,10,106,20,454,,,10,337
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 14610,26147,60,33,90,106,190,109,380,255,610,427,830,652,940,726,940,851,1110,845,930,962,830,962,760,995,1360,1632,1040,1530,840,1324,590,925,1600,3414,810,2989,690,7410
52,Capital gains deduction,Déduction pour gains en capital,2012, 4090,273393,20,240,10,251,90,160,70,352,130,553,120,787,160,1133,140,1512,170,2398,180,2943,150,2555,160,3411,370,9508,280,8379,250,9582,220,9419,590,35213,500,56704,510,128293
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 15870,47719,190,98,230,312,430,767,770,1770,850,2056,940,2325,940,2375,910,2428,890,2391,810,2277,710,2062,690,2010,1210,3700,1190,3899,1250,4276,950,3290,2280,9069,530,2357,90,258
54,Additional deductions,Déductions supplémentaires,2012, 4920,16675,70,92,100,192,230,453,750,2631,860,2458,590,1670,480,1100,360,1234,330,834,200,935,170,514,120,314,200,655,130,321,70,529,50,150,130,1043,50,918,30,631
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 990,10899,10,120,20,112,80,184,70,290,90,430,100,593,80,754,70,711,60,556,60,436,50,545,40,536,60,729,50,735,30,547,20,322,60,1564,30,462,10,1273
56,Total deductions from net income,Total des déductions du revenu net,2012, 157820,1071718,7760,17435,17120,98632,22480,145951,37780,234416,17890,69265,7520,33212,6100,23973,5140,21240,4790,19106,3870,17898,3220,14744,2800,13842,4620,25167,3510,20491,2890,20106,2070,16570,4960,56550,1970,67314,1340,155806
57,Taxable income assessed,Revenu imposable établi,2012, 913000,32847352,102170,134105,59650,414477,68310,736819,85370,1246576,70190,1465258,62740,1628704,63050,1931513,57190,1997051,54970,2162570,43760,1900035,37220,1773827,31490,1633970,50580,2953825,37100,2486640,26600,2002169,16150,1353245,31380,3248079,10170,1611682,4930,2166806
58,Basic personal amount,Montant personnel de base,2012, 937270,10089356,113430,1192989,67280,719997,72000,774295,86330,931735,70500,761522,62880,679829,63130,682667,57240,619125,55010,595118,43790,473701,37230,402721,31500,340754,50590,547411,37110,401540,26610,287935,16150,174766,31400,339752,10180,110071,4940,53426
59,Age amount,Montant en raison de l'âge,2012, 176220,1073737,2660,17066,4860,32405,14630,98174,39550,265708,25310,170055,17550,117908,15840,106299,11780,74961,11360,65647,7660,40785,6000,28691,4790,20035,7630,23408,4070,8014,1440,2512,570,978,460,836,40,173,20,80
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 70420,507737,8010,75440,3850,26002,4480,29060,5460,33674,5410,33416,4830,32308,4720,32721,4480,31937,4040,28868,3320,23765,2940,20866,2560,18042,4130,29867,3170,23084,2300,16957,1610,12016,3470,26600,1180,9196,490,3920
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 40830,424502,8600,91946,3170,33313,4950,52292,3820,40084,2870,29907,2470,25340,2420,24852,2250,22988,1930,19578,1490,15082,1190,12100,910,9139,1450,14693,1100,11041,840,8488,440,4368,700,6945,170,1652,70,692
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 142690,595578,15390,72399,5850,24974,7980,31771,7500,34237,7280,32225,7620,32066,8570,35052,9020,36902,8740,35674,7660,30903,6960,27675,6070,24072,10550,41864,8940,35760,7070,28603,4500,18061,8880,36153,2860,11816,1270,5370
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 880,4519,,,20,90,20,164,40,177,60,337,60,279,70,355,80,413,60,320,70,343,60,305,70,316,80,396,50,269,50,217,30,134,50,270,10,45,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 539370,798961,10680,5885,26670,4891,33610,12231,34480,19560,37270,29518,39170,39922,41520,51859,40960,61065,39380,67201,33430,64507,29220,61487,25250,54271,40760,88881,31840,70694,23310,52002,14080,31387,26780,59716,7690,16770,3290,7115
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 56200,46068,760,45,5050,813,6980,2222,5970,2788,5170,3105,4560,3346,4350,3643,3810,3506,3780,3724,3000,3150,2170,2589,1640,2262,2310,3320,1440,2205,1070,1771,720,1178,1710,3126,1090,2110,620,1165
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 547360,307285,24540,5380,31860,4168,35240,7035,34760,9506,37130,13131,38960,17031,41100,21394,40430,24570,38590,26542,32720,24641,28590,22256,24730,19464,39640,31609,30810,25012,22350,18267,13330,10909,24470,20000,6010,4777,2090,1591
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 1380,4128,20,63,,,20,63,40,105,50,138,50,153,90,264,100,285,110,330,120,369,110,339,100,288,150,438,120,348,100,285,80,228,110,321,20,66,,
71,Canada employment amount,Montant canadien pour emploi,2012, 611150,651406,30520,28408,36310,38645,39420,42156,38490,41253,40850,43748,42690,45654,45350,48308,44430,47333,42770,45516,35830,38409,31170,33566,26890,28968,43410,46846,33390,36188,24300,26398,14740,16005,28280,30679,8460,9164,3850,4162
72,Public transit amount,Montant pour le transport en commun,2012, 45560,25008,2500,957,3260,1277,4060,1804,4260,2180,4340,2531,4040,2477,3620,2261,3280,2051,2760,1731,2340,1422,1950,1168,1550,920,2220,1272,1760,976,1240,696,790,436,1310,726,210,98,50,23
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 54960,28656,660,271,570,208,930,367,1300,544,1780,729,2210,913,2830,1191,3220,1408,3500,1561,3380,1569,3360,1638,3130,1562,5860,3074,5560,3028,4710,2753,2970,1794,6060,3918,2020,1433,930,694
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 19320,9662,200,78,180,76,280,132,390,171,580,251,680,295,900,402,1020,456,1110,517,1090,498,1110,502,1000,461,2010,977,1960,991,1800,949,1180,631,2500,1410,880,553,460,311
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 8050,37648,80,377,,,90,375,260,1107,470,2163,730,3377,830,3834,910,4245,870,4044,710,3349,600,2823,510,2442,780,3765,480,2289,260,1238,130,609,230,1120,50,236,,
76,Pension income amount,Montant pour revenu de pension,2012, 171560,326102,920,1164,2250,3418,5680,8915,17070,28522,23080,43545,18790,36816,18600,36604,14540,28641,14930,29455,10270,20213,8070,15868,6580,12924,10500,20654,6010,11802,3920,7632,2480,4818,5000,9637,1860,3548,1000,1927
77,Caregiver amount,Montant pour aidants naturels,2012, 5980,31654,130,697,90,499,150,773,260,1295,360,1714,450,2262,500,2621,570,2990,560,2891,470,2483,390,2092,340,1849,490,2585,380,2073,250,1383,170,953,300,1718,80,513,50,263
78,Disability amount ,Montant pour personnes handicapées,2012, 47810,360698,3290,25025,4120,31090,5670,42708,8200,61825,6110,46023,4340,32760,3740,28219,2810,21214,2340,17661,1530,11505,1250,9432,930,7025,1260,9530,710,5355,450,3358,250,1871,490,3667,210,1584,110,846
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 10890,112252,620,7474,340,4122,500,5962,570,6236,570,5471,640,5905,760,7319,850,8127,840,8335,720,7197,630,6502,590,5904,860,8784,700,7380,550,5861,300,2976,590,6145,180,1791,80,760
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 14750,6623,110,46,90,40,300,93,760,265,1170,422,1470,530,1590,619,1490,625,1290,533,990,469,930,454,880,445,1410,809,1030,559,520,256,270,144,380,221,80,66,30,24
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 58920,274795,10,13,40,46,6070,6428,10450,36935,7660,41631,6350,37061,5330,29842,4220,23304,3560,20181,2710,14746,2330,13091,1910,10862,3020,17069,1990,8847,1330,5670,690,2658,980,4590,220,1222,80,599
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 18960,90383,20,70,20,34,50,98,180,590,350,1453,560,2396,850,3774,1000,4568,1100,5006,1130,5278,1120,5110,1110,5039,1950,9169,1960,9349,1860,9182,1260,6207,2900,14782,1030,5369,520,2910
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 44620,236705,6810,33927,2520,13608,4670,25731,6520,37923,5300,30478,3810,20413,3040,15472,2330,11743,1690,8531,1370,6914,1000,4923,880,4538,1390,6959,1040,5083,690,3261,400,1875,820,3665,240,1131,110,530
84,Medical expenses,Montant admissible des frais médicaux,2012, 153040,337458,3280,3138,4970,5725,7710,9752,17400,26505,22080,40967,19400,40210,18380,42062,13790,31913,12320,31269,7840,20900,5710,15118,4070,11281,5810,17606,3310,10370,2110,6819,1150,4127,2350,9893,830,4735,530,5067
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 937290,2457233,113440,234437,67280,141855,72000,172891,86330,237445,70500,200174,62880,176891,63130,177250,57240,159662,55010,153045,43790,121836,37230,103702,31500,87435,50590,139663,37110,102349,26610,73881,16150,44871,31400,87894,10180,28218,4940,13734
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 233320,394668,320,147,580,259,2520,1705,7430,5069,13460,11217,15750,15164,18390,19932,18920,20749,19490,23856,16970,21521,15280,20004,13550,18638,22520,34887,17710,27456,13510,22421,8780,16303,18260,43950,6440,27237,3460,64152
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 260,2302,,,,,10,5,10,11,20,14,30,17,20,21,20,10,20,40,20,19,10,6,10,29,20,41,20,59,20,85,,,20,125,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 231820,110007,300,19,560,65,2470,299,7340,1304,13310,2959,15580,4071,18240,5398,18770,5617,19380,6520,16860,5889,15200,5480,13480,5125,22400,9647,17630,7615,13460,6228,8750,4532,18210,12367,6420,7821,3460,19053
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 937290,2567240,113440,234456,67280,141920,72000,173190,86330,238750,70500,203133,62880,180962,63130,182647,57240,165278,55010,159565,43790,127725,37230,109182,31500,92561,50590,149309,37110,109965,26610,80109,16150,49403,31400,100261,10180,36039,4940,32786
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 115310,188073,300,2,350,2,1430,86,2640,337,4950,887,6650,1657,8290,2579,8180,3271,9450,4457,8020,4783,7000,5177,6340,4845,11570,12230,8740,10249,6850,9516,4850,7804,11330,28855,5120,26432,3260,64905
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 80,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,161,30,439,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 1910,5797,,,,,,,40,19,70,48,100,93,120,168,130,269,190,503,110,308,100,278,100,318,200,687,140,437,90,314,70,207,210,614,140,554,80,976
93,Basic federal tax ,Impôt fédéral de base,2012, 579150,3444952,190,34,540,162,11180,2174,26620,14555,41800,38044,50100,69726,56580,107975,53650,132521,52860,161359,42510,159395,36440,166611,31040,168787,49960,337571,36870,315985,26470,271458,16070,193762,31260,516908,10110,303072,4900,484853
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 29840,9376,,,,,120,4,440,28,890,28,1450,77,1890,127,1910,115,2390,193,2000,203,1740,164,1610,183,3020,470,2340,408,1860,283,1380,363,3480,1425,1820,2006,1500,3301
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 6890,1096,,,,,30,2,50,5,190,20,330,36,480,57,470,66,560,73,500,64,470,68,420,60,750,112,530,84,400,70,290,55,750,138,380,95,300,91
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 1200,2722,,,,,,,,,20,9,20,20,30,23,30,16,30,19,40,50,50,53,50,52,80,85,70,69,80,65,70,66,210,287,150,255,240,1649
