#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 638940,953535,153840,239158,56170,85523,65950,97477,50070,74694,40600,59592,36530,52776,33560,48196,31020,44270,28200,40863,24390,35204,20130,29510,16680,24308,25370,37389,18640,27618,13490,20262,9710,14363,10940,16518,2960,4742,690,1077
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 781080,5090511,13470,31076,34150,149586,66010,374538,84570,562096,85320,613008,79960,607109,73810,552988,68290,484993,60850,403876,47720,311718,36580,234442,28280,179483,39300,238375,24080,137578,15070,79750,8310,45547,12420,67776,2410,13333,480,3239
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 1645640,21694776,39930,28378,32520,35397,52080,63887,80380,114387,91470,164979,79050,196017,86400,244619,93450,326683,99950,407527,90140,467202,80940,512758,74340,471449,134230,1034959,111940,954004,90390,876101,75990,760262,178400,2957746,90610,3116419,63440,8962002
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 2650160,6260529,124990,76172,89270,82403,136410,133868,205630,234125,196110,269413,154950,243905,157840,261032,158390,271620,156630,280982,135180,244314,117220,210447,105410,200955,183450,374145,147930,317679,116540,262718,96910,219758,204090,656667,96230,546610,66990,1373716
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 35500,92196,350,-16972,220,-97,260,-370,390,-314,440,-394,460,-303,650,-288,740,123,870,-463,950,62,980,483,870,-122,1900,-683,1990,1599,1790,2000,1710,1439,6070,12968,5790,20963,9070,72565
16,Net rental income,Revenus nets de location,2012, 535130,1556958,25470,-38308,23350,54034,31650,80334,35110,80050,33450,74677,29190,60978,29280,59758,29680,58764,29910,56956,27130,50591,24630,44840,22320,45196,38100,78092,31400,69950,26210,56211,21310,49533,45010,163984,19540,144022,12430,367298
17,Taxable capital gains,Gains en capital imposables,2012, 830550,5919822,22250,15964,18990,17555,27210,27800,40310,38881,47650,52854,40720,57334,44000,66440,46520,73876,48850,86021,43710,86401,38580,84420,35910,87539,64910,182716,54750,178586,43750,165440,37160,156075,89400,602180,48010,730864,37870,3208878
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 946810,5513569,32660,41196,28210,74418,42190,140231,52670,191919,58640,237112,55930,250887,60220,281814,65350,322478,67090,333963,61120,299263,55110,273332,49420,259722,83660,490292,63140,391947,47930,306236,36900,239234,61720,621388,18180,364496,6670,393640
19,Other income,Autres revenus,2012, 1526910,8106890,76560,100457,87500,225249,91790,239642,93080,216413,92690,203845,80230,193706,84230,210112,87980,236540,89050,253755,77500,230873,65990,208515,60080,201094,105690,377197,86650,359547,69760,315910,56470,280599,123460,1061269,58040,1033226,40190,2158940
20,Net business income,Revenus nets d'entreprise,2012, 846680,10466867,76490,-198375,106480,582976,116930,973019,89740,905822,67550,793308,51910,697502,43050,603484,38230,542035,34650,501990,28850,422961,24600,368894,21170,330972,34540,560933,26220,465071,20150,374807,15510,297032,31760,891389,12520,609179,6330,743870
21,Net professional income,Revenus nets de profession libérale,2012, 137950,8675685,6480,-6492,7810,37040,9070,66684,8160,75037,6800,75434,5880,78202,5120,74644,5030,79428,4760,80653,4370,80080,4100,82668,3840,86149,7130,171170,6460,182388,5700,176675,5040,181564,15400,848242,13040,1434271,13770,4871847
22,Net commission income,Revenus nets de commissions,2012, 100880,1980289,8030,-5811,9110,38973,10390,66496,8880,69097,7440,67823,6170,66600,5590,69125,5290,69742,4650,68343,4250,71962,3570,64130,3010,63177,5250,123279,4130,116369,3170,105372,2490,95567,5700,330801,2590,260717,1170,238526
23,Net farming income,Revenus nets d'agriculture,2012, 85370,425927,5310,-89011,4130,-471,6470,13663,6870,15896,6010,21477,4990,20511,4880,21523,4960,27605,5070,36723,4300,26384,3720,21900,3350,23221,5340,37607,4290,35172,3370,30469,2470,22932,5310,63816,2610,46335,1920,50176
24,Net fishing income,Revenus nets de pêche,2012, 270,1427,20,-114,20,101,30,28,40,107,20,134,10,91,10,82,10,75,20,67,10,70,10,,,,10,124,10,47,,,,,20,58,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 218470,2071235,3220,7554,6100,24006,12210,63208,18790,113298,25600,196529,23420,221813,21210,222492,18890,196121,16470,179318,14030,164623,11430,134530,9170,101304,12580,140043,8120,87645,5750,57871,4250,39144,5790,82321,1160,30656,290,8760
26,Social assistance payments,Prestations d'assistance sociale,2012, 643220,4892537,42290,114611,143760,978680,233570,2081599,139640,873916,44360,510958,17460,169675,8640,70440,4970,36996,2890,20497,1840,12111,1120,7302,770,4628,810,4526,390,2215,210,1183,120,724,250,1773,90,525,40,177
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 609290,3283807,7990,14793,25750,86618,122910,753745,281680,1886557,119850,368507,24560,88857,10750,37611,6170,19088,3340,9516,1770,5015,1040,3065,720,2166,900,2744,500,1487,300,951,190,558,430,1258,230,617,210,653
28,Total income assessed,Revenu total établi,2012, 9991180,449333853,1046750,1285845,737820,5637338,909620,11372385,919760,16068857,709610,15837335,564400,15499008,547110,17769531,533990,19991298,512740,21777052,446480,21177783,386330,20255049,337510,19383411,555260,35975052,427900,31994479,333660,28298775,271720,25704381,480580,57029475,177550,32891853,92380,51384945
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 1589510,7048528,3030,1795,5410,2534,10110,6724,17420,12730,25240,22463,35850,38928,51580,68000,76580,125966,104030,219121,115110,292332,113880,333567,109860,363480,189570,739656,167920,813496,149710,879206,144560,1093287,200610,1438208,52300,426211,16740,170825
30,RRSP deduction,Cotisations à un REER,2012, 2293870,13023503,10590,12641,12380,15835,26780,34187,46080,71734,65650,119649,82230,169568,103280,229871,125770,305724,144820,397508,150710,469217,146830,518226,136550,531371,238010,1060651,204420,1054146,174500,1016927,150030,960784,298940,2976987,117030,1843159,59300,1235317
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 470860,5006297,120,289,490,735,1190,1717,3860,6072,33410,73447,37180,161775,36460,191906,41530,222817,42180,279872,39950,336449,34970,373616,30290,393457,47100,716106,33960,518418,22150,359772,15180,268624,31580,652460,13140,289242,6120,159523
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 1947490,1409077,41930,6205,61720,10931,70150,15534,69620,18118,73510,22344,81110,28869,90870,36486,107210,50129,123980,66619,126110,77013,119110,82862,113050,87071,194210,167037,169700,167462,147380,158514,137470,163453,170960,195729,38540,43186,10860,11516
33,Child care expenses,Frais de garde d'enfants,2012, 428600,1971718,8390,8435,13310,25682,18150,47266,22880,70377,26690,92843,29620,111773,31020,124283,32280,136959,32290,146370,29470,142153,25660,130194,21960,116621,35150,197003,27980,163416,21890,132325,17740,105614,23810,149518,7650,52600,2660,18286
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 4210,154491,130,19332,90,3096,110,2415,130,2273,190,3470,190,4386,200,3630,210,3631,220,4456,240,4965,200,3792,170,2873,300,6937,280,7583,230,5943,180,5761,530,24933,330,19120,290,25897
35,Moving expenses,Frais de déménagement,2012, 30300,128815,1460,1155,2260,1999,2610,2630,2320,2925,2230,3381,2210,4327,1840,3980,1610,4117,1470,5039,1400,4817,1220,5345,1190,6315,2030,11596,1580,11524,1180,9848,920,9016,1910,24071,630,10938,230,5792
36,Support payments made,Pension alimentaire payée,2012, 34200,565165,170,919,230,583,320,1008,460,1738,620,2483,750,3525,1000,5385,1210,7161,1350,8507,1380,8677,1400,10345,1490,10639,2850,23130,2800,26127,2560,25409,2390,27340,6560,103962,3630,101665,3020,196563
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 1012230,2220309,12670,15524,13250,12624,23350,19189,43810,29708,56620,40466,50760,44786,55010,49665,58830,56281,60050,60684,56100,65317,51010,65906,46930,63183,83870,120145,71060,122036,56620,108804,49090,101028,115070,321310,61090,283012,47060,640641
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 666930,512274,13890,865,96960,16756,112570,38472,82570,41609,61170,39445,46920,37001,37900,33564,32760,31761,28940,30475,24200,27021,18340,23250,13780,19505,19760,30136,14110,22962,10340,17631,7660,13426,20150,37566,13120,26050,11800,24781
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 26630,470542,100,4617,80,137,120,191,190,263,270,524,320,680,420,1386,450,1522,610,1582,680,2316,690,2564,600,3227,1450,7294,1490,7538,1380,8346,1310,8916,4690,42688,4570,61963,7210,314789
41,Other employment expenses,Autres dépenses d'emploi,2012, 365050,1939288,1600,4640,2560,4902,4550,9416,7790,18499,11560,32040,14040,41799,16030,53904,17730,62528,19060,70319,20710,79018,21560,89907,20780,90842,38210,183499,31640,161849,24600,126863,22080,111158,53820,344753,24150,232190,12590,221163
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 11570,161497,20,64,70,255,140,634,210,1187,380,2428,470,3475,740,5949,750,6821,910,9398,1000,11392,980,12641,970,14042,1710,27975,1160,21313,740,14394,450,9204,710,15624,140,4029,20,671
43,Other deductions,Autres déductions,2012, 292960,789903,11580,7499,12340,7397,18660,10741,24400,14575,26590,15727,23550,15469,22610,16389,21770,16741,20000,16441,15960,15036,12870,15199,10530,14544,15810,26818,11470,26025,8480,23806,6680,22219,14470,100358,8110,130086,7070,294832
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 5386700,35408116,97050,84996,195260,103948,243540,190673,255280,292288,290290,471043,287260,666672,305740,824618,335440,1032314,353390,1316512,338850,1535871,308590,1667625,278470,1717305,467440,3318210,377920,3124154,302970,2887967,253960,2900043,445690,6428857,164430,3523979,85150,3321041
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 197690,567331,,,,,,,,,,,,,,,,,,,,,,,1890,502,15290,12351,40820,30889,31850,50523,22150,53714,49950,209835,22070,128292,13670,81215
46,Net income after adjustments,Revenu net après rajustements,2012, 9951510,413831167,1009940,1597470,736870,5540552,909140,11186829,919480,15780967,709390,15370292,564250,14835896,547010,16948693,533880,18961198,512660,20462811,446420,19644125,386270,18588831,337470,17668141,555210,32647362,427850,28842855,333620,25362155,271700,22753020,480510,50401457,177510,29250069,92360,47988442
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 1370,30819,,,,,10,1,10,14,10,21,,,,,10,37,10,50,20,145,30,445,70,1451,230,4620,220,4487,140,3068,110,2646,390,11123,60,2442,20,216
48,Security options deductions,Déductions pour options d'achat de titres,2012, 16780,776133,10,45,30,18,60,70,100,91,140,177,160,213,150,248,180,313,190,252,260,340,270,489,270,526,540,1305,570,1655,540,1798,590,2171,3030,17751,4040,49863,5670,698810
49,Other payments deductions,Déduction pour autres paiements,2012, 1341370,10246510,52940,137169,173450,1089385,334890,2898645,366940,2873774,177670,1076052,61780,480346,39070,330544,29250,252206,22250,209331,17410,181748,13440,144901,10550,108098,14160,147313,8950,91336,6210,59981,4510,40380,6270,84967,1280,31311,350,9024
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 13090,165570,470,1754,290,1237,1340,2677,1730,5613,1660,7590,1410,8401,1120,7904,850,6431,680,5582,510,5381,480,5425,360,4093,600,8401,350,5497,240,4196,210,3708,410,10666,210,9137,170,61876
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 222330,603856,1240,817,1390,1848,2920,2969,5380,4860,9450,8182,9250,10078,11110,12033,12210,12672,13260,15413,12260,15801,10890,15831,10250,15475,19090,32428,16760,30861,13340,26699,11540,25348,30090,88450,17670,87644,14250,196449
52,Capital gains deduction,Déduction pour gains en capital,2012, 17490,1294267,160,187,120,293,190,522,300,550,380,897,430,2141,460,2658,580,3758,610,4531,630,6229,620,7109,590,7791,1270,24301,1030,22788,840,20455,760,22071,2510,114104,2390,221429,3630,832452
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 5170,15490,80,45,100,145,150,302,250,609,270,733,230,649,240,701,210,584,240,663,260,760,270,798,210,640,410,1246,360,1188,330,1190,300,988,910,2980,330,1123,40,144
54,Additional deductions,Déductions supplémentaires,2012, 66590,287558,890,2373,1290,3332,2770,5942,7480,22840,10950,27660,7050,21396,6140,18600,5420,16916,4510,13862,3450,13499,2370,10171,2000,10228,3260,15672,2220,11849,1420,7604,1100,6914,2360,29725,1210,33524,700,15452
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 3950,40679,90,530,60,295,180,538,300,1211,300,1295,270,1691,250,2052,220,3125,210,1864,220,1739,200,1765,170,1511,260,2418,250,2266,180,1812,150,1959,350,4442,160,2577,140,7587
56,Total deductions from net income,Total des déductions du revenu net,2012, 1652930,13463949,55630,142931,176180,1096571,340640,2911666,376670,2909564,193770,1122617,77770,524930,56520,374777,47240,296060,40560,251638,33820,225649,27590,186951,23640,149950,38460,237812,29690,172006,22540,126921,18670,106327,44770,364430,26070,439602,22700,1823546
57,Taxable income assessed,Revenu imposable établi,2012, 9673560,400400418,981730,1463914,647140,4447160,797170,8277936,893530,12875889,695750,14248779,560640,14311777,545390,16574674,532970,18666863,512060,20211713,445830,19419470,386030,18402122,337340,17518433,555040,32410152,427740,28671333,333530,25236091,271650,22646957,480320,50038846,177390,28811885,92320,46166424
58,Basic personal amount,Montant personnel de base,2012, 10065770,108362828,1121450,11775959,737790,7910113,909610,9802927,919760,9930237,709600,7664386,564390,6097489,547110,5913085,533980,5773005,512730,5544436,446480,4828443,386320,4178059,337510,3650174,555260,6005526,427900,4628123,333660,3609056,271720,2939132,480570,5196907,177550,1918529,92380,997244
59,Age amount,Montant en raison de l'âge,2012, 1886690,11232059,50560,321001,50800,337376,168280,1128857,389730,2618027,249690,1677447,157930,1060935,150950,1012341,137610,874087,120310,690844,87970,460991,66680,315447,57100,236741,96050,300531,62510,123591,22020,40449,9370,15685,8050,13628,760,2775,350,1308
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 837960,6331875,55400,487741,44080,334966,69030,499272,80430,584042,77510,570568,52070,380160,46190,332799,41680,302212,37710,276781,33770,248834,30700,226942,27470,204900,46780,351859,39290,299539,33100,253449,27860,214127,58240,460937,23320,189616,13370,113128
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 372660,3842795,27250,282033,32790,342930,51850,546277,38690,405257,28750,297367,23530,241881,21720,223299,20810,213748,19310,197325,16660,169615,13910,141217,11430,115798,17210,174040,12790,129184,10350,104662,8800,88861,11820,119133,3550,35691,1460,14478
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 1477190,5694077,76900,300056,60480,225885,95680,367756,87990,344980,79620,309049,71290,269955,70970,267057,73390,275402,73800,275688,70590,264427,66470,249166,61120,230673,106700,405018,94540,362771,85190,330961,77150,305782,140850,559467,54740,223119,29720,126863
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 8980,39012,150,922,160,829,310,1613,420,2013,610,2667,570,2456,630,2629,620,2582,650,2660,540,2208,510,2088,460,1945,750,3124,590,2511,480,2009,350,1414,750,3400,290,1310,140,631
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 5595990,8577804,82180,11676,304990,51721,360530,127310,352120,194749,351020,273789,336500,337135,340530,421056,347620,513818,347890,597747,322980,631468,292040,621055,258760,561562,427770,939096,344280,764503,281550,630752,237910,537250,405950,913216,138720,310395,62660,139505
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 666930,512274,13890,865,96960,16756,112570,38472,82570,41609,61170,39445,46920,37001,37900,33564,32760,31761,28940,30475,24200,27021,18340,23250,13780,19505,19760,30136,14110,22962,10340,17631,7660,13426,20150,37566,13120,26050,11800,24781
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 5531560,3199476,183570,18609,342000,41956,357720,68239,341200,89833,337940,117080,326420,139894,329260,169391,337700,203446,337940,233150,314300,239197,282480,221584,252380,200230,414730,332099,332230,269050,270450,221382,229190,189083,376060,309592,118580,97182,47420,38480
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 8090,24281,110,333,120,348,150,455,220,666,240,723,310,927,360,1089,480,1434,540,1623,620,1872,620,1854,580,1746,1070,3204,830,2499,570,1722,490,1455,700,2109,60,192,10,30
71,Canada employment amount,Montant canadien pour emploi,2012, 6509020,6831283,335880,314485,405660,430485,423590,449599,394020,419461,393430,414097,377680,394667,387750,400096,397490,408166,396560,408899,361950,376645,321780,338292,282630,298767,465270,493645,369070,394438,297250,319566,248550,268322,428970,462740,150060,161859,71420,77053
72,Public transit amount,Montant pour le transport en commun,2012, 662100,690012,40200,20910,45570,24894,52950,33856,49920,38604,46970,42730,42400,42482,38830,41803,36280,41107,34350,40618,31490,38599,28860,36130,26000,33225,42910,55751,33830,45016,27590,36975,21840,29652,42410,59178,14020,20095,5680,8385
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 646460,385613,9950,5032,8480,4088,13990,6738,17080,8497,19540,9781,21790,10806,24630,12297,28250,14385,31120,16174,32070,16976,32140,17328,30880,16912,57170,32344,54910,32354,53280,32852,52670,34660,96930,66235,39650,29914,21960,18239
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 229340,127672,3130,1577,2590,1255,4210,2094,5240,2637,6000,3052,6660,3325,7320,3652,8610,4356,9380,4754,9530,4872,9790,4963,9690,4953,18520,9682,18890,10025,19170,10495,20330,11600,40530,24193,18640,12145,11120,8041
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 62990,286598,810,3438,600,2637,1150,5029,1840,7921,2820,12446,3480,15449,4290,19146,5130,22984,5490,24616,5120,23166,5010,22803,4550,20816,7530,34910,5370,25026,3490,16393,2170,10120,3190,15071,740,3549,220,1076
76,Pension income amount,Montant pour revenu de pension,2012, 1789680,3433704,10190,14111,20410,32796,59740,99334,174470,305221,213220,401103,157840,307874,163600,322150,158570,313199,146860,290438,112490,221932,85520,168541,73870,145591,122760,242373,83110,163866,53070,104407,35810,70085,71710,140265,30320,59157,16120,31262
77,Caregiver amount,Montant pour aidants naturels,2012, 103390,545771,1730,8507,1380,6888,2370,10876,3630,16667,5130,24272,5670,27625,6660,33644,7380,38055,7440,38436,7220,37858,6520,34213,5790,30903,9300,50219,7500,41379,6280,35351,5210,29364,10090,58110,2990,17109,1110,6295
78,Disability amount ,Montant pour personnes handicapées,2012, 300240,2263231,12780,98354,22650,171090,39160,294334,37110,278993,35920,269340,27800,209438,24700,186287,20790,156771,17090,128924,12480,94181,9200,69408,7290,54981,10750,81119,6800,51288,4150,31270,2820,21268,5280,39819,2140,16144,1360,10223
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 101740,1000390,2890,32177,2200,24459,3470,37306,4170,41332,4800,44416,5070,45558,5700,52072,6500,60442,6830,64273,6580,63184,5970,58096,5420,52954,8830,87355,7190,72958,6110,61885,5290,54172,9680,97630,3440,34116,1630,16005
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 220310,118960,2020,894,2010,770,5830,2113,12290,5216,16570,7347,19410,9230,21020,10575,20930,11309,19150,10864,16650,9833,14590,8835,12570,7881,20230,13001,13890,8338,8920,4912,5450,2882,6840,3876,1540,863,410,221
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 642760,3751624,100,118,400,754,71540,77617,113840,421317,82850,511407,65320,477501,52430,408238,42440,337394,35050,276388,28430,214044,24140,178586,20890,162435,32240,248262,21830,130765,16060,88993,12300,61177,17160,111996,4180,34001,1550,10628
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 312040,1673236,290,1248,240,979,1120,2825,3970,14799,7450,33281,9650,46223,11940,59358,13900,70253,16140,82345,16430,84874,16520,84648,15740,81874,28180,147865,26140,138876,25810,139915,26030,144515,55120,314279,23920,141617,13470,83460
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 492860,2438003,82610,380375,29450,135388,71570,389230,62220,324840,50730,270306,36460,182369,30540,146642,24140,115474,17130,82206,13010,62634,10420,50510,8610,41844,13850,65805,10210,47593,7880,36485,6390,28677,11970,52782,3990,17425,1690,7418
84,Medical expenses,Montant admissible des frais médicaux,2012, 1133350,3237481,33870,33558,39770,46052,67100,92038,111370,212226,137600,293611,111980,266245,104000,271192,93050,267230,83430,251141,60160,189886,46300,153253,37760,132708,56410,213977,35240,143228,23950,106893,18150,85249,39430,209643,19560,131887,14230,137464
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 10065940,26190868,1121530,2117100,737810,1521819,909620,2112637,919760,2446387,709600,1993487,564400,1591019,547110,1551560,533990,1507926,512740,1435642,446480,1246962,386330,1080984,337510,946411,555260,1548206,427900,1186567,333660,935831,271720,773770,480580,1390920,177550,522774,92380,280865
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 2309590,4082254,4330,1174,6490,2319,22020,8403,58550,66505,105590,69728,117670,89342,138030,118772,149110,137031,153110,146027,143910,142041,133540,136476,124080,134228,219020,260316,183820,228473,156300,201236,138870,187466,272110,488593,114930,375481,68120,1288644
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 2680,26529,50,598,40,19,80,33,150,89,200,127,180,5967,180,101,170,228,160,141,170,281,140,244,130,229,240,351,160,366,140,771,120,588,230,1789,90,2323,60,12284
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 2298360,1127037,4080,398,6280,549,21630,2031,57810,8028,104610,16929,116630,25144,137070,31589,148140,36678,152100,39245,143060,38335,132820,36923,123480,36443,218250,70975,183300,62414,155910,55225,138600,51226,271670,135401,114840,105934,68110,373571
