#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 11270,16604,56910,89519,68230,106216,20,23,1010,1103,1030,1126,380,562,6930,10779,7310,11354,1310,1994,12650,21431,13980,23445,2790,4335,16290,27231,19090,31590,3320,5110,12500,19266,15840,24401,2050,2803,5690,7563,7740,10376,910,1165,1340,1578,2250,2744,310,396,270,298,580,694,110,129,130,151,240,280,50,64,70,83,120,147,10,16,20,24,40,40,,,,,,,,,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 33490,205330,37780,233517,71270,438846,480,2251,210,864,690,3116,4620,27567,2970,16747,7590,44314,4770,29248,6130,45868,10900,75115,4140,25168,7510,63850,11650,89018,3440,20953,5110,37146,8550,58099,3210,19451,3570,18502,6780,37953,3180,19773,3500,14413,6680,34186,3160,19819,3500,14579,6660,34399,2780,17734,2810,11352,5590,29086,2120,13359,1760,7127,3880,20485,1150,7277,550,2352,1710,9630,350,2191,120,569,470,2760,100,539,40,147,130,686
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 64630,805326,66470,595200,131100,1400676,880,12109,810,11359,1690,23468,1930,24128,1660,22613,3590,46816,2490,18577,2030,14990,4520,33567,2840,23550,2400,22299,5240,45848,3410,43000,2990,40867,6400,83942,4110,63076,3750,51905,7860,114981,5330,71513,5200,50996,10530,122510,7200,88184,7110,58664,14320,146848,8120,121914,8000,71075,16120,192989,7780,114993,7850,84110,15630,199104,6570,86946,6870,49749,13450,136695,4820,54252,5330,32151,10140,86403,9140,83084,12460,84423,21600,167507
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 110320,207576,130120,230770,240490,438389,1940,1046,1820,1000,3770,2047,3660,1721,3520,1560,7200,3287,4410,1929,4340,1533,8760,3465,4400,2183,4680,1749,9080,3932,4990,3261,5250,3329,10240,6591,5790,5637,6270,5040,12070,10680,7570,9701,8370,8808,15940,18509,10300,17695,11480,15248,21780,32943,12430,23391,13570,22991,26010,46383,12420,26265,13950,26557,26380,52823,11440,27522,12740,25283,24180,52805,9130,21534,10870,24228,20010,45769,21830,65690,33240,93443,55080,159154
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 1870,2890,990,1902,2850,4793,,,,,,,,,,,,,,,,,20,86,40,91,20,63,50,154,80,237,50,329,130,567,100,153,60,297,160,450,190,303,90,232,280,536,240,47,130,109,370,156,330,389,170,117,500,506,300,377,140,184,440,561,200,459,120,178,320,637,170,313,80,47,240,360,200,446,130,329,330,775
16,Net rental income,Revenus nets de location,2012, 19700,86083,16450,65123,36150,151215,40,32,10,25,50,57,260,381,190,343,450,722,880,1557,680,1230,1560,2793,1280,2031,1110,2237,2390,4272,1560,4159,1240,2990,2790,7148,1650,4075,1370,3720,3020,7796,1990,3772,1750,5022,3740,8795,2520,11828,2170,8646,4690,20474,2550,11717,2150,8691,4690,20407,2200,12287,1810,8508,4010,20795,1660,9205,1370,7175,3030,16380,1210,6473,910,5379,2120,11852,1920,18566,1700,11157,3620,29724
17,Taxable capital gains,Gains en capital imposables,2012, 34540,354365,37140,230208,71690,584635,420,2954,350,2573,770,5571,850,2081,670,1395,1520,3476,1240,6616,850,1435,2090,8051,1400,6511,1100,4494,2500,11005,1690,10562,1370,6233,3060,16795,2000,27876,1770,10207,3770,38083,2640,25625,2500,15491,5150,41115,3680,39672,3700,23792,7380,63464,4250,43460,4360,33029,8600,76489,4190,49775,4620,32136,8810,81911,3760,50714,4180,20397,7940,71110,2770,24829,3450,17034,6230,41863,5650,63691,8230,61993,13870,125701
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 37680,198045,38530,181761,76210,379806,50,35,30,18,80,53,700,1170,470,502,1160,1672,1880,3818,1610,2742,3490,6559,3180,6649,2770,4816,5950,11465,4320,9936,3800,7649,8120,17585,4420,13468,3970,11081,8390,24549,4030,17835,3800,14675,7830,32510,3740,22181,3950,19722,7690,41903,3890,30472,4550,30870,8440,61341,4140,36199,5050,38543,9200,74742,3790,33186,3760,27201,7550,60386,1530,11826,1600,9236,3130,21062,2020,11271,3170,14706,5190,25977
19,Other income,Autres revenus,2012, 86690,346431,79440,287315,166140,633804,2650,8835,2990,10239,5640,19074,5670,13058,5260,12335,10930,25396,5120,10358,3870,8072,9000,18436,5140,11487,3960,9528,9100,21052,5490,15012,4340,10907,9830,25921,6000,16777,4790,13107,10790,29883,7080,27812,5760,20923,12840,48735,8580,34285,7360,26004,15950,60289,10060,62776,8970,48231,19030,111017,10740,75714,10250,57594,20990,133308,6990,23361,6210,14092,13200,37454,4740,13981,4720,11437,9460,25418,8420,32976,10970,44847,19400,77823
20,Net business income,Revenus nets d'entreprise,2012, 38550,618280,28390,267256,66960,885805,600,3766,460,1993,1060,5759,1770,18385,1240,7510,3010,25895,2880,41887,2200,16227,5090,58237,3350,55014,2750,24135,6100,79190,3690,67939,3180,33043,6870,101007,4010,74160,3280,36084,7290,110255,4270,81058,3400,36754,7660,117812,4800,93761,3630,41953,8440,135721,4580,82491,3230,32745,7810,115260,3750,60224,2560,22414,6310,82678,2630,25368,1450,8944,4070,34313,1280,8680,640,4074,1920,12755,940,5544,380,1380,1320,6924
21,Net professional income,Revenus nets de profession libérale,2012, 4850,272382,3820,115566,8680,387970,30,81,30,49,50,130,110,681,120,715,220,1397,270,6950,350,8327,620,15277,350,13309,420,12615,770,25924,420,23678,440,14105,860,37805,450,28117,440,16710,890,44827,470,31750,450,18130,920,49880,510,39762,460,17166,970,56928,640,48246,440,15499,1080,63745,600,35715,350,7442,950,43156,530,25938,200,3590,720,29528,250,10639,90,742,340,11381,240,7516,50,476,280,7992
22,Net commission income,Revenus nets de commissions,2012, 3510,97028,3230,40084,6730,137111,30,66,40,81,60,147,200,1216,210,697,410,1913,280,4292,380,2781,660,7073,300,8304,400,3266,700,11570,330,7703,410,4021,750,11724,350,12775,350,4508,700,17284,350,11167,360,7326,710,18494,350,13529,330,6359,680,19888,400,13714,300,6357,700,20071,410,14412,220,2822,630,17233,280,7124,140,1363,410,8487,140,2039,60,227,190,2266,100,686,40,275,140,961
23,Net farming income,Revenus nets d'agriculture,2012, 22200,156987,10820,71420,33050,228767,360,3245,250,2683,610,5936,910,7798,560,5374,1470,13185,1170,9299,630,4256,1810,13620,1140,8568,660,3627,1800,12207,1380,8907,730,4610,2120,13584,1600,9631,850,5187,2460,14885,2070,15008,1070,6586,3150,21611,2610,21938,1280,7851,3890,29794,2780,23795,1300,8778,4080,32680,2430,20495,1080,7841,3510,28338,2060,12364,830,6253,2890,18617,1450,5922,640,3238,2090,9160,2240,10016,920,5135,3170,15152
24,Net fishing income,Revenus nets de pêche,2012, 1060,4071,220,1321,1280,5393,10,39,,,10,43,50,155,,,50,178,60,183,10,99,70,281,80,461,10,46,90,507,80,300,20,203,100,502,120,556,30,122,140,678,120,454,40,219,160,673,150,687,40,239,190,926,130,446,30,242,160,688,100,396,20,65,120,462,90,213,,,100,236,50,124,,,50,146,40,57,,,40,72
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 14040,75679,6880,34758,20920,110437,360,328,130,69,490,397,1130,1466,440,564,1570,2030,1190,2726,460,927,1640,3653,1170,3849,500,1381,1670,5230,1230,4987,610,2188,1840,7175,1310,6644,650,2738,1970,9382,1480,9563,980,4180,2460,13743,1760,12466,1020,4383,2780,16849,1510,12195,850,5726,2360,17922,1160,11707,580,4614,1730,16321,590,4463,230,2189,820,6652,370,2143,120,1693,490,3836,800,3140,310,4108,1110,7247
26,Social assistance payments,Prestations d'assistance sociale,2012, 16720,99923,24560,173828,41280,273754,600,2759,980,4391,1570,7150,1770,10126,3550,24525,5320,34652,1540,9362,3180,27293,4710,36655,1450,9557,2840,27476,4300,37033,1400,9869,2280,21777,3680,31646,1560,10942,2090,18474,3650,29416,1810,12532,1830,14743,3640,27274,1760,12109,1690,12776,3450,24887,1680,11373,1620,11025,3300,22399,1470,8745,1430,8004,2890,16749,660,1461,780,1512,1440,2973,380,494,590,557,980,1051,650,593,1710,1276,2360,1868
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 23040,95559,40650,189520,63690,285079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,2145,2360,12868,2690,15013,5940,26231,7100,31541,13040,57772,5290,22616,6840,31282,12130,53898,11470,44556,24360,113818,35820,158375
28,Total income assessed,Revenu total établi,2012, 453020,21212315,478630,15413404,932160,36627065,22030,230117,21750,178497,43860,408667,41850,940052,41490,654046,83550,1594261,40440,1444663,40270,1045609,80790,2490528,38190,1684178,39120,1180060,77350,2864456,36910,1921069,37800,1288328,74750,3209620,37550,2097391,38300,1432056,75860,3529535,40150,2378271,40690,1648266,80850,4026577,42700,2638776,43050,1812596,85760,4451391,38940,2411915,39520,1651473,78470,4063536,32890,1872005,34390,1319085,67290,3191132,26810,1375660,28090,966296,54910,2341956,18990,830162,21000,677025,39990,1507224,35570,1388057,53160,1560067,88730,2948182
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 95690,320197,121530,340002,217220,660200,440,257,380,203,820,460,4840,7432,5360,6896,10200,14328,9410,22549,11730,26010,21140,48559,10730,31650,13450,33717,24180,65367,11410,38246,14250,40294,25650,78540,11720,42878,15200,46281,26920,89159,13100,51078,17440,54879,30540,105957,14400,57005,18960,60761,33370,117766,11350,42752,14870,45748,26220,88500,5930,19970,7490,20385,13420,40356,1960,5698,2050,4351,4020,10049,280,537,270,403,550,940,120,145,70,74,190,219
30,RRSP deduction,Cotisations à un REER,2012, 110270,593498,95030,353211,205300,946708,440,572,220,191,660,763,4350,8822,3210,4421,7560,13243,8830,26121,8240,17620,17070,43741,11170,39781,9960,24239,21130,64020,12300,53456,10320,30502,22620,83958,12840,65480,10890,39114,23720,104594,14610,83451,12860,52982,27470,136432,16480,103660,14940,65274,31420,168934,14410,102103,12860,60771,27270,162874,9380,68832,7840,38596,17220,107427,4360,33272,3150,16839,7510,50111,960,6989,520,2587,1480,9575,140,960,30,75,160,1035
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 33400,353080,9680,51915,43080,404995,,,,,,,,,,,,,,,,,,,,,,,10,80,,,,,,,80,698,20,60,100,758,190,1860,50,188,240,2048,550,5995,280,1284,820,7279,2650,29431,1610,9172,4260,38603,5310,61552,2410,13657,7720,75208,7760,83783,2360,13019,10120,96802,6720,70114,1500,8061,8220,78175,10120,99523,1430,6452,11560,105975
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 102090,69961,117830,69177,219920,139138,2250,585,2150,476,4400,1061,7970,3470,8120,2621,16090,6091,10350,6593,11820,6673,22170,13267,10830,7918,12510,7386,23340,15304,11020,8285,12720,7853,23740,16138,11040,8420,13450,8667,24480,17087,12340,9479,15190,9980,27530,19459,13620,10763,16290,10828,29900,21591,11160,8308,13580,8683,24740,16991,6480,4170,7970,4446,14450,8616,2980,1450,2830,1273,5810,2722,1090,340,760,231,1850,571,960,181,460,59,1420,240
33,Child care expenses,Frais de garde d'enfants,2012, 10850,34294,32760,85076,43610,119371,,,50,42,50,43,70,137,1130,2075,1200,2211,490,1435,3930,9594,4420,11030,1810,6654,7960,24127,9770,30781,2950,11323,8930,27423,11880,38748,2660,8427,6690,15451,9350,23878,1790,4257,3040,4992,4830,9249,790,1617,870,1145,1670,2761,210,350,140,188,350,537,60,83,20,34,80,117,,,,,10,16,,,,,,,,,,,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 190,3498,110,2193,290,5691,,,,,,,,,,,,,,,,,,,10,176,,,20,330,20,161,10,133,30,295,20,197,,,20,230,30,780,10,161,40,941,20,568,20,485,40,1053,30,497,20,676,50,1173,30,701,10,165,40,866,20,235,10,137,30,372,,,,,,,,,,,20,292
35,Moving expenses,Frais de déménagement,2012, 1990,8260,1480,4474,3480,12734,80,56,90,54,170,110,360,353,340,298,710,651,440,1103,320,546,760,1650,290,1336,210,817,500,2153,260,1620,120,701,380,2321,170,1021,100,541,270,1561,130,1012,80,477,220,1489,100,765,100,431,200,1196,80,617,70,369,140,986,50,235,40,171,90,406,20,119,10,59,30,178,,,,,,,,,,,,
36,Support payments made,Pension alimentaire payée,2012, 1940,24479,50,415,1990,24894,,,,,,,,,,,,,,,,,,,60,290,,,60,293,100,711,,,110,764,180,1643,10,85,190,1729,290,3685,,,300,3704,370,4688,,,380,4751,300,4460,,,310,4552,240,4442,,,240,4540,150,2370,,,160,2371,80,829,,,80,829,140,1339,,,150,1339
